Isotope,Energy (keV),Intensity (%),Half life (s),Decay,Decay (%),Daughter
154Eu,301.38,0.0124,271421120.3074658,B-,99.982,Gd
154Eu,305.19,0.0205,271421120.3074658,B-,99.982,Gd
154Eu,307.7,0.00038,271421120.3074658,B-,99.982,Gd
154Eu,312.32,0.0182,271421120.3074658,B-,99.982,Gd
154Eu,315.64,0.00885,271421120.3074658,B-,99.982,Gd
154Eu,322.07,0.0619,271421120.3074658,B-,99.982,Gd
154Eu,329.95,0.0094,271421120.3074658,B-,99.982,Gd
154Eu,346.7,0.026,271421120.3074658,B-,99.982,Gd
154Eu,349.24,0.0072,271421120.3074658,B-,99.982,Gd
154Eu,352.85,0.00132,271421120.3074658,B-,99.982,Gd
154Eu,365.47,0.00101,271421120.3074658,B-,99.982,Gd
154Eu,366.49,0.0015,271421120.3074658,B-,99.982,Gd
154Eu,370.78,0.00421,271421120.3074658,B-,99.982,Gd
154Eu,378.9,0.00038,271421120.3074658,B-,99.982,Gd
154Eu,382.09,0.0095,271421120.3074658,B-,99.982,Gd
154Eu,382.46,0.00021,271421120.3074658,B-,99.982,Gd
154Eu,397.07,0.0276,271421120.3074658,B-,99.982,Gd
154Eu,401.26,0.188,271421120.3074658,B-,99.982,Gd
154Eu,403.49,0.0223,271421120.3074658,B-,99.982,Gd
154Eu,409.19,0.0052,271421120.3074658,B-,99.982,Gd
154Eu,421.8,0.0013,271421120.3074658,B-,99.982,Gd
154Eu,426.0,0.0008,271421120.3074658,B-,99.982,Gd
154Eu,436.2,0.0031,271421120.3074658,B-,99.982,Gd
154Eu,444.4924,0.547,271421120.3074658,B-,99.982,Gd
154Eu,448.45,0.0025,271421120.3074658,B-,99.982,Gd
154Eu,467.92,0.0626,271421120.3074658,B-,99.982,Gd
154Eu,478.24,0.225,271421120.3074658,B-,99.982,Gd
154Eu,483.76,0.00937,271421120.3074658,B-,99.982,Gd
154Eu,511.6,0.00317,271421120.3074658,B-,99.982,Gd
154Eu,517.98,0.0498,271421120.3074658,B-,99.982,Gd
154Eu,533.03,0.0185,271421120.3074658,B-,99.982,Gd
154Eu,533.11,0.0082,271421120.3074658,B-,99.982,Gd
154Eu,534.86,0.017,271421120.3074658,B-,99.982,Gd
154Eu,545.2,0.00136,271421120.3074658,B-,99.982,Gd
154Eu,546.08,0.0087,271421120.3074658,B-,99.982,Gd
154Eu,557.53,0.269,271421120.3074658,B-,99.982,Gd
154Eu,560.79,0.00063,271421120.3074658,B-,99.982,Gd
154Eu,569.5,0.0139,271421120.3074658,B-,99.982,Gd
154Eu,581.97,0.893,271421120.3074658,B-,99.982,Gd
154Eu,591.755,4.95,271421120.3074658,B-,99.982,Gd
154Eu,598.3,0.0105,271421120.3074658,B-,99.982,Gd
154Eu,598.93,0.00035,271421120.3074658,B-,99.982,Gd
154Eu,602.68,0.0293,271421120.3074658,B-,99.982,Gd
154Eu,613.24,0.0931,271421120.3074658,B-,99.982,Gd
154Eu,621.6,0.0042,271421120.3074658,B-,99.982,Gd
154Eu,625.2556,0.316,271421120.3074658,B-,99.982,Gd
154Eu,649.52,0.0874,271421120.3074658,B-,99.982,Gd
154Eu,664.74,0.0261,271421120.3074658,B-,99.982,Gd
154Eu,669.14,0.016,271421120.3074658,B-,99.982,Gd
154Eu,676.6,0.1672,271421120.3074658,B-,99.982,Gd
154Eu,692.4205,1.777,271421120.3074658,B-,99.982,Gd
154Eu,714.9,0.00091,271421120.3074658,B-,99.982,Gd
154Eu,715.76,0.187,271421120.3074658,B-,99.982,Gd
154Eu,723.3014,20.06,271421120.3074658,B-,99.982,Gd
154Eu,737.69,0.00226,271421120.3074658,B-,99.982,Gd
154Eu,740.91,0.00105,271421120.3074658,B-,99.982,Gd
154Eu,749.48,0.0075,271421120.3074658,B-,99.982,Gd
154Eu,756.802,4.52,271421120.3074658,B-,99.982,Gd
154Eu,800.61,0.0212,271421120.3074658,B-,99.982,Gd
154Eu,801.69,0.0062,271421120.3074658,B-,99.982,Gd
154Eu,815.51,0.511,271421120.3074658,B-,99.982,Gd
154Eu,830.42,0.0062,271421120.3074658,B-,99.982,Gd
154Eu,845.416,0.568,271421120.3074658,B-,99.982,Gd
154Eu,850.67,0.243,271421120.3074658,B-,99.982,Gd
154Eu,873.1834,12.08,271421120.3074658,B-,99.982,Gd
154Eu,880.65,0.084,271421120.3074658,B-,99.982,Gd
154Eu,892.775,0.521,271421120.3074658,B-,99.982,Gd
154Eu,904.064,0.889,271421120.3074658,B-,99.982,Gd
154Eu,924.57,0.0649,271421120.3074658,B-,99.982,Gd
154Eu,928.21,0.003,271421120.3074658,B-,99.982,Gd
154Eu,981.61,0.0087,271421120.3074658,B-,99.982,Gd
154Eu,996.29,10.48,271421120.3074658,B-,99.982,Gd
154Eu,1004.76,18.01,271421120.3074658,B-,99.982,Gd
154Eu,1033.72,0.0028,271421120.3074658,B-,99.982,Gd
154Eu,1047.18,0.0613,271421120.3074658,B-,99.982,Gd
154Eu,1058.94,0.0073,271421120.3074658,B-,99.982,Gd
154Eu,1061.67,0.0036,271421120.3074658,B-,99.982,Gd
154Eu,1071.17,0.00024,271421120.3074658,B-,99.982,Gd
154Eu,1118.27,0.113,271421120.3074658,B-,99.982,Gd
154Eu,1128.552,0.3,271421120.3074658,B-,99.982,Gd
154Eu,1140.702,0.237,271421120.3074658,B-,99.982,Gd
154Eu,1160.31,0.0462,271421120.3074658,B-,99.982,Gd
154Eu,1188.14,0.0876,271421120.3074658,B-,99.982,Gd
154Eu,1241.34,0.1226,271421120.3074658,B-,99.982,Gd
154Eu,1246.121,0.856,271421120.3074658,B-,99.982,Gd
154Eu,1274.429,34.8,271421120.3074658,B-,99.982,Gd
154Eu,1275.66,0.0017,271421120.3074658,B-,99.982,Gd
154Eu,1289.88,0.021,271421120.3074658,B-,99.982,Gd
154Eu,1291.36,0.022,271421120.3074658,B-,99.982,Gd
154Eu,1294.99,0.0116,271421120.3074658,B-,99.982,Gd
154Eu,1408.28,0.0247,271421120.3074658,B-,99.982,Gd
154Eu,1414.44,0.0052,271421120.3074658,B-,99.982,Gd
154Eu,1417.88,0.0053,271421120.3074658,B-,99.982,Gd
154Eu,1418.15,0.0084,271421120.3074658,B-,99.982,Gd
154Eu,1426.03,0.00042,271421120.3074658,B-,99.982,Gd
154Eu,1494.048,0.698,271421120.3074658,B-,99.982,Gd
154Eu,1522.19,0.00087,271421120.3074658,B-,99.982,Gd
154Eu,1531.33,0.00641,271421120.3074658,B-,99.982,Gd
154Eu,1537.81,0.0575,271421120.3074658,B-,99.982,Gd
154Eu,1596.4804,1.797,271421120.3074658,B-,99.982,Gd
154Eu,1665.83,0.00202,271421120.3074658,B-,99.982,Gd
154Eu,1673.93,0.00202,271421120.3074658,B-,99.982,Gd
154Eu,6.354,0.00441850550892,271421120.3074658,EC+B+,0.018,Sm
154Eu,6.603,29.35806406848,2778.0,IT,100.0,Eu
154Eu,6.858,7.1127687762494,271421120.3074658,B-,99.982,Gd
154Eu,39.522,0.005703909590719148,271421120.3074658,EC+B+,0.018,Sm
154Eu,40.117,0.010323818263745064,271421120.3074658,EC+B+,0.018,Sm
154Eu,40.901,8.084213325986237,2778.0,IT,100.0,Eu
154Eu,41.541,14.587176697918146,2778.0,IT,100.0,Eu
154Eu,42.308,7.319090040473356,271421120.3074658,B-,99.982,Gd
154Eu,42.996,13.16619902945378,271421120.3074658,B-,99.982,Gd
154Eu,45.523,0.0032272046625880643,271421120.3074658,EC+B+,0.018,Sm
154Eu,45.998,0.004059823465535785,271421120.3074658,EC+B+,0.018,Sm
154Eu,46.575,0.0008326188029477206,271421120.3074658,EC+B+,0.018,Sm
154Eu,47.146,4.5955520318725105,2778.0,IT,100.0,Eu
154Eu,47.645,5.781204456095618,2778.0,IT,100.0,Eu
154Eu,48.248,1.1856524242231077,2778.0,IT,100.0,Eu
154Eu,48.802,4.161936005814176,271421120.3074658,B-,99.982,Gd
154Eu,49.326,5.256525175343303,271421120.3074658,B-,99.982,Gd
154Eu,49.957,1.0945891695291283,271421120.3074658,B-,99.982,Gd
155Eu,10.4178,0.0035612,149990069.15723577,B-,100.0,Gd
155Eu,12.7,0.009824,149990069.15723577,B-,100.0,Gd
155Eu,13.8,0.019648,149990069.15723577,B-,100.0,Gd
155Eu,18.763,0.04912,149990069.15723577,B-,100.0,Gd
155Eu,21.035,0.00046664,149990069.15723577,B-,100.0,Gd
155Eu,24.56,0.007675,149990069.15723577,B-,100.0,Gd
155Eu,26.527,0.31621,149990069.15723577,B-,100.0,Gd
155Eu,31.444,0.007061,149990069.15723577,B-,100.0,Gd
155Eu,40.75,0.026402,149990069.15723577,B-,100.0,Gd
155Eu,45.2989,1.31089,149990069.15723577,B-,100.0,Gd
155Eu,57.9873,0.066312,149990069.15723577,B-,100.0,Gd
155Eu,60.0089,1.1666,149990069.15723577,B-,100.0,Gd
155Eu,86.0591,0.1535,149990069.15723577,B-,100.0,Gd
155Eu,86.5463,30.7,149990069.15723577,B-,100.0,Gd
155Eu,105.3087,21.1216,149990069.15723577,B-,100.0,Gd
155Eu,107.6,0.0003991,149990069.15723577,B-,100.0,Gd
155Eu,146.0706,0.050962,149990069.15723577,B-,100.0,Gd
155Eu,6.858,7.370410185776,149990069.15723577,B-,100.0,Gd
155Eu,42.308,6.4907930784345735,149990069.15723577,B-,100.0,Gd
155Eu,42.996,11.676188304433484,149990069.15723577,B-,100.0,Gd
155Eu,48.802,3.690932242948491,149990069.15723577,B-,100.0,Gd
155Eu,49.326,4.661647422843944,149990069.15723577,B-,100.0,Gd
155Eu,49.957,0.9707151798954532,149990069.15723577,B-,100.0,Gd
156Eu,88.97,8.439,1312416.0,B-,100.0,Gd
156Eu,138.7,0.007857,1312416.0,B-,100.0,Gd
156Eu,160.2,0.010282,1312416.0,B-,100.0,Gd
156Eu,190.16,0.01649,1312416.0,B-,100.0,Gd
156Eu,199.214,0.7372,1312416.0,B-,100.0,Gd
156Eu,215.7,0.01261,1312416.0,B-,100.0,Gd
156Eu,244.7,0.00873,1312416.0,B-,100.0,Gd
156Eu,281.4,0.00776,1312416.0,B-,100.0,Gd
156Eu,290.49,0.00873,1312416.0,B-,100.0,Gd
156Eu,317.3,0.06014,1312416.0,B-,100.0,Gd
156Eu,335.69,0.010185,1312416.0,B-,100.0,Gd
156Eu,348.27,0.01358,1312416.0,B-,100.0,Gd
156Eu,354.2,0.01455,1312416.0,B-,100.0,Gd
156Eu,434.4,0.20855,1312416.0,B-,100.0,Gd
156Eu,472.7,0.14453,1312416.0,B-,100.0,Gd
156Eu,490.34,0.16005,1312416.0,B-,100.0,Gd
156Eu,494.9,0.01455,1312416.0,B-,100.0,Gd
156Eu,498.88,0.06596,1312416.0,B-,100.0,Gd
156Eu,554.66,0.01746,1312416.0,B-,100.0,Gd
156Eu,585.9,0.00582,1312416.0,B-,100.0,Gd
156Eu,585.9,0.05238,1312416.0,B-,100.0,Gd
156Eu,599.47,2.08453,1312416.0,B-,100.0,Gd
156Eu,626.0,0.02231,1312416.0,B-,100.0,Gd
156Eu,632.79,0.0388,1312416.0,B-,100.0,Gd
156Eu,646.29,6.27881,1312416.0,B-,100.0,Gd
156Eu,660.0,0.01358,1312416.0,B-,100.0,Gd
156Eu,665.8,0.00582,1312416.0,B-,100.0,Gd
156Eu,707.1,0.06499,1312416.0,B-,100.0,Gd
156Eu,709.86,0.87591,1312416.0,B-,100.0,Gd
156Eu,723.47,5.41842,1312416.0,B-,100.0,Gd
156Eu,768.56,0.0873,1312416.0,B-,100.0,Gd
156Eu,778.0,0.02619,1312416.0,B-,100.0,Gd
156Eu,784.14,0.04947,1312416.0,B-,100.0,Gd
156Eu,797.73,0.10864,1312416.0,B-,100.0,Gd
156Eu,811.77,9.7,1312416.0,B-,100.0,Gd
156Eu,820.36,0.16878,1312416.0,B-,100.0,Gd
156Eu,836.52,0.08148,1312416.0,B-,100.0,Gd
156Eu,839.0,0.03007,1312416.0,B-,100.0,Gd
156Eu,841.16,0.20758,1312416.0,B-,100.0,Gd
156Eu,858.36,0.20467,1312416.0,B-,100.0,Gd
156Eu,865.8,0.18818,1312416.0,B-,100.0,Gd
156Eu,867.01,1.32793,1312416.0,B-,100.0,Gd
156Eu,872.39,0.03977,1312416.0,B-,100.0,Gd
156Eu,903.62,0.03977,1312416.0,B-,100.0,Gd
156Eu,916.4,0.03201,1312416.0,B-,100.0,Gd
156Eu,928.8,0.02813,1312416.0,B-,100.0,Gd
156Eu,944.35,1.33084,1312416.0,B-,100.0,Gd
156Eu,947.46,0.29197,1312416.0,B-,100.0,Gd
156Eu,960.5,1.4453,1312416.0,B-,100.0,Gd
156Eu,961.0,0.1455,1312416.0,B-,100.0,Gd
156Eu,963.0,0.03395,1312416.0,B-,100.0,Gd
156Eu,969.83,0.37345,1312416.0,B-,100.0,Gd
156Eu,1011.87,0.31428,1312416.0,B-,100.0,Gd
156Eu,1018.5,0.08439,1312416.0,B-,100.0,Gd
156Eu,1027.39,0.12804,1312416.0,B-,100.0,Gd
156Eu,1037.0,0.05335,1312416.0,B-,100.0,Gd
156Eu,1040.44,0.50149,1312416.0,B-,100.0,Gd
156Eu,1065.14,4.92178,1312416.0,B-,100.0,Gd
156Eu,1076.0,0.33756,1312416.0,B-,100.0,Gd
156Eu,1079.16,4.58907,1312416.0,B-,100.0,Gd
156Eu,1101.8,0.04171,1312416.0,B-,100.0,Gd
156Eu,1115.78,0.05044,1312416.0,B-,100.0,Gd
156Eu,1129.47,0.13483,1312416.0,B-,100.0,Gd
156Eu,1140.51,0.28324,1312416.0,B-,100.0,Gd
156Eu,1153.67,6.79,1312416.0,B-,100.0,Gd
156Eu,1154.08,4.7336,1312416.0,B-,100.0,Gd
156Eu,1156.0,0.13095,1312416.0,B-,100.0,Gd
156Eu,1164.2,0.06499,1312416.0,B-,100.0,Gd
156Eu,1169.12,0.26578,1312416.0,B-,100.0,Gd
156Eu,1187.3,0.01455,1312416.0,B-,100.0,Gd
156Eu,1220.5,0.0194,1312416.0,B-,100.0,Gd
156Eu,1230.71,7.9831,1312416.0,B-,100.0,Gd
156Eu,1242.42,6.60085,1312416.0,B-,100.0,Gd
156Eu,1258.03,0.09506,1312416.0,B-,100.0,Gd
156Eu,1277.43,2.88575,1312416.0,B-,100.0,Gd
156Eu,1366.41,1.57237,1312416.0,B-,100.0,Gd
156Eu,1626.29,0.04559,1312416.0,B-,100.0,Gd
156Eu,1682.1,0.2716,1312416.0,B-,100.0,Gd
156Eu,1857.42,0.23959,1312416.0,B-,100.0,Gd
156Eu,1873.0,0.05917,1312416.0,B-,100.0,Gd
156Eu,1877.03,1.51223,1312416.0,B-,100.0,Gd
156Eu,1937.71,1.94388,1312416.0,B-,100.0,Gd
156Eu,1946.34,0.1649,1312416.0,B-,100.0,Gd
156Eu,1965.95,3.8703,1312416.0,B-,100.0,Gd
156Eu,2026.65,3.27181,1312416.0,B-,100.0,Gd
156Eu,2032.51,0.13095,1312416.0,B-,100.0,Gd
156Eu,2097.7,3.80919,1312416.0,B-,100.0,Gd
156Eu,2110.52,0.07857,1312416.0,B-,100.0,Gd
156Eu,2116.49,0.11446,1312416.0,B-,100.0,Gd
156Eu,2121.3,0.004656,1312416.0,B-,100.0,Gd
156Eu,2170.86,0.032204,1312416.0,B-,100.0,Gd
156Eu,2180.91,2.14176,1312416.0,B-,100.0,Gd
156Eu,2186.71,3.48521,1312416.0,B-,100.0,Gd
156Eu,2205.38,0.87785,1312416.0,B-,100.0,Gd
156Eu,2211.83,0.098358,1312416.0,B-,100.0,Gd
156Eu,2255.5,0.006014,1312416.0,B-,100.0,Gd
156Eu,2259.8,0.011446,1312416.0,B-,100.0,Gd
156Eu,2269.9,1.03111,1312416.0,B-,100.0,Gd
156Eu,2293.4,0.022407,1312416.0,B-,100.0,Gd
156Eu,2301.0,0.010379,1312416.0,B-,100.0,Gd
156Eu,2344.3,0.003977,1312416.0,B-,100.0,Gd
156Eu,2361.2,0.016781,1312416.0,B-,100.0,Gd
156Eu,6.858,4.678904141995952,1312416.0,B-,100.0,Gd
156Eu,42.308,3.5594061966646358,1312416.0,B-,100.0,Gd
156Eu,42.996,6.402961317979197,1312416.0,B-,100.0,Gd
156Eu,48.802,2.024024943988605,1312416.0,B-,100.0,Gd
156Eu,49.326,2.5563435042576077,1312416.0,B-,100.0,Gd
156Eu,49.957,0.5323185602690031,1312416.0,B-,100.0,Gd
160Tb,86.7877,13.1537,6246720.0,B-,100.0,Dy
160Tb,93.919,0.056588,6246720.0,B-,100.0,Dy
160Tb,176.49,0.0061705,6246720.0,B-,100.0,Dy
160Tb,197.0341,5.18322,6246720.0,B-,100.0,Dy
160Tb,215.6452,4.01835,6246720.0,B-,100.0,Dy
160Tb,230.628,0.080668,6246720.0,B-,100.0,Dy
160Tb,237.64,0.00602,6246720.0,B-,100.0,Dy
160Tb,239.7,0.002107,6246720.0,B-,100.0,Dy
160Tb,242.5,0.007525,6246720.0,B-,100.0,Dy
160Tb,246.489,0.020769,6246720.0,B-,100.0,Dy
160Tb,297.3,0.009331,6246720.0,B-,100.0,Dy
160Tb,298.5783,26.1268,6246720.0,B-,100.0,Dy
160Tb,309.561,0.862967,6246720.0,B-,100.0,Dy
160Tb,337.32,0.339227,6246720.0,B-,100.0,Dy
160Tb,349.92,0.014448,6246720.0,B-,100.0,Dy
160Tb,379.41,0.014147,6246720.0,B-,100.0,Dy
160Tb,392.514,1.33644,6246720.0,B-,100.0,Dy
160Tb,432.66,0.023177,6246720.0,B-,100.0,Dy
160Tb,486.06,0.084581,6246720.0,B-,100.0,Dy
160Tb,682.31,0.59598,6246720.0,B-,100.0,Dy
160Tb,707.6,0.009933,6246720.0,B-,100.0,Dy
160Tb,765.28,2.14011,6246720.0,B-,100.0,Dy
160Tb,872.03,0.217623,6246720.0,B-,100.0,Dy
160Tb,879.378,30.1,6246720.0,B-,100.0,Dy
160Tb,962.311,9.8126,6246720.0,B-,100.0,Dy
160Tb,966.166,25.1034,6246720.0,B-,100.0,Dy
160Tb,1002.88,1.03845,6246720.0,B-,100.0,Dy
160Tb,1005.0,0.03913,6246720.0,B-,100.0,Dy
160Tb,1069.09,0.099932,6246720.0,B-,100.0,Dy
160Tb,1102.6,0.581532,6246720.0,B-,100.0,Dy
160Tb,1115.12,1.5652,6246720.0,B-,100.0,Dy
160Tb,1177.954,14.8694,6246720.0,B-,100.0,Dy
160Tb,1199.89,2.38392,6246720.0,B-,100.0,Dy
160Tb,1251.27,0.105952,6246720.0,B-,100.0,Dy
160Tb,1271.873,7.44373,6246720.0,B-,100.0,Dy
160Tb,1285.58,0.015351,6246720.0,B-,100.0,Dy
160Tb,1299.3,0.0054481,6246720.0,B-,100.0,Dy
160Tb,1312.14,2.86251,6246720.0,B-,100.0,Dy
160Tb,1468.6,0.0005719,6246720.0,B-,100.0,Dy
160Tb,1556.6,0.0004816,6246720.0,B-,100.0,Dy
160Tb,7.384,9.849442673443011,6246720.0,B-,100.0,Dy
160Tb,45.207,5.961106731198338,6246720.0,B-,100.0,Dy
160Tb,45.998,10.652442335951283,6246720.0,B-,100.0,Dy
160Tb,52.22,3.4202814508084227,6246720.0,B-,100.0,Dy
160Tb,52.791,4.3095546280186126,6246720.0,B-,100.0,Dy
160Tb,53.478,0.88927317721019,6246720.0,B-,100.0,Dy
166Ho,19.84,7.0,0.000185,IT,100.0,Ho
166Ho,54.239,3.0,0.000185,IT,100.0,Ho
166Ho,73.45,0.00144,37868311169.5104,B-,100.0,Er
166Ho,80.574,11.9664,37868311169.5104,B-,100.0,Er
166Ho,80.576,6.56464,96566.4,B-,100.0,Er
166Ho,94.674,0.1404,37868311169.5104,B-,100.0,Er
166Ho,96.85,0.0022104,37868311169.5104,B-,100.0,Er
166Ho,116.835,13.0,0.000185,IT,100.0,Ho
166Ho,119.041,0.1692,37868311169.5104,B-,100.0,Er
166Ho,121.175,0.252,37868311169.5104,B-,100.0,Er
166Ho,135.26,0.098208,37868311169.5104,B-,100.0,Er
166Ho,136.662,50.0,0.000185,IT,100.0,Ho
166Ho,140.692,0.042048,37868311169.5104,B-,100.0,Er
166Ho,160.076,0.09288,37868311169.5104,B-,100.0,Er
166Ho,161.731,0.108,37868311169.5104,B-,100.0,Er
166Ho,170.288,0.013968,37868311169.5104,B-,100.0,Er
166Ho,184.4,0.0015674,96566.4,B-,100.0,Er
166Ho,184.4113,72.0,37868311169.5104,B-,100.0,Er
166Ho,190.762,0.21384,37868311169.5104,B-,100.0,Er
166Ho,214.807,0.43488,37868311169.5104,B-,100.0,Er
166Ho,215.8887,2.5704,37868311169.5104,B-,100.0,Er
166Ho,231.318,0.20592,37868311169.5104,B-,100.0,Er
166Ho,255.2,0.004248,37868311169.5104,B-,100.0,Er
166Ho,259.74,1.05696,37868311169.5104,B-,100.0,Er
166Ho,280.464,29.3616,37868311169.5104,B-,100.0,Er
166Ho,300.755,3.6936,37868311169.5104,B-,100.0,Er
166Ho,304.91,0.01944,37868311169.5104,B-,100.0,Er
166Ho,339.751,0.159912,37868311169.5104,B-,100.0,Er
166Ho,365.76,2.448,37868311169.5104,B-,100.0,Er
166Ho,410.797,0.016632,37868311169.5104,B-,100.0,Er
166Ho,410.949,11.2032,37868311169.5104,B-,100.0,Er
166Ho,449.8,0.04752,37868311169.5104,B-,100.0,Er
166Ho,451.542,2.9088,37868311169.5104,B-,100.0,Er
166Ho,464.832,1.2024,37868311169.5104,B-,100.0,Er
166Ho,476.378,0.036,37868311169.5104,B-,100.0,Er
166Ho,496.923,0.12384,37868311169.5104,B-,100.0,Er
166Ho,520.8,0.00034114,96566.4,B-,100.0,Er
166Ho,520.94,0.16344,37868311169.5104,B-,100.0,Er
166Ho,520.945,0.0002952,37868311169.5104,B-,100.0,Er
166Ho,529.807,9.4608,37868311169.5104,B-,100.0,Er
166Ho,570.976,5.4072,37868311169.5104,B-,100.0,Er
166Ho,590.56,0.02304,37868311169.5104,B-,100.0,Er
166Ho,594.46,0.56376,37868311169.5104,B-,100.0,Er
166Ho,611.555,1.368,37868311169.5104,B-,100.0,Er
166Ho,615.89,0.09216,37868311169.5104,B-,100.0,Er
166Ho,617.0,0.02232,37868311169.5104,B-,100.0,Er
166Ho,640.015,0.09216,37868311169.5104,B-,100.0,Er
166Ho,644.6,0.13896,37868311169.5104,B-,100.0,Er
166Ho,670.516,5.3928,37868311169.5104,B-,100.0,Er
166Ho,674.188,0.0190854,96566.4,B-,100.0,Er
166Ho,691.251,1.33272,37868311169.5104,B-,100.0,Er
166Ho,705.24,0.01368,37868311169.5104,B-,100.0,Er
166Ho,705.334,0.0137378,96566.4,B-,100.0,Er
166Ho,711.681,54.144,37868311169.5104,B-,100.0,Er
166Ho,712.89,0.2736,37868311169.5104,B-,100.0,Er
166Ho,736.02,0.1224,37868311169.5104,B-,100.0,Er
166Ho,736.83,0.25272,37868311169.5104,B-,100.0,Er
166Ho,752.313,12.096,37868311169.5104,B-,100.0,Er
166Ho,778.839,2.9952,37868311169.5104,B-,100.0,Er
166Ho,785.89,0.01185692,96566.4,B-,100.0,Er
166Ho,785.94,0.01872,37868311169.5104,B-,100.0,Er
166Ho,810.293,56.88,37868311169.5104,B-,100.0,Er
166Ho,830.585,9.432,37868311169.5104,B-,100.0,Er
166Ho,859.3,0.03528,37868311169.5104,B-,100.0,Er
166Ho,875.65,0.72216,37868311169.5104,B-,100.0,Er
166Ho,950.964,2.718,37868311169.5104,B-,100.0,Er
166Ho,1010.288,0.077256,37868311169.5104,B-,100.0,Er
166Ho,1120.33,0.19656,37868311169.5104,B-,100.0,Er
166Ho,1146.825,0.20304,37868311169.5104,B-,100.0,Er
166Ho,1241.5,0.828,37868311169.5104,B-,100.0,Er
166Ho,1261.98,0.0072,37868311169.5104,B-,100.0,Er
166Ho,1263.01,0.00153052,96566.4,B-,100.0,Er
166Ho,1282.058,0.18432,37868311169.5104,B-,100.0,Er
166Ho,1306.74,0.005472,37868311169.5104,B-,100.0,Er
166Ho,1331.17,0.004248,37868311169.5104,B-,100.0,Er
166Ho,1379.437,0.922,96566.4,B-,100.0,Er
166Ho,1400.77,0.50184,37868311169.5104,B-,100.0,Er
166Ho,1427.227,0.49464,37868311169.5104,B-,100.0,Er
166Ho,1433.42,0.0003888,37868311169.5104,B-,100.0,Er
166Ho,1446.72,0.0072,37868311169.5104,B-,100.0,Er
166Ho,1447.52,0.00105108,96566.4,B-,100.0,Er
166Ho,1521.86,0.016128,37868311169.5104,B-,100.0,Er
166Ho,1528.23,8.9434e-05,96566.4,B-,100.0,Er
166Ho,1562.31,0.003384,37868311169.5104,B-,100.0,Er
166Ho,1581.834,0.1824638,96566.4,B-,100.0,Er
166Ho,1662.439,0.1191224,96566.4,B-,100.0,Er
166Ho,1749.836,0.0261848,96566.4,B-,100.0,Er
166Ho,1830.419,0.00803062,96566.4,B-,100.0,Er
166Ho,7.656,25.132015038,0.000185,IT,100.0,Ho
166Ho,7.933,7.530237271016463,96566.4,B-,100.0,Er
166Ho,7.933,18.975540147036266,37868311169.5104,B-,100.0,Er
166Ho,46.7,6.449011094553517,0.000185,IT,100.0,Ho
166Ho,47.547,11.485326971600207,0.000185,IT,100.0,Ho
166Ho,48.222,10.492563960110779,37868311169.5104,B-,100.0,Er
166Ho,48.222,2.95146035991712,96566.4,B-,100.0,Er
166Ho,49.128,18.62364920147458,37868311169.5104,B-,100.0,Er
166Ho,49.128,5.238658785795385,96566.4,B-,100.0,Er
166Ho,53.982,3.710699947497045,0.000185,IT,100.0,Ho
166Ho,54.577,4.675481933846276,0.000185,IT,100.0,Ho
166Ho,55.293,0.9647819863492317,0.000185,IT,100.0,Ho
166Ho,55.779,6.0520128785866705,37868311169.5104,B-,100.0,Er
166Ho,55.779,1.7023747652873849,96566.4,B-,100.0,Er
166Ho,56.399,2.144992204262105,96566.4,B-,100.0,Er
166Ho,56.399,7.625536227019205,37868311169.5104,B-,100.0,Er
166Ho,57.145,1.5735233484325344,37868311169.5104,B-,100.0,Er
166Ho,57.145,0.44261743897472006,96566.4,B-,100.0,Er
169Yb,8.41017,0.3593,2766355.2,EC,100.0,Tm
169Yb,20.752,0.1965371,2766355.2,EC,100.0,Tm
169Yb,24.2,0.000388,46.0,IT,100.0,Yb
169Yb,42.76,0.25151,2766355.2,EC,100.0,Tm
169Yb,45.94,0.010779,2766355.2,EC,100.0,Tm
169Yb,50.61,0.53895,2766355.2,EC,100.0,Tm
169Yb,50.86,0.53895,2766355.2,EC,100.0,Tm
169Yb,51.51,0.017965,2766355.2,EC,100.0,Tm
169Yb,63.01,2.1558,2766355.2,EC,100.0,Tm
169Yb,63.12044,43.61902,2766355.2,EC,100.0,Tm
169Yb,65.86,0.0104197,2766355.2,EC,100.0,Tm
169Yb,72.028,0.003593,2766355.2,EC,100.0,Tm
169Yb,85.09,0.0028744,2766355.2,EC,100.0,Tm
169Yb,93.61447,2.579774,2766355.2,EC,100.0,Tm
169Yb,95.7,0.0021558,2766355.2,EC,100.0,Tm
169Yb,95.85,0.0021558,2766355.2,EC,100.0,Tm
169Yb,98.01,0.0017965,2766355.2,EC,100.0,Tm
169Yb,101.405,0.007186,2766355.2,EC,100.0,Tm
169Yb,105.19,0.00258696,2766355.2,EC,100.0,Tm
169Yb,109.77924,17.386527,2766355.2,EC,100.0,Tm
169Yb,113.62,0.010779,2766355.2,EC,100.0,Tm
169Yb,113.98,0.0086232,2766355.2,EC,100.0,Tm
169Yb,117.376,0.0398823,2766355.2,EC,100.0,Tm
169Yb,118.1894,1.8741088,2766355.2,EC,100.0,Tm
169Yb,129.94,0.53895,2766355.2,EC,100.0,Tm
169Yb,130.52293,11.382624,2766355.2,EC,100.0,Tm
169Yb,156.724,0.00988075,2766355.2,EC,100.0,Tm
