Isotope,Energy (keV),XS (mb),Info
14N,10101.0,13.3256,"(n,n') XS"
14N,4403.11,13.2663,"(n,n') XS"
14N,4365.83,13.0012,"(n,n') XS"
14N,7966.9,12.0059,"(n,n') XS"
14N,5691.4400000000005,11.9914,"(n,n') XS"
14N,8061.999999999999,10.3689,"(n,n') XS"
14N,10432.0,10.0354,"(n,n') XS"
14N,4018.7999999999997,9.84574,"(n,n') XS"
14N,9388.0,8.93499,"(n,n') XS"
14N,5439.9,8.93499,"(n,n') XS"
14N,6130.9,8.86344,"(n,n') XS"
14N,10079.0,8.86344,"(n,n') XS"
14N,7913.2,8.71386,"(n,n') XS"
14N,6667.2,8.46302,"(n,n') XS"
14N,3288.56,8.46302,"(n,n') XS"
14N,11050.0,7.27921,"(n,n') XS"
14N,7390.2,6.54927,"(n,n') XS"
14N,4915.099999999999,6.15651,"(n,n') XS"
14N,7101.9,5.45692,"(n,n') XS"
14N,2655.75,4.83674,"(n,n') XS"
14N,1340.28,4.59506,"(n,n') XS"
14N,6203.5,4.05,"(n,n') XS"
14N,8776.0,3.97289,"(n,n') XS"
14N,4842.5599999999995,3.94225,"(n,n') XS"
14N,8221.199999999999,3.94225,"(n,n') XS"
14N,5308.5599999999995,3.25993,"(n,n') XS"
14N,8687.2,3.25993,"(n,n') XS"
14N,3674.75,2.93223,"(n,n') XS"
14N,3948.1000000000004,2.85543,"(n,n') XS"
14N,9703.0,2.81662,"(n,n') XS"
14N,611.9200000000001,2.61874,"(n,n') XS"
14N,2682.83,1.95117,"(n,n') XS"
14N,3294.75,1.95117,"(n,n') XS"
14N,4113.900000000001,1.63806,"(n,n') XS"
16O,6129.889999999999,267.589,"(n,n') XS"
16O,6917.099999999999,217.45,"(n,n') XS"
16O,2742.01,94.6274,"(n,n') XS"
16O,7116.85,87.0283,"(n,n') XS"
16O,3438.8999999999996,53.8016,"(n,n') XS"
16O,2208.1,45.8241,"(n,n') XS"
16O,6049.400000000001,41.7465,"(n,n') XS"
16O,9585.0,37.4723,"(n,n') XS"
16O,9844.5,35.0405,"(n,n') XS"
16O,11520.0,31.041,"(n,n') XS"
16O,4966.8099999999995,23.9137,"(n,n') XS"
16O,5470.11,20.1309,"(n,n') XS"
16O,4682.9,20.1309,"(n,n') XS"
16O,4179.599999999999,19.369,"(n,n') XS"
16O,1755.05,13.9133,"(n,n') XS"
16O,2927.4,11.9136,"(n,n') XS"
16O,12440.0,10.9767,"(n,n') XS"
16O,3795.1000000000004,10.5129,"(n,n') XS"
16O,3840.15,10.0939,"(n,n') XS"
16O,8871.9,8.79995,"(n,n') XS"
16O,6400.11,6.91055,"(n,n') XS"
16O,13020.0,6.50997,"(n,n') XS"
16O,12049.0,5.58969,"(n,n') XS"
16O,3658.1,4.62776,"(n,n') XS"
16O,2667.9,4.49706,"(n,n') XS"
16O,11260.0,4.35896,"(n,n') XS"
16O,5210.6,4.35896,"(n,n') XS"
16O,1954.8000000000002,4.35307,"(n,n') XS"
16O,6211.9,4.22212,"(n,n') XS"
16O,6999.11,4.22212,"(n,n') XS"
16O,6838.71,3.69999,"(n,n') XS"
16O,13090.0,3.63521,"(n,n') XS"
16O,4096.7,3.10757,"(n,n') XS"
16O,5679.15,2.71359,"(n,n') XS"
16O,5413.15,1.69255,"(n,n') XS"
16O,5470.6,1.42773,"(n,n') XS"
16O,4602.9,1.36568,"(n,n') XS"
16O,4226.110000000001,0.860991,"(n,n') XS"
16O,12530.0,0.842941,"(n,n') XS"
16O,5851.75,0.443787,"(n,n') XS"
16O,4403.150000000001,0.279392,"(n,n') XS"
16O,12968.6,0.155355,"(n,n') XS"
16O,2822.5,0.141939,"(n,n') XS"
16O,5612.9,0.138169,"(n,n') XS"
16O,6390.6,0.131735,"(n,n') XS"
16O,5973.150000000001,0.112681,"(n,n') XS"
16O,986.9599999999999,0.0608757,"(n,n') XS"
16O,867.7,0.0587319,"(n,n') XS"
16O,7040.6,0.021076,"(n,n') XS"
16O,787.2099999999999,0.0174021,"(n,n') XS"
19F,197.14000000000001,272.296,"(n,n') XS"
19F,109.89,232.9,"(n,n') XS"
19F,1235.7800000000002,146.068,"(n,n') XS"
19F,2582.71,65.0697,"(n,n') XS"
19F,1348.8100000000002,38.0277,"(n,n') XS"
19F,1356.9,37.4535,"(n,n') XS"
19F,2686.83,30.4155,"(n,n') XS"
