Isotope,Energy (keV),XS (mb),Compound
150Sm,542.1,0.22,150Sm
150Sm,1472.6,0.22,150Sm
150Sm,1616.3,0.184,150Sm
150Sm,1596.5,0.184,150Sm
150Sm,1590.5,0.184,150Sm
150Sm,393.0,0.184,150Sm
150Sm,1721.8,0.184,150Sm
150Sm,1977.8,0.184,150Sm
150Sm,1948.1,0.184,150Sm
150Sm,1706.5,0.184,150Sm
150Sm,459.0,0.158,150Sm
150Sm,2007.4,0.147,150Sm
150Sm,420.6,0.147,150Sm
150Sm,1535.0,0.147,150Sm
150Sm,1906.3,0.147,150Sm
150Sm,1891.8,0.147,150Sm
150Sm,1875.7,0.147,150Sm
150Sm,1528.7,0.147,150Sm
150Sm,1832.9,0.147,150Sm
150Sm,1566.3,0.147,150Sm
150Sm,2272.1,0.14,150Sm
150Sm,972.0,0.132,150Sm
150Sm,2352.4,0.11,150Sm
152Sm,121.77,512.044,152Sm
152Sm,244.66,107.799,152Sm
152Sm,963.3,31.004,152Sm
152Sm,963.3,31.004,152Sm
152Sm,563.18,23.849,152Sm
152Sm,563.18,23.849,152Sm
152Sm,688.6,22.895,152Sm
152Sm,919.3,20.272,152Sm
152Sm,340.33,17.887,152Sm
152Sm,841.6,15.979,152Sm
152Sm,443.97,10.971,152Sm
152Sm,1112.03,10.732,152Sm
152Sm,1085.7,9.063,152Sm
152Sm,810.5,8.824,152Sm
152Sm,656.52,8.109,152Sm
152Sm,960.2,8.109,152Sm
152Sm,854.9,6.678,152Sm
152Sm,674.8,5.962,152Sm
152Sm,1005.1,5.247,152Sm
152Sm,1389.0,5.247,152Sm
152Sm,329.39,5.128,152Sm
152Sm,1407.9,5.008,152Sm
152Sm,926.6,4.531,152Sm
152Sm,901.1,4.293,152Sm
152Sm,1213.2,3.506,152Sm
152Sm,867.9,3.339,152Sm
152Sm,1193.2,2.957,152Sm
152Sm,212.6,2.027,152Sm
152Sm,1457.7,1.884,152Sm
152Sm,1293.7,1.884,152Sm
152Sm,982.6,1.479,152Sm
152Sm,982.6,1.479,152Sm
152Sm,671.3,1.336,152Sm
152Sm,1315.1,1.336,152Sm
152Sm,417.8,1.216,152Sm
152Sm,1437.1,1.216,152Sm
152Sm,1363.8,1.145,152Sm
152Sm,1250.1,1.073,152Sm
152Sm,1528.0,0.954,152Sm
152Sm,316.0,0.954,152Sm
152Sm,995.2,0.954,152Sm
152Sm,1903.7,0.954,152Sm
152Sm,523.3,0.906,152Sm
152Sm,941.6,0.811,152Sm
152Sm,1171.3,0.668,152Sm
152Sm,1353.3,0.668,152Sm
152Sm,1360.7,0.668,152Sm
152Sm,1020.9,0.668,152Sm
152Sm,805.3,0.668,152Sm
152Sm,1398.7,0.549,152Sm
152Sm,2282.0,0.549,152Sm
152Sm,1725.5,0.549,152Sm
152Sm,1769.2,0.549,152Sm
152Sm,1940.0,0.549,152Sm
152Sm,1056.2,0.549,152Sm
152Sm,1842.8,0.549,152Sm
152Sm,481.8,0.525,152Sm
152Sm,645.0,0.453,152Sm
152Sm,1821.8,0.405,152Sm
152Sm,2067.8,0.405,152Sm
152Sm,1869.4,0.405,152Sm
152Sm,2048.0,0.405,152Sm
152Sm,1753.8,0.405,152Sm
152Sm,2478.0,0.405,152Sm
152Sm,1608.7,0.405,152Sm
152Sm,1587.3,0.405,152Sm
152Sm,1486.8,0.405,152Sm
152Sm,1471.7,0.405,152Sm
152Sm,415.5,0.382,152Sm
152Sm,1558.0,0.334,152Sm
152Sm,2239.5,0.334,152Sm
152Sm,2361.6,0.286,152Sm
152Sm,1601.7,0.262,152Sm
152Sm,1567.5,0.262,152Sm
152Sm,727.7,0.262,152Sm
152Sm,769.2,0.262,152Sm
152Sm,2158.9,0.262,152Sm
152Sm,1594.0,0.262,152Sm
154Sm,185.06,130.684,154Sm
154Sm,839.83,24.336,154Sm
154Sm,930.57,22.146,154Sm
154Sm,277.38,19.469,154Sm
154Sm,921.8,18.495,154Sm
154Sm,745.39,14.602,154Sm
154Sm,1394.46,10.464,154Sm
154Sm,1018.0,10.221,154Sm
154Sm,914.7,9.734,154Sm
154Sm,1440.08,8.761,154Sm
154Sm,1440.08,8.761,154Sm
154Sm,1096.01,7.788,154Sm
154Sm,1358.17,7.544,154Sm
154Sm,1204.67,6.814,154Sm
154Sm,1457.4,6.571,154Sm
154Sm,911.0,5.719,154Sm
154Sm,1433.0,5.597,154Sm
154Sm,1177.8,4.088,154Sm
154Sm,364.85,4.064,154Sm
154Sm,1317.6,3.602,154Sm
154Sm,281.0,3.407,154Sm
154Sm,1272.5,2.75,154Sm
154Sm,834.2,2.677,154Sm
154Sm,637.2,2.482,154Sm
154Sm,1230.6,2.409,154Sm
154Sm,1071.1,2.385,154Sm
154Sm,1256.2,2.215,154Sm
154Sm,1024.1,2.215,154Sm
154Sm,661.4,2.093,154Sm
154Sm,1120.7,1.996,154Sm
154Sm,742.8,1.971,154Sm
154Sm,752.5,1.898,154Sm
154Sm,1550.8,1.801,154Sm
154Sm,359.1,1.582,154Sm
154Sm,1538.2,1.46,154Sm
154Sm,1972.0,1.314,154Sm
154Sm,1656.5,1.314,154Sm
154Sm,953.8,1.168,154Sm
154Sm,778.7,1.144,154Sm
154Sm,794.3,0.973,154Sm
154Sm,2053.0,0.973,154Sm
154Sm,888.3,0.973,154Sm
154Sm,164.1,0.973,154Sm
154Sm,375.8,0.949,154Sm
154Sm,961.1,0.9,154Sm
154Sm,1172.3,0.827,154Sm
154Sm,1347.3,0.73,154Sm
154Sm,1841.7,0.73,154Sm
154Sm,1624.9,0.73,154Sm
154Sm,1932.2,0.657,154Sm
154Sm,2155.0,0.657,154Sm
154Sm,159.6,0.657,154Sm
154Sm,763.4,0.657,154Sm
154Sm,1508.4,0.608,154Sm
154Sm,1501.4,0.608,154Sm
154Sm,527.6,0.584,154Sm
154Sm,1892.2,0.56,154Sm
154Sm,1615.8,0.511,154Sm
154Sm,1807.3,0.511,154Sm
154Sm,1889.0,0.487,154Sm
154Sm,2106.6,0.487,154Sm
154Sm,1730.0,0.414,154Sm
154Sm,1735.7,0.414,154Sm
154Sm,1765.1,0.414,154Sm
154Sm,2132.8,0.414,154Sm
154Sm,81.91,0.0,154Sm
00Eu,196.0,109.091,151Eu
00Eu,196.0,109.091,Eu
00Eu,242.5,104.177,153Eu
00Eu,242.5,104.177,151Eu
00Eu,242.5,104.177,Eu
00Eu,307.2,98.28,Eu
00Eu,307.2,98.28,151Eu
00Eu,151.8,74.693,153Eu
00Eu,151.8,74.693,Eu
00Eu,285.9,51.106,Eu
00Eu,238.2,47.174,151Eu
00Eu,174.4,44.226,151Eu
00Eu,174.4,44.226,Eu
00Eu,174.4,44.226,153Eu
00Eu,353.4,41.278,151Eu
00Eu,331.7,35.381,Eu
00Eu,192.0,34.398,151Eu
00Eu,192.0,34.398,153Eu
00Eu,154.7,29.484,151Eu
00Eu,221.6,26.536,153Eu
00Eu,126.5,22.604,Eu
00Eu,126.5,22.604,153Eu
00Eu,260.4,17.69,151Eu
00Eu,281.3,17.69,Eu
00Eu,168.7,17.69,Eu
00Eu,168.7,17.69,153Eu
00Eu,226.2,16.708,Eu
00Eu,318.9,10.811,Eu
00Gd,181.94,170.656,158Gd
00Gd,199.1,126.851,156Gd
00Gd,173.41,118.638,160Gd
00Gd,1187.0,42.284,156Gd
00Gd,1187.0,42.284,Gd
00Gd,1187.0,42.284,Gd
00Gd,1187.0,42.284,158Gd
00Gd,122.6,35.896,154Gd
00Gd,122.6,35.896,155Gd
00Gd,961.3,33.462,158Gd
00Gd,961.3,33.462,156Gd
00Gd,944.2,30.42,158Gd
00Gd,897.9,29.812,158Gd
00Gd,1154.0,26.161,156Gd
00Gd,913.8,24.336,160Gd
00Gd,1065.5,23.728,156Gd
00Gd,410.2,23.728,Gd
00Gd,1118.8,21.598,158Gd
00Gd,162.5,18.252,Gd
00Gd,162.5,18.252,155Gd
00Gd,277.8,17.948,158Gd
00Gd,266.5,16.427,160Gd
00Gd,296.8,16.427,156Gd
00Gd,1159.4,16.123,156Gd
00Gd,596.6,15.514,Gd
00Gd,1277.0,14.906,158Gd
00Gd,1277.0,14.906,160Gd
00Gd,977.1,14.602,158Gd
00Gd,370.4,14.602,157Gd
00Gd,336.3,14.602,157Gd
00Gd,780.2,13.689,158Gd
00Gd,1108.0,12.776,158Gd
00Gd,987.8,12.776,160Gd
00Gd,987.8,12.776,156Gd
00Gd,1040.8,12.168,156Gd
00Gd,1040.8,12.168,160Gd
00Gd,1097.3,11.864,158Gd
00Gd,982.3,11.255,160Gd
00Gd,1302.1,11.255,160Gd
00Gd,1262.5,10.951,Gd
00Gd,1262.5,10.951,158Gd
00Gd,367.2,10.951,155Gd
00Gd,1325.2,10.343,158Gd
00Gd,821.5,10.343,160Gd
00Gd,701.5,9.734,Gd
00Gd,1222.1,9.734,160Gd
00Gd,618.8,9.734,Gd
00Gd,247.6,9.734,154Gd
00Gd,286.5,9.43,155Gd
00Gd,1215.8,9.43,160Gd
00Gd,286.5,9.43,Gd
00Gd,1231.0,9.126,156Gd
00Gd,1242.2,9.126,156Gd
00Gd,451.7,8.518,157Gd
00Gd,462.3,7.301,157Gd
00Gd,146.4,6.997,155Gd
00Gd,146.4,6.997,Gd
00Gd,1147.8,6.692,160Gd
00Gd,262.1,6.084,Gd
00Gd,1180.9,6.084,158Gd
00Gd,1141.5,6.084,Gd
00Gd,132.2,6.084,158Gd
00Gd,262.1,6.084,155Gd
00Gd,132.2,6.084,157Gd
00Gd,997.9,5.476,158Gd
00Gd,362.4,5.171,155Gd
00Gd,531.4,5.171,155Gd
00Gd,675.5,5.171,Gd
00Gd,216.1,5.171,157Gd
00Gd,314.5,5.171,Gd
00Gd,1079.4,4.867,156Gd
00Gd,1168.4,4.867,156Gd
00Gd,220.5,4.867,155Gd
00Gd,1251.1,4.867,Gd
00Gd,307.2,4.563,Gd
00Gd,208.5,4.259,155Gd
00Gd,1130.1,4.259,156Gd
00Gd,969.2,4.259,156Gd
00Gd,808.2,4.259,160Gd
00Gd,708.6,3.955,Gd
00Gd,633.5,3.955,160Gd
00Gd,344.3,3.346,152Gd
00Gd,318.5,3.042,157Gd
00Gd,924.6,3.042,Gd
00Gd,657.5,2.738,Gd
00Gd,232.5,2.129,Gd
00Gd,226.2,1.825,155Gd
00Tb,331.4,355.68,159Tb
00Tb,363.5,355.68,159Tb
00Tb,348.3,231.192,159Tb
00Tb,580.9,120.931,159Tb
00Tb,184.2,106.704,159Tb
00Tb,559.6,99.59,159Tb
00Tb,370.7,74.693,159Tb
00Tb,617.5,71.136,159Tb
00Tb,121.3,56.909,159Tb
00Tb,289.6,56.909,159Tb
00Tb,536.8,53.352,159Tb
00Tb,615.4,49.795,159Tb
00Tb,317.4,46.594,159Tb
00Tb,395.1,46.238,159Tb
00Tb,272.9,46.238,159Tb
00Tb,914.4,46.238,159Tb
00Tb,159.0,27.032,159Tb
00Tb,224.5,25.609,159Tb
00Tb,429.1,24.542,159Tb
00Tb,402.6,22.764,159Tb
00Tb,388.3,22.408,159Tb
00Tb,305.2,22.408,159Tb
00Tb,1094.1,21.341,159Tb
00Tb,149.0,21.341,159Tb
00Tb,149.0,21.341,159Tb
00Tb,137.1,21.341,159Tb
00Tb,1019.0,21.341,159Tb
00Tb,1035.2,21.341,159Tb
00Tb,1063.7,20.985,159Tb
00Tb,520.1,20.629,159Tb
00Tb,623.5,19.562,159Tb
00Tb,947.0,18.851,159Tb
00Tb,1255.9,16.717,159Tb
00Tb,339.2,16.361,NG
00Tb,210.7,16.006,159Tb
00Tb,975.8,16.006,159Tb
00Tb,1003.0,15.65,159Tb
00Tb,596.4,14.939,NG
00Tb,991.4,14.583,159Tb
00Tb,1195.1,14.583,159Tb
00Tb,154.0,14.227,159Tb
00Tb,674.5,13.516,159Tb
00Tb,1276.7,12.093,159Tb
00Tb,608.2,12.093,159Tb
00Tb,753.8,11.382,159Tb
00Tb,247.6,11.382,159Tb
00Tb,457.7,11.026,159Tb
00Tb,541.7,10.67,159Tb
00Tb,1133.4,9.959,159Tb
00Tb,237.2,9.603,159Tb
00Tb,194.1,9.248,159Tb
00Tb,228.2,8.892,159Tb
00Tb,274.8,8.181,159Tb
00Tb,1156.9,8.181,159Tb
00Tb,718.7,7.469,159Tb
00Tb,464.6,7.114,159Tb
00Tb,269.1,6.402,159Tb
00Tb,282.7,6.402,159Tb
00Tb,765.3,6.047,159Tb
00Tb,260.9,5.691,159Tb
00Tb,451.3,5.335,NG
00Dy,169.0,271.44,164Dy
00Dy,185.07,271.44,162Dy
00Dy,250.94,109.255,163Dy
00Dy,167.3,101.79,161Dy
00Dy,167.3,101.79,163Dy
00Dy,260.0,98.397,162Dy
00Dy,260.0,98.397,163Dy
00Dy,260.0,98.397,164Dy
00Dy,215.23,95.004,164Dy
00Dy,212.06,80.753,163Dy
00Dy,212.06,80.753,164Dy
00Dy,754.86,67.86,164Dy
00Dy,688.46,63.788,164Dy
00Dy,208.15,63.788,163Dy
00Dy,351.22,57.002,163Dy
00Dy,263.2,55.645,Dy
00Dy,807.54,54.288,162Dy
00Dy,761.87,50.895,164Dy
00Dy,389.82,48.859,163Dy
00Dy,882.34,48.859,162Dy
00Dy,285.8,48.181,163Dy
00Dy,285.8,48.181,161Dy
00Dy,421.9,43.43,163Dy
00Dy,888.18,35.966,162Dy
00Dy,354.29,35.287,163Dy
00Dy,294.7,34.609,164Dy
00Dy,277.6,33.93,164Dy
00Dy,282.9,30.537,162Dy
00Dy,606.8,27.823,Dy
00Dy,673.66,25.787,164Dy
00Dy,245.3,23.072,Dy
00Dy,402.1,21.037,163Dy
00Dy,585.63,21.037,163Dy
00Dy,585.63,21.037,164Dy
00Dy,696.9,19.001,162Dy
00Dy,842.7,18.322,Dy
00Dy,148.7,17.644,164Dy
00Dy,1276.6,17.644,Dy
00Dy,1276.6,17.644,162Dy
00Dy,334.2,16.286,162Dy
00Dy,475.5,16.286,163Dy
00Dy,427.4,15.608,163Dy
00Dy,247.9,15.608,Dy
00Dy,316.2,15.608,163Dy
00Dy,795.4,14.929,162Dy
00Dy,917.1,14.929,162Dy
00Dy,479.4,14.929,163Dy
00Dy,1195.2,13.572,162Dy
00Dy,347.4,13.572,163Dy
00Dy,944.4,13.572,162Dy
00Dy,347.4,13.572,Dy
00Dy,782.31,12.215,164Dy
00Dy,1129.7,11.536,162Dy
00Dy,1585.1,11.536,Dy
00Dy,565.6,10.858,Dy
00Dy,344.0,10.858,163Dy
00Dy,344.0,10.858,161Dy
00Dy,441.3,10.858,163Dy
00Dy,385.8,10.858,163Dy
00Dy,711.57,10.179,163Dy
00Dy,572.8,10.179,Dy
00Dy,1273.6,9.5,162Dy
00Dy,846.6,9.5,Dy
00Dy,980.6,8.143,164Dy
00Dy,911.4,8.143,164Dy
00Dy,338.6,8.143,163Dy
00Dy,980.6,8.143,162Dy
00Dy,1092.0,7.668,162Dy
00Dy,678.0,7.465,Dy
00Dy,569.7,6.786,Dy
00Dy,1217.4,6.786,162Dy
00Dy,965.1,6.786,164Dy
00Dy,1187.7,6.582,162Dy
00Dy,436.8,6.582,Dy
00Dy,1372.7,6.379,162Dy
00Dy,267.1,6.379,Dy
00Dy,548.5,6.107,Dy
00Dy,310.0,6.107,164Dy
00Dy,1556.4,5.836,162Dy
00Dy,589.8,5.768,Dy
00Dy,1735.4,5.7,164Dy
00Dy,462.2,5.632,163Dy
00Dy,1224.0,5.429,164Dy
00Dy,1124.8,5.293,162Dy
00Dy,1599.8,5.293,164Dy
00Dy,633.6,5.089,Dy
00Dy,1649.8,5.022,164Dy
00Dy,326.0,4.818,164Dy
00Dy,326.0,4.818,162Dy
00Dy,533.7,4.479,163Dy
00Dy,647.2,4.275,162Dy
00Dy,728.5,4.207,Dy
00Dy,495.1,3.664,163Dy
00Dy,820.4,3.664,163Dy
00Dy,1642.8,3.664,164Dy
00Dy,1724.0,3.393,Dy
00Dy,1369.8,3.257,Dy
00Dy,538.5,2.986,Dy
00Dy,825.9,2.918,Dy
00Dy,371.3,2.782,163Dy
00Dy,1705.6,2.714,Dy
00Dy,1685.8,2.579,Dy
00Dy,1251.9,1.357,Dy
162Dy,185.0,271.44,162Dy
162Dy,185.0,271.44,162Dy
162Dy,882.3,76.003,162Dy
162Dy,807.6,73.289,162Dy
162Dy,888.2,46.145,162Dy
162Dy,260.0,40.716,162Dy
162Dy,282.8,32.573,162Dy
162Dy,795.5,24.43,162Dy
162Dy,1276.9,21.715,162Dy
162Dy,1276.9,21.715,162Dy
162Dy,1195.0,21.444,162Dy
162Dy,1129.8,14.658,162Dy
162Dy,917.0,11.943,162Dy
162Dy,334.1,11.672,162Dy
162Dy,698.4,10.858,162Dy
162Dy,1092.1,10.858,162Dy
162Dy,944.3,9.229,162Dy
162Dy,347.6,7.329,162Dy
162Dy,980.3,7.329,162Dy
162Dy,1125.5,7.057,162Dy
162Dy,1373.1,5.7,162Dy
162Dy,372.7,5.157,162Dy
162Dy,1219.8,5.157,162Dy
162Dy,1187.6,4.886,162Dy
162Dy,1319.5,4.886,162Dy
162Dy,1556.4,3.529,162Dy
162Dy,1309.3,3.257,162Dy
162Dy,647.7,3.257,162Dy
162Dy,327.0,3.257,162Dy
162Dy,634.5,2.986,162Dy
162Dy,246.2,2.986,162Dy
162Dy,1252.5,2.986,162Dy
162Dy,976.3,2.714,162Dy
162Dy,1806.8,2.172,162Dy
162Dy,1273.0,2.172,162Dy
162Dy,234.1,2.172,162Dy
162Dy,1774.0,1.9,162Dy
162Dy,1585.2,1.629,162Dy
162Dy,1647.4,1.629,162Dy
162Dy,1664.8,1.629,162Dy
162Dy,228.2,1.629,162Dy
162Dy,631.6,1.629,162Dy
162Dy,1901.0,1.357,162Dy
162Dy,1981.0,1.357,162Dy
162Dy,2045.5,1.357,162Dy
162Dy,2066.0,1.357,162Dy
162Dy,1918.8,1.357,162Dy
162Dy,2108.5,1.357,162Dy
162Dy,1611.4,1.357,162Dy
162Dy,937.0,1.357,162Dy
162Dy,747.5,1.086,162Dy
162Dy,727.4,1.086,162Dy
162Dy,2079.3,1.086,162Dy
162Dy,1999.3,0.814,162Dy
162Dy,1999.3,0.814,162Dy
162Dy,776.0,0.814,162Dy
162Dy,2100.5,0.543,162Dy
162Dy,238.2,0.217,162Dy
162Dy,1988.0,0.217,162Dy
162Dy,322.1,0.19,162Dy
162Dy,1909.0,0.163,162Dy
164Dy,168.8,271.44,164Dy
164Dy,688.4,138.434,164Dy
164Dy,754.8,133.006,164Dy
164Dy,761.7,100.433,164Dy
164Dy,214.9,92.29,164Dy
164Dy,673.7,33.93,164Dy
164Dy,277.7,33.93,164Dy
164Dy,211.0,23.887,164Dy
164Dy,294.7,21.172,164Dy
164Dy,259.3,20.358,164Dy
164Dy,148.7,19.272,164Dy
164Dy,782.3,17.644,164Dy
164Dy,585.5,16.558,164Dy
164Dy,326.3,11.943,164Dy
164Dy,309.3,11.129,164Dy
164Dy,353.1,9.229,164Dy
164Dy,206.3,7.057,164Dy
164Dy,1735.0,6.515,164Dy
164Dy,1735.0,6.515,164Dy
164Dy,843.3,5.429,164Dy
164Dy,843.3,5.429,164Dy
164Dy,1642.6,5.429,164Dy
164Dy,966.2,4.614,164Dy
164Dy,391.0,4.614,164Dy
164Dy,387.0,4.614,164Dy
164Dy,1601.3,4.072,164Dy
164Dy,538.3,4.072,164Dy
164Dy,982.1,3.529,164Dy
164Dy,1845.5,3.257,164Dy
164Dy,548.5,3.257,164Dy
164Dy,1515.6,3.257,164Dy
164Dy,1224.0,2.986,164Dy
164Dy,1979.0,2.986,164Dy
164Dy,911.1,2.986,164Dy
164Dy,911.1,2.986,164Dy
164Dy,611.0,2.714,164Dy
164Dy,569.1,2.714,164Dy
164Dy,1838.5,2.714,164Dy
164Dy,1838.5,2.714,164Dy
164Dy,1683.0,2.443,164Dy
164Dy,1906.2,2.172,164Dy
164Dy,2050.0,1.9,164Dy
164Dy,1858.7,1.9,164Dy
164Dy,1668.1,1.9,164Dy
164Dy,2353.0,1.629,164Dy
164Dy,1217.4,1.629,164Dy
164Dy,1582.0,1.629,164Dy
164Dy,1650.0,1.357,164Dy
164Dy,1555.5,1.357,164Dy
164Dy,1000.2,1.357,164Dy
164Dy,1543.2,1.086,164Dy
164Dy,523.2,1.086,164Dy
164Dy,2366.4,1.086,164Dy
164Dy,1431.0,0.814,164Dy
164Dy,1436.1,0.814,164Dy
164Dy,888.1,0.543,164Dy
164Dy,903.0,0.353,164Dy
00Ho,361.671,1287.0,165Ho
00Ho,515.1,167.31,165Ho
00Ho,136.0,141.57,165Ho
00Ho,136.0,141.57,NG
00Ho,567.0,113.256,165Ho
00Ho,251.1,88.803,165Ho
00Ho,688.7,87.516,165Ho
00Ho,635.6,86.229,165Ho
00Ho,635.6,86.229,165Ho
00Ho,635.6,86.229,165Ho
00Ho,635.6,86.229,165Ho
00Ho,543.6,79.794,165Ho
00Ho,543.6,79.794,NG
00Ho,715.5,75.933,165Ho
00Ho,472.5,74.646,165Ho
00Ho,211.4,61.776,165Ho
00Ho,238.4,57.915,NG
00Ho,204.0,55.341,165Ho
00Ho,169.3,54.054,165Ho
00Ho,169.3,54.054,165Ho
00Ho,289.0,50.193,NG
00Ho,289.0,50.193,165Ho
00Ho,426.4,45.045,165Ho
00Ho,426.4,45.045,NG
00Ho,725.2,41.184,165Ho
00Ho,181.3,37.323,NG
00Ho,416.8,30.888,NG
00Ho,416.8,30.888,165Ho
00Ho,609.5,29.601,165Ho
00Ho,154.1,28.314,165Ho
00Ho,820.3,20.592,165Ho
00Ho,454.0,19.305,NG
00Ho,1055.3,18.018,165Ho
00Ho,621.7,18.018,165Ho
00Ho,268.5,18.018,165Ho
00Ho,1055.3,18.018,165Ho
00Ho,1079.8,16.731,165Ho
00Ho,311.3,16.731,165Ho
00Ho,1243.2,16.731,165Ho
00Ho,1243.2,16.731,165Ho
00Ho,735.5,14.157,165Ho
00Ho,918.3,12.87,165Ho
00Ho,225.4,12.87,165Ho
00Ho,1140.5,11.969,165Ho
00Ho,1278.6,11.583,165Ho
00Ho,1416.7,11.454,165Ho
00Ho,1153.2,10.94,165Ho
00Ho,1092.6,10.553,165Ho
00Ho,677.8,10.425,165Ho
00Ho,1190.0,10.296,165Ho
00Ho,1167.0,10.296,165Ho
00Ho,1409.8,9.781,165Ho
00Ho,660.7,9.652,165Ho
00Ho,979.7,9.009,165Ho
00Ho,1219.3,9.009,165Ho
00Ho,647.0,8.365,165Ho
00Ho,279.5,8.237,165Ho
00Ho,759.4,7.979,165Ho
00Ho,1388.0,7.722,165Ho
00Ho,1479.7,7.593,165Ho
00Ho,1364.1,7.336,165Ho
00Ho,747.3,6.95,165Ho
00Ho,786.9,6.178,165Ho
00Ho,1117.9,4.633,165Ho
00Ho,940.2,4.633,165Ho
00Ho,910.4,4.633,165Ho
00Ho,948.1,4.504,165Ho
00Ho,926.8,3.475,165Ho
00Er,184.3,365.04,166Er
00Er,184.3,365.04,168Er
00Er,207.77,137.498,167Er
00Er,815.88,121.68,168Er
00Er,346.51,109.512,167Er
00Er,198.0,100.994,168Er
00Er,181.5,94.91,170Er
00Er,778.78,66.924,166Er
00Er,741.24,48.672,168Er
00Er,705.29,45.022,166Er
00Er,932.4,43.805,Er
00Er,932.4,43.805,168Er
00Er,160.32,43.805,167Er
00Er,932.4,43.805,170Er
00Er,531.48,42.588,167Er
00Er,785.86,41.371,166Er
00Er,280.4,38.938,166Er
00Er,284.4,38.938,168Er
00Er,280.4,38.938,170Er
00Er,730.4,36.504,166Er
00Er,730.4,36.504,168Er
00Er,810.6,35.287,166Er
00Er,821.1,35.287,168Er
00Er,854.4,32.854,170Er
00Er,631.65,32.854,168Er
00Er,854.4,32.854,168Er
00Er,573.5,31.637,167Er
00Er,560.0,27.986,167Er
00Er,148.6,25.553,167Er
00Er,131.3,24.336,167Er
00Er,672.1,21.902,166Er
00Er,1013.6,20.686,Er
00Er,1278.3,20.686,Er
00Er,545.5,19.469,167Er
00Er,844.0,19.469,170Er
00Er,595.6,17.035,166Er
00Er,915.2,17.035,168Er
00Er,241.4,14.723,Er
00Er,216.4,14.358,Er
00Er,232.5,14.237,Er
00Er,1138.3,13.75,Er
00Er,117.0,13.385,Er
00Er,749.0,12.411,Er
00Er,1227.5,10.951,Er
00Er,1169.3,10.951,Er
00Er,177.8,10.951,167Er
00Er,1188.9,9.734,Er
00Er,831.2,9.004,Er
00Er,447.0,8.518,168Er
00Er,711.5,8.518,167Er
00Er,1582.6,8.518,Er
00Er,720.0,7.301,Er
00Er,1262.9,6.936,Er
00Er,639.5,6.327,167Er
00Er,646.2,6.084,Er
00Er,1324.3,5.476,Er
00Er,1623.0,5.476,Er
00Er,1414.7,4.867,Er
00Er,1352.9,4.137,Er
00Er,1661.8,4.015,Er
00Tm,130.51,260.302,169Tm
00Tm,198.0,171.007,169Tm
00Tm,336.6,157.529,169Tm
00Tm,177.2,122.148,169Tm
00Tm,333.6,94.349,169Tm
00Tm,474.7,84.24,169Tm
00Tm,562.3,69.077,NG
00Tm,562.3,69.077,169Tm
00Tm,117.9,64.022,169Tm
00Tm,117.9,64.022,169Tm
00Tm,193.4,59.81,169Tm
00Tm,291.2,59.81,169Tm
00Tm,356.6,56.441,169Tm
00Tm,570.3,53.914,NG
00Tm,570.3,53.914,169Tm
00Tm,342.0,49.702,169Tm
00Tm,307.5,42.12,169Tm
00Tm,624.6,39.593,169Tm
00Tm,528.3,38.75,169Tm
00Tm,228.6,37.908,169Tm
00Tm,236.4,25.272,169Tm
00Tm,236.4,25.272,NG
00Tm,579.6,19.375,169Tm
00Tm,617.2,19.375,169Tm
00Tm,815.3,17.69,169Tm
00Tm,213.8,16.848,169Tm
00Tm,879.3,16.006,169Tm
00Tm,465.8,16.006,169Tm
00Tm,662.1,16.006,NG
00Tm,716.6,16.006,NG
00Tm,1132.4,15.163,169Tm
00Tm,774.3,15.163,169Tm
00Tm,679.8,15.163,NG
00Tm,551.6,10.951,NG
00Tm,854.2,10.951,169Tm
00Tm,315.0,10.109,169Tm
00Tm,758.1,9.266,169Tm
00Tm,1222.0,9.266,169Tm
00Tm,824.0,9.266,169Tm
00Tm,453.4,8.424,169Tm
00Tm,739.3,7.497,169Tm
00Tm,767.1,6.739,169Tm
00Tm,1080.0,6.739,169Tm
00Tm,259.9,6.318,169Tm
00Tm,259.9,6.318,169Tm
00Tm,898.5,5.981,169Tm
00Tm,846.1,5.897,169Tm
00Tm,1260.9,5.897,169Tm
00Tm,976.3,4.97,169Tm
00Tm,269.8,4.886,169Tm
00Tm,924.1,4.802,169Tm
00Tm,791.6,3.791,169Tm
00Tm,1190.3,3.791,169Tm
00Tm,987.6,3.707,169Tm
00Tm,1277.8,3.707,169Tm
00Yb,176.643,107.659,174Yb
00Yb,181.4,89.842,172Yb
00Yb,190.0,42.457,176Yb
00Yb,272.6,39.045,174Yb
00Yb,272.6,39.045,173Yb
00Yb,399.9,37.908,173Yb
00Yb,1241.7,18.575,174Yb
00Yb,1092.9,15.921,172Yb
00Yb,1293.5,14.405,Yb
00Yb,163.8,12.131,171Yb
00Yb,1116.7,10.993,172Yb
00Yb,1116.7,10.993,Yb
00Yb,1633.7,10.614,Yb
00Yb,1633.7,10.614,174Yb
00Yb,288.0,9.856,174Yb
00Yb,1306.1,9.856,174Yb
00Yb,122.6,9.856,173Yb
00Yb,171.2,9.098,173Yb
00Yb,1069.6,8.34,172Yb
00Yb,193.3,7.203,170Yb
00Yb,1076.2,6.444,172Yb
00Yb,223.8,6.444,174Yb
00Yb,1554.0,6.065,174Yb
00Yb,1554.0,6.065,Yb
00Yb,857.4,5.686,172Yb
00Yb,1528.0,5.307,174Yb
00Yb,280.0,5.307,172Yb
