Isotope,Energy (keV),Sigma (mb),DSigma (mb),Half life (s),Decay
71Ga,520.74,0.94,0.09000000000000001,50800.0,B-
71Ga,738.5,0.94,0.09000000000000001,50800.0,B-
71Ga,2981.14,0.94,0.09000000000000001,50800.0,B-
71Ga,1711.15,0.78,0.09000000000000001,50800.0,B-
71Ga,772.0,0.75,0.09000000000000001,50800.0,B-
71Ga,1613.6,0.69,0.060000000000000005,50800.0,B-
71Ga,1192.4,0.6,0.060000000000000005,50800.0,B-
71Ga,1630.0,0.57,0.060000000000000005,50800.0,B-
71Ga,401.3,0.57,0.060000000000000005,50800.0,B-
71Ga,975.5,0.57,0.060000000000000005,50800.0,B-
71Ga,2942.4,0.5,0.060000000000000005,50800.0,B-
71Ga,2785.1,0.5,0.060000000000000005,50800.0,B-
71Ga,2402.2,0.41,0.060000000000000005,50800.0,B-
71Ga,230.6,0.41,0.030000000000000002,50800.0,B-
71Ga,306.0,0.38,0.030000000000000002,50800.0,B-
71Ga,1037.2,0.38,0.030000000000000002,50800.0,B-
71Ga,317.5,0.38,0.030000000000000002,50800.0,B-
71Ga,2605.5,0.31,0.030000000000000002,50800.0,B-
71Ga,1500.9,0.31,0.030000000000000002,50800.0,B-
71Ga,3093.7,0.29,0.030000000000000002,50800.0,B-
71Ga,2404.3,0.264,0.025,50800.0,B-
71Ga,2633.9,0.248,0.025,50800.0,B-
71Ga,2583.4,0.245,0.025,50800.0,B-
71Ga,112.52,0.22,0.030000000000000002,50800.0,B-
71Ga,142.53,0.185,0.019,50800.0,B-
71Ga,2939.6,0.179,0.019,50800.0,B-
71Ga,1155.7,0.179,0.019,50800.0,B-
71Ga,50.88,0.17300000000000001,0.019,50800.0,B-
71Ga,113.5,0.097,0.009000000000000001,50800.0,B-
71Ga,2950.0,0.066,0.016,50800.0,B-
71Ga,3338.3,0.053,0.006,50800.0,B-
71Ga,3324.6,0.05,0.006,50800.0,B-
72Ge,53.44,13.4,1.2,0.499,IT
72Ge,13.271,0.11699999999999999,0.01,0.499,IT
74Ge,139.68,23.2,0.7,47.7,IT
74Ge,264.6,18.0,1.2,4970.0,B-
74Ge,198.6,1.9,0.060000000000000005,4970.0,B-
74Ge,468.8,0.358,0.015000000000000001,4970.0,B-
74Ge,419.1,0.29500000000000004,0.011,4970.0,B-
74Ge,66.0,0.182,0.009000000000000001,4970.0,B-
74Ge,617.7,0.182,0.009000000000000001,4970.0,B-
74Ge,353.0,0.033,0.004,4970.0,B-
74Ge,279.7,0.009099999999999999,0.0018,4970.0,B-
74Ge,338.0,0.0073,0.0018,4970.0,B-
74Ge,270.2,0.0055,0.0018,4970.0,B-
75As,559.1,2000.0,100.0,94500.0,B-
75As,657.05,279.0,14.0,94500.0,B-
75As,1216.08,155.0,8.0,94500.0,B-
75As,1212.92,65.0,4.0,94500.0,B-
75As,1228.52,55.0,4.0,94500.0,B-
75As,563.23,54.0,3.0,94500.0,B-
75As,2096.3,24.8,1.4,94500.0,B-
75As,665.34,16.5,1.4,94500.0,B-
75As,2110.8,14.8,1.0,94500.0,B-
75As,1787.66,13.2,0.8,94500.0,B-
75As,1439.1,12.6,0.6,94500.0,B-
75As,571.5,6.3,0.4,94500.0,B-
75As,867.64,5.8999999999999995,0.4,94500.0,B-
75As,1129.87,5.7,0.6,94500.0,B-
75As,771.74,5.5,0.4,94500.0,B-
75As,740.1,5.3,0.4,94500.0,B-
75As,1453.62,4.8999999999999995,0.4,94500.0,B-
75As,575.3,3.0500000000000003,0.2,94500.0,B-
75As,882.13,2.64,0.2,94500.0,B-
75As,1870.0,2.44,0.2,94500.0,B-
75As,472.8,2.2399999999999998,0.2,94500.0,B-
75As,2655.3,1.97,0.1,94500.0,B-
75As,980.9,1.8699999999999999,0.1,94500.0,B-
75As,456.9,1.61,0.1,94500.0,B-
75As,665.0,1.6,1.6,94500.0,B-
75As,2429.0,1.42,0.12000000000000001,94500.0,B-
75As,1532.8,1.1,0.060000000000000005,94500.0,B-
75As,403.2,1.06,0.060000000000000005,94500.0,B-
75As,727.0,0.83,0.060000000000000005,94500.0,B-
75As,1130.0,0.8,0.6,94500.0,B-
75As,809.8,0.7699999999999999,0.04,94500.0,B-
75As,358.4,0.61,0.0,94500.0,B-
75As,695.2,0.41,0.04,94500.0,B-
75As,302.2,0.41,0.060000000000000005,94500.0,B-
75As,1955.7,0.41,0.04,94500.0,B-
75As,1567.9,0.34600000000000003,0.02,94500.0,B-
75As,1611.2,0.34600000000000003,0.02,94500.0,B-
75As,484.8,0.25999999999999995,0.060000000000000005,94500.0,B-
75As,797.0,0.2,0.13999999999999999,94500.0,B-
75As,466.5,0.2,0.16,94500.0,B-
75As,1098.2,0.163,0.02,94500.0,B-
75As,639.5,0.16,0.060000000000000005,94500.0,B-
75As,954.6,0.08,0.060000000000000005,94500.0,B-
75As,437.3,0.061,0.02,94500.0,B-
75As,2127.0,0.061,0.02,94500.0,B-
75As,1805.0,0.060000000000000005,0.04,94500.0,B-
75As,1881.3,0.041,0.02,94500.0,B-
75As,1467.0,0.041,0.02,94500.0,B-
75As,1030.6,0.041,0.02,94500.0,B-
75As,2669.7,0.0122,0.002,94500.0,B-
76Se,161.922,855.0,23.400000000000002,17.4,IT
76Ge,264.44,6.4,0.019,40700.0,B-
76Ge,211.03,3.67,0.111,40700.0,B-
76Ge,215.5,3.4099999999999997,0.101,40700.0,B-
76Ge,416.33,2.6,0.0605,40700.0,B-
76Ge,215.53,2.5,0.3,52.9,B-
76Ge,558.02,1.91,0.050300000000000004,40700.0,B-
76Ge,367.4,1.6700000000000002,0.040299999999999996,40700.0,B-
76Ge,159.61,1.0,0.23,52.9,IT
76Ge,714.35,0.853,0.0192,40700.0,B-
76Ge,631.82,0.828,0.0192,40700.0,B-
76Ge,1085.19,0.7200000000000001,0.0152,40700.0,B-
76Ge,1368.4,0.4,0.04,40700.0,B-
76Ge,1193.26,0.305,0.006070000000000001,40700.0,B-
76Ge,810.35,0.27,0.00605,40700.0,B-
76Ge,634.39,0.248,0.00505,40700.0,B-
76Ge,194.76,0.211,0.00802,40700.0,B-
76Ge,784.77,0.157,0.00304,40700.0,B-
76Ge,461.38,0.15100000000000002,0.0030299999999999997,40700.0,B-
76Ge,419.75,0.146,0.0030299999999999997,40700.0,B-
76Ge,928.85,0.124,0.0030199999999999997,40700.0,B-
76Ge,781.26,0.121,0.0030199999999999997,40700.0,B-
76Ge,475.43,0.118,0.0030199999999999997,40700.0,B-
76Ge,745.75,0.115,0.0030199999999999997,40700.0,B-
76Ge,906.99,0.11299999999999999,0.0030199999999999997,40700.0,B-
76Ge,208.98,0.112,0.00401,40700.0,B-
76Ge,749.86,0.10500000000000001,0.00193,40700.0,B-
76Ge,1263.86,0.101,0.0019199999999999998,40700.0,B-
76Ge,712.35,0.0988,0.0019199999999999998,40700.0,B-
76Ge,156.36,0.096,0.00301,40700.0,B-
76Ge,766.72,0.0937,0.0019199999999999998,40700.0,B-
76Ge,875.19,0.093,0.00301,40700.0,B-
76Ge,582.54,0.093,0.0019199999999999998,40700.0,B-
76Ge,925.47,0.085,0.009000000000000001,40700.0,B-
76Ge,923.14,0.0821,0.0019199999999999998,40700.0,B-
76Ge,338.66,0.07959999999999999,0.00191,40700.0,B-
76Ge,1573.69,0.07830000000000001,0.00191,40700.0,B-
76Ge,823.13,0.0712,0.00132,40700.0,B-
76Ge,2000.1,0.0667,0.00132,40700.0,B-
76Ge,673.09,0.064,0.006,40700.0,B-
76Ge,614.39,0.060000000000000005,0.006,40700.0,B-
76Ge,1495.6,0.0593,0.0012100000000000001,40700.0,B-
76Ge,1309.27,0.0579,0.00131,40700.0,B-
76Ge,2341.63,0.056100000000000004,0.0012100000000000001,40700.0,B-
76Ge,194.8,0.0484,0.0020099999999999996,52.9,B-
76Ge,1242.18,0.0474,0.00101,40700.0,B-
76Ge,1719.66,0.0474,0.00101,40700.0,B-
