Isotope,Energy (keV),Sigma (mb),DSigma (mb),Half life (s),Decay
104Ru,1321.26,0.33,0.040299999999999996,16000.0,B-
104Ru,470.1,0.3,0.0402,16000.0,B-
104Ru,163.46,0.25,0.030199999999999998,16000.0,B-
104Ru,851.98,0.25,0.030199999999999998,16000.0,B-
104Ru,632.34,0.242,0.0233,16000.0,B-
104Ru,225.08,0.19699999999999998,0.0153,16000.0,B-
104Ru,539.29,0.182,0.0152,16000.0,B-
104Ru,559.24,0.174,0.0152,16000.0,B-
104Ru,183.6,0.159,0.0152,16000.0,B-
104Ru,407.6,0.14400000000000002,0.0152,16000.0,B-
104Ru,306.66,0.129,0.015099999999999999,16000.0,B-
104Ru,591.2,0.129,0.015099999999999999,16000.0,B-
104Ru,738.27,0.121,0.015099999999999999,16000.0,B-
104Ru,1698.1,0.121,0.0231,16000.0,B-
104Ru,621.04,0.114,0.015099999999999999,16000.0,B-
104Ru,1215.38,0.114,0.015099999999999999,16000.0,B-
104Ru,62.39,0.106,0.015099999999999999,16000.0,B-
104Ru,254.88,0.106,0.015099999999999999,16000.0,B-
104Ru,1377.06,0.091,0.015099999999999999,16000.0,B-
104Ru,81.2,0.083,0.015099999999999999,16000.0,B-
104Ru,139.33,0.076,0.015000000000000001,16000.0,B-
104Ru,369.45,0.076,0.015000000000000001,16000.0,B-
104Ru,805.84,0.073,0.015000000000000001,16000.0,B-
104Ru,1721.36,0.053,0.015000000000000001,16000.0,B-
104Ru,597.1,0.048,0.011,16000.0,B-
104Ru,286.3,0.045000000000000005,0.008029999999999999,16000.0,B-
104Ru,343.3,0.045000000000000005,0.008029999999999999,16000.0,B-
104Ru,846.9,0.045000000000000005,0.008029999999999999,16000.0,B-
104Ru,1059.6,0.043000000000000003,0.011,16000.0,B-
104Ru,245.21,0.04,0.00802,16000.0,B-
104Ru,1251.89,0.031,0.004030000000000001,16000.0,B-
104Ru,577.0,0.030000000000000002,0.00801,16000.0,B-
104Ru,701.0,0.030000000000000002,0.00801,16000.0,B-
104Ru,1222.0,0.030000000000000002,0.004019999999999999,16000.0,B-
104Ru,952.78,0.0242,0.00233,16000.0,B-
104Ru,339.4,0.023,0.00801,16000.0,B-
104Ru,820.0,0.023,0.00801,16000.0,B-
104Ru,635.5,0.023,0.00801,16000.0,B-
104Ru,984.6,0.017,0.00301,16000.0,B-
104Ru,707.0,0.015000000000000001,0.008,16000.0,B-
104Ru,572.0,0.015000000000000001,0.008,16000.0,B-
104Ru,1082.7,0.013,0.00301,16000.0,B-
104Ru,1172.58,0.012,0.00301,16000.0,B-
104Ru,987.0,0.011399999999999999,0.00231,16000.0,B-
104Ru,1441.2,0.01,0.030000000000000002,16000.0,B-
104Ru,1209.0,0.01,0.030000000000000002,16000.0,B-
104Ru,1229.5,0.009099999999999999,0.0023,16000.0,B-
104Ru,1085.4,0.0076,0.0023,16000.0,B-
104Ru,1094.0,0.0053,0.0015,16000.0,B-
104Ru,1357.2,0.0038,0.000802,16000.0,B-
104Ru,1238.8,0.003,0.0008010000000000001,16000.0,B-
104Ru,1571.0,0.0015,0.0007999999999999999,16000.0,B-
104Ru,1829.6,0.0012,0.0009,16000.0,B-
104Ru,1708.7,0.0007999999999999999,0.00039999999999999996,16000.0,B-
104Ru,1809.0,0.00039999999999999996,0.0003,16000.0,B-
104Ru,1765.4,0.0003,0.00023,16000.0,B-
106Pd,214.9,2.4,0.4,21.3,IT
107Ag,632.98,369.0,21.0,142.0,B-
107Ag,433.96,99.0,2.0,142.0,EC
107Ag,618.86,52.0,3.0,142.0,EC
107Ag,1007.22,2.76,0.13999999999999999,142.0,EC
107Ag,880.26,0.63,0.05,142.0,EC
107Ag,1441.14,0.6,0.04,142.0,EC
107Ag,497.1,0.45,0.11,142.0,EC
107Ag,388.6,0.37,0.12000000000000001,142.0,EC
107Ag,1106.0,0.33,0.030000000000000002,142.0,EC
107Ag,1540.0,0.208,0.02,142.0,EC
107Ag,383.2,0.18000000000000002,0.060000000000000005,142.0,EC
107Ag,931.12,0.10900000000000001,0.01,142.0,EC
108Pd,188.99,27.3,1.5,281.0,IT
109Ag,657.5,1860.0,50.0,24.6,B-
109Ag,815.5,15.8,0.4,24.6,B-
109Ag,1125.8,6.32,0.19,24.6,B-
109Ag,818.2,3.72,0.19,24.6,B-
109Ag,295.3,3.2,0.6,24.6,B-
109Ag,1674.3,2.98,0.12999999999999998,24.6,B-
109Ag,1783.6,1.9,0.3,24.6,B-
109Ag,1475.8,1.49,0.19,24.6,B-
109Ag,2004.4,1.49,0.15,24.6,B-
109Ag,1186.3,1.1199999999999999,0.24000000000000002,24.6,B-
109Ag,1421.4,0.93,0.19,24.6,B-
109Ag,1629.9,0.93,0.19,24.6,B-
109Ag,1074.0,0.37,0.19,24.6,B-
110Pd,172.18,1.5,0.3,19800.0,IT
110Pd,580.0,0.19,0.00134,1400.0,B-
110Pd,70.43,0.16799999999999998,0.00612,1400.0,B-
110Pd,1459.0,0.125,0.00904,1400.0,B-
110Pd,650.4,0.12300000000000001,0.006059999999999999,1400.0,B-
110Pd,1388.5,0.12000000000000001,0.00904,1400.0,B-
110Pd,59.82,0.118,0.00904,1400.0,B-
110Pd,376.68,0.09899999999999999,0.006039999999999999,1400.0,B-
110Pd,547.0,0.082,0.00603,1400.0,B-
110Pd,623.2,0.062,0.004019999999999999,1400.0,B-
110Pd,835.7,0.060000000000000005,0.004019999999999999,1400.0,B-
110Pd,509.1,0.047,0.00601,1400.0,B-
110Pd,509.1,0.047,0.00601,1400.0,B-
110Pd,1120.4,0.030000000000000002,0.00301,1400.0,B-
110Pd,709.8,0.028,0.00301,1400.0,B-
110Pd,289.8,0.022799999999999997,0.00171,1400.0,B-
110Pd,404.8,0.0187,0.0011099999999999999,1400.0,B-
110Pd,415.5,0.0165,0.000611,1400.0,B-
110Pd,1002.3,0.013699999999999999,0.0024,1400.0,B-
110Pd,476.7,0.0129,0.0011,1400.0,B-
110Pd,685.4,0.0112,0.0013,1400.0,B-
110Pd,438.5,0.0108,0.0011,1400.0,B-
110Pd,775.5,0.0094,0.000902,1400.0,B-
110Pd,641.7,0.0094,0.0019,1400.0,B-
110Pd,955.5,0.0084,0.000802,1400.0,B-
110Pd,803.8,0.007700000000000001,0.0013,1400.0,B-
110Pd,169.4,0.007,0.003,1400.0,B-
110Pd,391.2,0.0058000000000000005,0.000194,1400.0,B-
110Pd,485.8,0.0058000000000000005,0.0011,1400.0,B-
110Pd,516.4,0.0058000000000000005,0.0013,1400.0,B-
110Pd,540.7,0.0058000000000000005,0.0011,1400.0,B-
110Pd,808.5,0.0058000000000000005,0.0008010000000000001,1400.0,B-
110Pd,1574.5,0.0058000000000000005,0.000901,1400.0,B-
110Pd,921.4,0.0054,0.0011,1400.0,B-
110Pd,230.3,0.0052,0.0006010000000000001,1400.0,B-
110Pd,657.3,0.0052,0.0006010000000000001,1400.0,B-
110Pd,603.1,0.0051,0.0024,1400.0,B-
110Pd,635.0,0.005,0.004,1400.0,B-
110Pd,1542.9,0.0049,0.0006010000000000001,1400.0,B-
110Pd,316.8,0.0045000000000000005,0.0006010000000000001,1400.0,B-
110Pd,478.9,0.0043,0.0024,1400.0,B-
110Pd,1644.3,0.0043,0.000901,1400.0,B-
110Pd,793.8,0.0039,0.0007999999999999999,1400.0,B-
110Pd,611.3,0.0039,0.0009,1400.0,B-
110Pd,641.7,0.0037,0.0017000000000000001,1400.0,B-
110Pd,742.6,0.0037,0.0009,1400.0,B-
110Pd,624.0,0.0037,0.0009,1400.0,B-
110Pd,552.6,0.0036,0.0006010000000000001,1400.0,B-
110Pd,87.0,0.0034000000000000002,2.3899999999999998e-05,1400.0,B-
110Pd,745.7,0.0031999999999999997,0.0013,1400.0,B-
110Pd,166.0,0.0028,0.0019,1400.0,B-
110Pd,1059.8,0.0028,0.0009,1400.0,B-
110Pd,1067.1,0.0028,0.0009,1400.0,B-
110Pd,279.0,0.0022,0.0007999999999999999,1400.0,B-
110Pd,202.2,0.0022,0.0006,1400.0,B-
110Pd,519.3,0.0022,0.0011,1400.0,B-
110Pd,308.4,0.00206,0.000191,1400.0,B-
110Pd,494.1,0.0019,0.0009,1400.0,B-
110Pd,1026.6,0.0019,0.0009,1400.0,B-
110Pd,833.0,0.0019,0.0009,1400.0,B-
110Pd,950.0,0.0019,0.0007999999999999999,1400.0,B-
110Pd,1015.0,0.0019,0.0009,1400.0,B-
110Pd,1269.7,0.0019,0.0006,1400.0,B-
110Pd,816.5,0.0017000000000000001,0.0009,1400.0,B-
110Pd,1311.2,0.0017000000000000001,0.0009,1400.0,B-
110Pd,937.3,0.0015,0.0007999999999999999,1400.0,B-
110Pd,1022.0,0.0015,0.0007999999999999999,1400.0,B-
110Pd,1098.0,0.0015,0.0007999999999999999,1400.0,B-
110Pd,352.2,0.0013,0.0006,1400.0,B-
110Pd,101.4,0.0011,0.0006,1400.0,B-
110Pd,418.0,0.0009,0.0006,1400.0,B-
110Pd,773.0,0.0009,0.00039999999999999996,1400.0,B-
110Pd,890.0,0.0009,0.00039999999999999996,1400.0,B-
110Pd,1053.0,0.0009,0.0006,1400.0,B-
110Pd,808.5,0.00026,0.00016999999999999999,1400.0,B-
110Pd,1506.0,0.00019,0.00019,1400.0,B-
110Pd,141.8,8.999999999999999e-05,4e-05,1400.0,B-
113In,311.646,130.0,30.599999999999998,0.0431,IT
113In,1299.83,0.24000000000000002,0.0501,71.9,B-
115In,1293.54,131000.0,3010.0,3260.0,B-
115In,1097.3,87300.0,1710.0,3260.0,B-
115In,416.86,43000.0,1800.0,3260.0,B-
115In,2112.1,24100.0,702.0,3260.0,B-
115In,818.7,17800.0,701.0,3260.0,B-
115In,162.393,15800.0,801.0,2.18,IT
115In,1507.4,15500.0,501.0,3260.0,B-
115In,138.326,5110.0,180.0,3260.0,B-
115In,1753.8,3820.0,120.0,3260.0,B-
115In,463.14,1280.0,80.0,3260.0,B-
115In,355.36,1280.0,70.1,3260.0,B-
115In,972.4,705.0,25.0,3260.0,B-
115In,1293.4,470.0,0.99,14.1,B-
115In,705.7,260.0,40.0,3260.0,B-
115In,689.0,250.0,40.0,3260.0,B-
115In,278.49,220.0,30.0,3260.0,B-
115In,262.95,180.0,40.0,3260.0,B-
115In,303.8,180.0,30.0,3260.0,B-
115In,655.7,170.0,70.0,3260.0,B-
115In,781.1,170.0,30.0,3260.0,B-
115In,932.2,118.0,25.0,3260.0,B-
115In,730.7,100.0,40.0,3260.0,B-
115In,463.3,93.0,0.196,14.1,B-
115In,830.9,81.0,16.0,3260.0,B-
115In,2225.5,80.0,13.0,3260.0,B-
115In,567.4,64.0,20.0,3260.0,B-
115In,245.0,58.0,12.0,3260.0,B-
115In,434.9,56.0,22.0,3260.0,B-
115In,536.0,54.0,20.0,3260.0,B-
115In,1072.3,31.0,24.0,3260.0,B-
115In,99.81,26.0,10.0,3260.0,B-
115In,124.75,16.0,8.0,3260.0,B-
115In,1252.6,11.0,0.023200000000000002,14.1,B-
115In,2112.3,7.6,0.016,14.1,B-
115In,1497.1,5.7,0.012,14.1,B-
115In,818.7,5.2,0.0109,14.1,B-
115In,932.1,4.7,0.0099,14.1,B-
115In,1356.4,3.8,0.008,14.1,B-
115In,2225.5,2.0,0.00421,14.1,B-
115In,165.5,0.76,0.0015999999999999999,3260.0,B-
115In,2649.8,0.43,0.000905,14.1,B-
121Sb,564.24,2700.0,3.7399999999999998,235000.0,B-
121Sb,692.65,146.0,5.0,235000.0,B-
121Sb,1256.93,30.900000000000002,1.6,235000.0,B-
121Sb,61.413,20.0,2.0,251.0,IT
121Sb,76.059,8.1,0.8,251.0,IT
121Sb,793.3,0.62,0.16,235000.0,B-
121Sb,615.0,0.43,0.16,235000.0,B-
121Sb,1752.4,0.35,0.05,235000.0,B-
121Sb,1188.0,0.16,0.030000000000000002,235000.0,B-
121Sb,26.087,0.0011,0.0003,251.0,IT
122Sn,160.32,5.8,0.0376,2400.0,B-
122Sn,381.4,0.00284,0.00023099999999999998,2400.0,B-
122Sn,541.8,0.00133,0.00023,2400.0,B-
122Sn,552.5,0.00069,0.00011999999999999999,2400.0,B-
122Sn,170.9,0.0005,0.0003,2400.0,B-
123Sb,602.72,68.0,9.0,93.0,B-
123Sb,645.82,68.0,9.0,93.0,B-
123Sb,498.4,68.0,9.0,93.0,B-
123Sb,1101.0,1.6,0.2,93.0,B-
123Sb,10.863,0.014,0.002,93.0,IT
123Sb,10.863,0.006039999999999999,0.00017999999999999998,1210.0,IT
123Sb,25.982,0.00445,0.00013,1210.0,IT
124Sn,331.9,8.3,0.203,571.0,B-
124Xe,111.3,2.7,0.6669999999999999,56.9,IT
124Xe,141.4,0.91,0.133,56.9,IT
124Sn,1404.0,0.0527,0.0022500000000000003,571.0,B-
124Sn,589.6,0.015000000000000001,0.003,571.0,B-
124Sn,1483.9,0.013900000000000001,0.0022,571.0,B-
124Sn,643.0,0.012,0.003,571.0,B-
124Sn,1615.3,0.0088,0.0015,571.0,B-
124Sn,1017.3,0.0073,0.0015,571.0,B-
124Sn,1368.8,0.0073,0.0015,571.0,B-
124Sn,386.0,0.0066,0.000702,571.0,B-
124Sn,840.9,0.0051,0.0015,571.0,B-
124Sn,311.2,0.005,0.004,571.0,B-
124Sn,278.4,0.005,0.004,571.0,B-
124Sn,1093.0,0.0029000000000000002,0.0015,571.0,B-
124Sn,1151.1,0.0022,0.0015,571.0,B-
124Sn,1735.6,0.0022,0.0007,571.0,B-
124Sn,1349.0,0.0015,0.0007,571.0,B-
124Sn,1059.0,0.0015,0.0015,571.0,B-
124Sn,1913.5,0.0015,0.0007,571.0,B-
124Sn,778.0,0.001,0.004,571.0,B-
124Sn,1305.0,0.0007,0.0007,571.0,B-
124Sn,1947.0,0.0007,0.00039999999999999996,571.0,B-
124Sn,1582.0,0.00039999999999999996,0.00039999999999999996,571.0,B-
124Sn,2113.0,0.00015,0.00015,571.0,B-
127I,442.901,595.0,4.0,1500.0,B-
127I,526.557,57.0,0.3,1500.0,B-
127I,969.458,14.1,0.4,1500.0,B-
127I,743.5,5.1000000000000005,0.5,1500.0,EC
127I,1140.079,0.365,0.019,1500.0,B-
127I,613.493,0.108,0.013,1500.0,B-
127I,1434.4,0.022699999999999998,0.0019,1500.0,B-
127I,907.84,0.005,0.003,1500.0,B-
128Xe,39.578,0.69,0.13999999999999999,767000.0,IT
128Xe,196.56,0.42000000000000004,0.0803,767000.0,IT
130Te,149.716,63.0,1.08,1500.0,B-
130Te,452.323,16.8,0.289,1500.0,B-
130Te,1146.96,4.56,0.0818,1500.0,B-
130Te,492.66,4.45,0.0782,1500.0,B-
130Te,602.039,3.8600000000000003,0.06849999999999999,1500.0,B-
130Te,773.67,3.5500000000000003,0.0726,108000.0,B-
130Te,997.25,3.07,0.054,1500.0,B-
130Te,948.542,2.0799999999999996,0.0434,1500.0,B-
130Te,852.21,1.9200000000000002,0.0517,108000.0,B-
130Ba,108.45,1.5,0.201,876.0,IT
130Te,654.26,1.41,0.027299999999999998,1500.0,B-
130Te,793.75,1.2899999999999998,0.028399999999999998,108000.0,B-
130Te,1125.46,1.06,0.0285,108000.0,B-
130Te,1206.6,0.906,0.0209,108000.0,B-
130Te,334.27,0.888,0.0187,108000.0,B-
130Te,384.059,0.824,0.0153,1500.0,B-
130Te,934.483,0.805,0.0189,1500.0,B-
130Te,102.06,0.737,0.0188,108000.0,B-
130Te,1007.96,0.735,0.013900000000000001,1500.0,B-
130Te,782.49,0.723,0.0165,108000.0,B-
130Te,240.93,0.705,0.013900000000000001,108000.0,B-
130Te,200.63,0.7010000000000001,0.0163,108000.0,B-
130Te,342.945,0.646,0.0126,1500.0,B-
130Te,822.78,0.5680000000000001,0.012,108000.0,B-
130Te,149.71,0.47,0.0605,108000.0,B-
130Te,1294.34,0.443,0.00965,1500.0,B-
130Te,727.0,0.431,0.00949,1500.0,B-
130Te,665.05,0.40299999999999997,0.00981,108000.0,B-
130Te,544.88,0.393,0.0146,1500.0,B-
130Te,81.14,0.378,0.00952,108000.0,B-
130Te,910.0,0.306,0.00873,108000.0,B-
130Te,951.39,0.304,0.00793,1500.0,B-
130Te,182.25,0.25999999999999995,0.0602,108000.0,IT
130Te,2000.94,0.187,0.00512,108000.0,B-
130Te,841.99,0.184,0.00677,1500.0,B-
130Te,586.3,0.183,0.00767,108000.0,B-
130Te,462.92,0.16899999999999998,0.00493,108000.0,B-
130Te,696.19,0.165,0.0133,1500.0,B-
130Te,278.56,0.165,0.004889999999999999,108000.0,B-
130Te,151.1,0.16,0.0601,1500.0,B-
130Te,1098.25,0.158,0.00658,1500.0,B-
130Te,744.2,0.147,0.004719999999999999,108000.0,B-
130Te,1059.69,0.14400000000000002,0.00469,108000.0,B-
130Te,452.3,0.13999999999999999,0.0401,108000.0,B-
130Te,1148.89,0.13999999999999999,0.0301,108000.0,B-
130Te,713.1,0.133,0.014199999999999999,108000.0,B-
130Te,898.54,0.127,0.00638,1500.0,B-
130Te,1887.7,0.126,0.00454,108000.0,B-
130Te,856.08,0.12000000000000001,0.00634,1500.0,B-
130Te,1646.01,0.115,0.0044599999999999996,108000.0,B-
130Te,920.62,0.112,0.00726,108000.0,B-
130Te,364.98,0.112,0.0141,108000.0,B-
130Te,605.55,0.108,0.00628,1500.0,B-
130Te,1277.44,0.108,0.0044,1500.0,B-
130Te,1500.62,0.106,0.0035,1500.0,B-
130Te,1148.51,0.101,0.006240000000000001,1500.0,B-
130Te,1427.14,0.097,0.0034300000000000003,1500.0,B-
130Te,567.33,0.094,0.00621,1500.0,B-
130Te,278.17,0.091,0.0042899999999999995,1500.0,B-
130Te,1127.96,0.09000000000000001,0.00717,108000.0,B-
130Te,853.83,0.089,0.00428,1500.0,B-
130Te,941.27,0.0727,0.00279,108000.0,B-
130Te,494.85,0.06999999999999999,0.00612,1500.0,B-
130Te,182.25,0.068,0.018000000000000002,108000.0,B-
130Te,134.86,0.0658,0.00247,108000.0,B-
130Te,1315.16,0.06499999999999999,0.00709,108000.0,B-
130Te,432.4,0.061500000000000006,0.0027099999999999997,108000.0,B-
130Te,1150.9,0.061,0.00708,108000.0,B-
130Te,1237.32,0.061,0.00318,108000.0,B-
130Te,253.17,0.060399999999999995,0.0015099999999999998,108000.0,B-
130Te,856.05,0.058,0.00412,108000.0,B-
130Te,109.4,0.057,0.00608,1500.0,B-
130Te,1148.9,0.057,0.00608,1500.0,B-
130Te,1350.91,0.056,0.00315,1500.0,B-
130Te,1527.73,0.0526,0.00266,1500.0,B-
130Te,774.1,0.05,0.00705,108000.0,B-
130Te,189.76,0.047,0.00408,108000.0,B-
130Te,852.21,0.041,0.00406,1500.0,B-
130Te,213.98,0.0396,0.0019199999999999998,108000.0,B-
130Te,421.32,0.039,0.008029999999999999,1500.0,B-
130Te,297.09,0.039,0.00405,1500.0,B-
130Te,695.62,0.037,0.00307,108000.0,B-
130Te,702.5,0.0363,0.0019,108000.0,B-
130Te,299.94,0.036000000000000004,0.00405,1500.0,B-
130Te,342.92,0.036000000000000004,0.011,108000.0,B-
130Te,283.2,0.036000000000000004,0.00405,108000.0,B-
130Te,852.21,0.036000000000000004,0.018000000000000002,108000.0,B-
130Te,2270.65,0.0356,0.0019,108000.0,B-
130Te,309.47,0.034999999999999996,0.00306,108000.0,B-
130Ba,79.05,0.033,0.00401,876.0,IT
130Te,2168.54,0.0324,0.00188,108000.0,B-
130Te,496.23,0.032,0.00602,1500.0,B-
130Te,221.57,0.030000000000000002,0.004030000000000001,1500.0,B-
130Te,574.9,0.029,0.004030000000000001,1500.0,B-
130Te,602.09,0.029,0.011,108000.0,B-
130Te,468.16,0.029,0.00304,108000.0,B-
130Te,255.44,0.0288,0.0012,108000.0,B-
130Te,141.2,0.026,0.004019999999999999,1500.0,B-
130Te,417.4,0.0259,0.00185,108000.0,B-
130Te,999.26,0.025,0.00602,1500.0,B-
130Te,550.4,0.025,0.00602,1500.0,B-
130Te,825.0,0.025,0.00602,1500.0,B-
130Te,881.15,0.023,0.004019999999999999,1500.0,B-
130Te,351.48,0.022,0.004019999999999999,1500.0,B-
130Te,354.7,0.0212,0.00116,108000.0,B-
130Te,188.13,0.0198,0.00115,108000.0,B-
130Te,351.3,0.0194,0.00183,108000.0,B-
130Te,383.9,0.019,0.0030199999999999997,108000.0,B-
130Te,353.58,0.018000000000000002,0.00401,1500.0,B-
130Te,865.1,0.018000000000000002,0.00401,108000.0,B-
130Te,230.65,0.018000000000000002,0.0011400000000000002,108000.0,B-
130Te,280.17,0.016,0.00401,1500.0,B-
130Te,999.2,0.0158,0.00182,108000.0,B-
130Te,101.6,0.0158,0.00143,108000.0,B-
130Te,987.8,0.0144,0.00113,108000.0,B-
130Te,183.11,0.0144,0.00182,108000.0,B-
130Te,685.9,0.0144,0.00113,108000.0,B-
130Te,469.7,0.014,0.0050100000000000006,1500.0,B-
130Te,844.9,0.014,0.00401,108000.0,B-
130Te,86.43,0.013699999999999999,0.000463,108000.0,B-
130Te,1005.76,0.013,0.006,1500.0,B-
130Te,805.57,0.013,0.005,1500.0,B-
130Te,345.6,0.013,0.00401,1500.0,B-
130Te,1165.5,0.0129,0.0011200000000000001,108000.0,B-
130Te,609.4,0.0129,0.00142,108000.0,B-
130Te,335.44,0.0126,0.00221,108000.0,B-
130Te,524.8,0.0126,0.00142,108000.0,B-
130Te,79.19,0.011899999999999999,0.000449,108000.0,B-
130Te,159.66,0.011899999999999999,0.00141,108000.0,B-
130Te,1650.97,0.011399999999999999,0.0006309999999999999,1500.0,B-
130Te,923.4,0.0108,0.00221,108000.0,B-
130Te,190.52,0.0108,0.00141,108000.0,B-
130Te,541.4,0.0104,0.00221,108000.0,B-
130Te,1394.83,0.0101,0.000721,108000.0,B-
130Te,269.2,0.01,0.000171,108000.0,B-
130Te,269.2,0.01,0.000171,108000.0,B-
130Te,1035.4,0.0097,0.000719,108000.0,B-
130Te,530.7,0.0097,0.00181,108000.0,B-
130Te,872.3,0.0094,0.0011099999999999999,108000.0,B-
130Te,1340.6,0.0094,0.0011099999999999999,108000.0,B-
130Te,1316.2,0.009000000000000001,0.003,108000.0,B-
130Te,345.9,0.009000000000000001,0.003,108000.0,B-
130Te,232.3,0.0086,0.0011099999999999999,108000.0,B-
130Te,995.1,0.0083,0.00141,108000.0,B-
130Te,1579.94,0.0076,0.000614,1500.0,B-
130Te,149.3,0.0072,0.0018,108000.0,B-
130Te,579.8,0.0072,0.0022,108000.0,B-
130Te,290.3,0.0072,0.0011099999999999999,108000.0,B-
130Te,744.4,0.007,0.004,1500.0,B-
130Te,702.7,0.007,0.005,1500.0,B-
130Te,492.65,0.007,0.004,108000.0,B-
130Te,362.3,0.007,0.004,108000.0,B-
130Te,151.2,0.007,0.003,108000.0,B-
130Te,137.6,0.007,0.004,108000.0,B-
130Te,353.5,0.007,0.003,108000.0,B-
130Te,1005.7,0.0068000000000000005,0.0014,108000.0,B-
130Te,1936.15,0.0068000000000000005,0.00071,108000.0,B-
130Te,100.0,0.0068000000000000005,0.00041600000000000003,108000.0,B-
130Te,1547.75,0.0065,0.000709,108000.0,B-
130Te,274.68,0.0063,0.000108,1500.0,B-
130Te,1308.1,0.0063,0.00061,1500.0,B-
130Te,2040.8,0.0063,0.00061,1500.0,B-
130Te,738.8,0.0061,0.0011,108000.0,B-
130Te,177.2,0.0061,0.0011,108000.0,B-
130Te,403.3,0.006,0.003,1500.0,B-
130Te,297.09,0.006,0.004,1500.0,B-
130Te,438.3,0.006,0.003,1500.0,B-
130Te,402.36,0.006,0.003,1500.0,B-
130Te,1066.8,0.006,0.003,1500.0,B-
130Te,408.2,0.006,0.003,108000.0,B-
130Te,1023.6,0.0058000000000000005,0.000707,108000.0,B-
130Te,1880.1,0.0058000000000000005,0.000707,108000.0,B-
130Te,1211.0,0.0058000000000000005,0.0011,108000.0,B-
130Te,2072.8,0.005699999999999999,0.0013,1500.0,B-
130Te,1496.5,0.0054,0.000706,108000.0,B-
130Te,1184.7,0.0051,0.0019,1500.0,B-
130Te,1198.3,0.0051,0.0013,1500.0,B-
130Te,1333.8,0.005,0.000705,108000.0,B-
130Te,296.8,0.0047,0.000705,108000.0,B-
130Te,597.0,0.0047,0.0018,108000.0,B-
130Te,294.75,0.0044,7.510000000000001e-05,1500.0,B-
130Te,1297.98,0.0044,0.0019,1500.0,B-
130Te,1265.2,0.0044,0.0013,1500.0,B-
130Te,103.3,0.0043,0.000704,108000.0,B-
130Te,1376.8,0.004,0.000703,108000.0,B-
130Te,572.7,0.004,0.0022,108000.0,B-
130Te,1155.8,0.0038,0.0019,1500.0,B-
130Te,207.5,0.0036,0.0011,108000.0,B-
130Te,546.7,0.0036,0.000703,108000.0,B-
130Te,848.9,0.0036,0.0011,108000.0,B-
130Te,302.7,0.0036,0.0011,108000.0,B-
130Te,377.8,0.0036,6.139999999999999e-05,108000.0,B-
130Te,303.9,0.0036,0.000703,108000.0,B-
130Te,377.8,0.0036,6.139999999999999e-05,108000.0,B-
130Te,1318.3,0.0036,0.000703,108000.0,B-
130Te,155.9,0.0036,0.0022,108000.0,B-
130Te,62.38,0.0033799999999999998,0.00022700000000000002,108000.0,B-
130Te,1800.68,0.0031999999999999997,0.000602,1500.0,B-
130Te,1923.6,0.0031999999999999997,0.000602,1500.0,B-
130Te,109.4,0.0031999999999999997,0.000702,108000.0,B-
130Te,881.6,0.0031999999999999997,0.0011,108000.0,B-
130Te,281.4,0.0031999999999999997,0.0018,108000.0,B-
130Te,403.3,0.0029000000000000002,0.0011,108000.0,B-
130Te,681.9,0.0029000000000000002,0.000702,108000.0,B-
130Te,331.2,0.0029000000000000002,0.0011,108000.0,B-
130Te,637.3,0.0029000000000000002,4.95e-05,108000.0,B-
130Te,1980.3,0.0029000000000000002,0.000702,108000.0,B-
130Te,111.9,0.0029000000000000002,0.000702,108000.0,B-
130Te,169.7,0.0029000000000000002,0.000702,108000.0,B-
130Te,1035.5,0.0025,0.0019,1500.0,B-
130Te,1891.1,0.0025,0.0013,1500.0,B-
130Te,1254.2,0.0025,0.000402,108000.0,B-
130Te,1003.6,0.0025,0.0014,108000.0,B-
130Te,105.0,0.0025,0.000402,108000.0,B-
130Te,1162.7,0.0025,0.000701,108000.0,B-
130Te,73.32,0.0025,0.000303,108000.0,B-
130Te,127.4,0.0022,0.000701,108000.0,B-
130Te,1072.3,0.0022,0.000402,108000.0,B-
130Te,558.1,0.0022,0.000701,108000.0,B-
130Te,1108.3,0.0022,0.000701,108000.0,B-
130Te,801.6,0.0018,0.000701,108000.0,B-
130Te,930.0,0.0018,0.0011,108000.0,B-
130Te,357.4,0.0018,0.000701,108000.0,B-
130Te,203.4,0.0018,0.000701,108000.0,B-
130Te,379.3,0.0018,0.000701,108000.0,B-
130Te,78.57,0.0014,0.000301,108000.0,B-
130Te,1696.8,0.0014,0.000401,108000.0,B-
130Te,227.7,0.0014,0.0011,108000.0,B-
130Te,749.0,0.0014,0.0007,108000.0,B-
130Te,235.0,0.0014,0.0011,108000.0,B-
130Te,261.4,0.0014,0.000401,108000.0,B-
130Te,267.2,0.0014,0.0011,108000.0,B-
130Te,1389.6,0.0014,0.000401,108000.0,B-
130Te,98.3,0.0013,0.000301,108000.0,B-
130Te,36.83,0.0011200000000000001,0.000141,108000.0,B-
130Te,1403.6,0.0011,0.0007,108000.0,B-
130Te,1114.1,0.0011,0.00039999999999999996,108000.0,B-
130Te,375.8,0.0011,0.00039999999999999996,108000.0,B-
130Te,211.9,0.0011,0.00039999999999999996,108000.0,B-
130Te,113.5,0.0011,0.00039999999999999996,108000.0,B-
130Te,1181.4,0.0011,0.0007,108000.0,B-
130Te,1548.0,0.0007999999999999999,0.00039999999999999996,1500.0,B-
130Te,65.05,0.00076,0.00017999999999999998,108000.0,B-
