Isotope,Energy (keV),Sigma (mb),DSigma (mb)
103Rh,152.75,33.0,7.0
103Rh,232.6,30.0,6.0
103Rh,594.0,30.0,6.0
103Rh,6947.2,27.400000000000002,2.0
103Rh,6162.3,27.0,3.0
103Rh,151.12,26.0,11.0
103Rh,231.11,24.0,5.0
103Rh,6134.76,24.0,3.0
103Rh,6181.03,24.0,3.0
103Rh,6103.42,22.0,3.0
103Rh,6270.39,21.8,1.5
103Rh,338.53,21.0,10.0
103Rh,175.6,21.0,4.0
103Rh,6068.91,21.0,3.0
103Rh,88.45,20.0,4.0
103Rh,115.61,20.0,4.0
103Rh,348.18,20.0,4.0
103Rh,191.7,20.0,4.0
103Rh,6138.34,18.4,1.3
103Rh,6484.34,17.2,1.3
103Rh,6817.83,17.0,1.3
103Rh,6266.7,16.7,1.4
103Rh,115.91,16.0,3.0
103Rh,6166.33,15.4,1.7
103Rh,192.78,14.0,3.0
103Rh,62.1,13.0,6.0
103Rh,6214.24,12.8,1.4
103Rh,120.76,11.0,2.2
103Rh,138.35,11.0,2.2
103Rh,6474.15,10.3,1.4
103Rh,6731.87,9.0,1.5
103Rh,6516.5,7.7,1.4
103Rh,6272.77,6.4,1.3
103Rh,6901.56,5.1000000000000005,1.3
103Rh,6085.52,5.0,5.0
103Rh,6198.79,3.9,1.3
103Rh,6202.66,3.9,1.3
103Rh,6408.73,3.9,1.3
103Rh,6461.04,3.9,1.3
103Rh,6812.66,3.9,1.3
103Rh,145.47,0.015000000000000001,0.003
104Ru,562.7,28.0,3.0
104Ru,462.93,25.0,3.0
104Ru,75.251,23.3,2.2
104Ru,143.206,20.6,2.0
104Ru,4943.1,20.0,3.0
104Ru,301.75,19.2,1.9
104Ru,159.303,17.9,2.0
104Ru,321.526,17.5,1.8
104Ru,358.57,17.3,2.4
104Ru,640.16,17.1,2.2
104Pd,280.65,15.8,1.4
104Ru,107.917,15.299999999999999,1.4
104Ru,5023.55,14.0,15.0
104Ru,4584.56,12.1,2.3
104Ru,5750.64,11.299999999999999,2.0
104Ru,4216.7,9.700000000000001,2.0
104Ru,138.358,8.5,1.2
104Ru,252.073,8.3,1.0
104Ru,1134.6,8.200000000000001,1.3
104Ru,441.96,7.9,1.1
104Ru,5909.93,7.7,1.9
104Pd,392.41,7.2,1.7
104Ru,82.496,7.1000000000000005,0.9
104Ru,422.0,7.0,1.2
104Pd,344.11,6.8,1.2
104Ru,244.55,6.7,0.9
104Ru,683.97,6.0,1.4
104Ru,20.573,5.8,0.5
104Ru,352.69,5.7,1.1
104Ru,564.91,5.6,0.8
104Ru,4175.11,5.5,1.7
104Ru,4064.7,5.4,1.7
104Ru,306.78,5.3,0.9
104Pd,560.75,5.3,1.1
104Ru,225.702,5.2,0.8
104Pd,442.11,5.2,1.3
104Ru,1575.6,5.1000000000000005,1.2
104Ru,887.12,4.8999999999999995,1.0
104Ru,1090.94,4.6,1.2
104Ru,490.82,4.5,1.5
104Ru,272.646,4.4,0.9
104Ru,5588.43,4.3,1.7
104Pd,306.26,4.3,0.9
104Ru,445.51,3.9,1.1
104Ru,5125.52,3.9,1.4
104Pd,673.21,3.8,0.9
104Ru,157.747,3.7,0.9
104Ru,716.34,3.4,0.8
104Ru,5419.14,3.3,1.0
104Ru,600.3,3.2,0.9
104Ru,218.18,3.1,0.7
104Ru,471.91,2.9,1.7
104Ru,664.95,2.8,0.9
104Ru,333.43,2.7,0.8
104Ru,213.609,2.6,0.6
104Ru,309.52,2.5,0.8
104Ru,169.31,2.2,0.4
104Ru,824.25,2.1,0.9
104Ru,282.65,2.0,0.7
104Ru,578.04,2.0,3.0
104Ru,5443.88,1.8,1.0
104Ru,878.4,1.7,0.7
104Pd,63.98,1.7,0.2
104Ru,358.17,1.6,1.9
104Ru,631.22,1.6,1.0
104Ru,162.22,1.5,0.8
104Ru,3506.06,1.5,1.0
104Ru,113.343,1.3,0.5
104Ru,3761.73,1.3,0.7
104Ru,5104.43,1.3,1.9
104Ru,229.48,1.2,0.7
104Ru,280.41,1.2,0.7
104Ru,466.08,1.1,1.9
104Ru,646.24,1.1,1.1
104Ru,539.42,1.1,1.3
104Ru,300.952,1.0,0.8
104Ru,739.28,1.0,0.7
104Ru,1534.0,1.0,1.9
104Ru,55.863,0.9,0.7
104Ru,208.9,0.9,1.3
104Ru,757.1,0.9,0.5
104Ru,5637.3,0.9,1.3
104Ru,334.04,0.8,1.3
104Ru,714.08,0.8,1.3
104Ru,540.98,0.8,0.7
104Ru,439.0,0.7,0.4
104Ru,1003.91,0.7,1.0
104Ru,617.98,0.6,0.9
104Ru,1008.3,0.6,1.2
104Pd,328.61,0.6,0.3
104Ru,3530.1,0.5,0.7
104Ru,4580.93,0.5,0.3
104Ru,242.47,0.4,0.5
104Ru,797.31,0.4,0.4
104Ru,848.7,0.4,0.6
104Ru,878.4,0.4,0.6
104Ru,862.99,0.4,0.5
104Ru,2127.71,0.4,0.6
104Ru,1910.8,0.4,0.6
104Ru,1321.0,0.4,0.7
104Ru,4077.4,0.4,0.5
104Ru,5085.73,0.4,0.6
104Ru,246.275,0.3,0.5
104Ru,193.04,0.3,0.4
104Ru,3557.3,0.3,0.5
104Pd,216.17,0.21000000000000002,0.06999999999999999
104Ru,121.56,0.2,0.3
104Ru,470.12,0.2,0.4
104Ru,397.7,0.2,0.3
104Pd,112.43,0.08,0.02
105Pd,511.843,4000.0,40.0
105Pd,717.356,777.0,9.0
105Pd,616.192,629.0,9.0
105Pd,1050.31,360.0,8.0
105Pd,1128.03,323.0,6.0
105Pd,1045.82,321.0,7.0
105Pd,1572.54,207.0,25.0
105Pd,429.63,145.0,3.0
105Pd,621.95,126.0,7.0
105Pd,848.16,100.0,2.5
105Pd,804.33,91.0,3.0
105Pd,1397.54,89.0,3.0
105Pd,748.34,80.19999999999999,2.3
105Pd,1988.14,60.0,4.0
105Pd,1168.16,58.8,2.2
105Pd,1053.68,57.0,3.0
105Pd,2484.73,52.0,4.0
105Pd,846.29,45.199999999999996,1.8
105Pd,1909.4,42.3,2.0
105Pd,1927.25,41.0,3.0
105Pd,2396.66,40.0,3.0
105Pd,680.23,38.3,2.0
105Pd,1114.35,38.0,5.0
105Pd,2235.86,37.0,3.0
105Pd,1796.87,36.7,2.2
105Pd,703.17,34.5,2.0
105Pd,1562.15,34.0,3.0
105Pd,7628.7,34.0,3.0
105Pd,1349.43,33.2,2.4
105Pd,1194.58,32.2,1.8
105Pd,2559.15,29.0,3.0
105Pd,2271.84,28.0,3.0
105Pd,1218.2,26.0,4.0
105Pd,1498.7,25.3,2.1
105Pd,793.29,25.1,1.8
105Pd,808.41,24.0,1.9
105Pd,2423.93,22.599999999999998,2.3
105Pd,1632.19,22.0,9.0
105Pd,1498.71,21.0,4.0
105Pd,2390.44,20.2,2.3
105Pd,1909.37,20.0,5.0
105Pd,2439.08,19.0,3.0
105Pd,2374.29,18.9,2.1
105Pd,956.35,18.599999999999998,2.4
105Pd,1621.57,18.1,1.7
105Pd,873.51,18.0,1.4
105Pd,6625.4,18.0,3.0
105Pd,2309.07,17.6,1.9
105Pd,2406.69,17.3,2.1
105Pd,2456.63,17.0,3.0
105Pd,1616.1,17.0,3.0
105Pd,6652.6,17.0,3.0
105Pd,1565.51,16.6,1.7
105Pd,1020.96,16.2,2.3
105Pd,6490.2,16.1,2.5
105Pd,7122.0,14.6,2.1
105Pd,1108.6,14.0,1.8
105Pd,684.72,13.6,1.7
105Pd,1180.68,13.299999999999999,1.2
105Pd,775.79,12.9,1.8
105Pd,1156.11,12.9,1.1
105Pd,428.37,12.3,1.6
105Pd,2544.5,11.799999999999999,1.8
105Pd,434.13,11.0,3.0
105Pd,578.4,11.0,1.0
105Pd,2114.89,10.7,1.1
105Pd,2316.1,10.6,1.4
105Pd,2045.7,9.700000000000001,1.5
105Pd,346.16,9.6,1.7
105Pd,1668.21,9.6,1.0
105Pd,7076.4,9.5,1.3
105Pd,1766.61,9.0,1.5
105Pd,2093.58,8.7,1.9
105Pd,1774.25,8.3,1.3
105Pd,7160.1,8.3,1.5
105Pd,418.59,8.0,1.7
105Pd,1303.73,7.4,0.9
105Pd,1839.1,7.3,0.9
105Pd,1484.57,6.6,0.8
105Pd,7061.1,6.3,1.2
105Pd,2264.01,6.1000000000000005,1.1
105Pd,374.7,5.8999999999999995,0.8
105Pd,533.48,5.7,0.8
105Pd,2366.4,4.8999999999999995,0.8
105Pd,1360.88,4.7,0.6
105Pd,949.33,4.6,0.5
105Pd,1972.9,4.6,1.0
105Pd,2112.35,4.6,0.7
105Pd,1771.03,4.4,0.6
105Pd,1305.31,4.2,0.6
105Pd,2242.37,4.1000000000000005,0.9
105Pd,1062.04,3.9,0.6
105Pd,522.23,3.8,0.6
105Pd,2201.92,3.6,0.7
105Pd,1730.54,3.3,0.7
105Pd,1546.66,3.3,0.7
105Pd,1258.77,3.3,0.6
105Pd,1960.23,3.1,0.6
105Pd,2525.58,3.1,0.5
105Pd,2185.7,3.1,0.7
105Pd,765.65,2.7,0.3
105Pd,1064.59,2.7,0.3
105Pd,1496.16,2.6,0.3
105Pd,1692.89,2.6,0.4
105Pd,1655.66,2.1,0.5
105Pd,1489.7,1.9,0.3
105Pd,1356.39,1.8,0.3
105Pd,1136.88,1.5,0.3
105Pd,1270.3,1.5,0.3
105Pd,2084.37,1.3,0.3
105Pd,1687.13,1.3,0.3
105Pd,2308.7,1.1,1.1
105Pd,1554.49,1.0,0.3
105Pd,1316.1,0.8,0.3
106Pd,115.86,14.1,1.3
106Pd,302.54,12.200000000000001,1.0
106Pd,6233.7,12.0,3.0
106Pd,381.81,9.4,1.4
106Pd,471.29,6.5,1.4
106Pd,266.06,4.0,0.0
107Ag,78.91,3900.0,120.0
107Ag,206.46,3580.0,70.0
107Ag,192.9,2200.0,60.0
107Ag,294.39,2050.0,120.0
107Ag,236.85,1950.0,30.0
107Ag,191.39,1810.0,50.0
107Ag,380.9,1590.0,30.0
107Ag,259.17,1560.0,25.0
107Ag,215.15,1550.0,30.0
107Ag,299.95,1150.0,50.0
107Ag,328.99,795.0,12.0
107Ag,349.95,700.0,40.0
107Ag,1013.11,698.0,13.0
107Ag,113.51,520.0,30.0
107Ag,465.37,460.0,30.0
107Ag,201.31,450.0,30.0
107Ag,286.91,400.0,25.0
107Ag,626.41,390.0,60.0
107Ag,796.15,380.0,40.0
107Ag,895.48,376.0,8.0
107Ag,527.23,371.0,10.0
107Ag,599.87,370.0,30.0
107Ag,687.48,350.0,50.0
107Ag,664.91,329.0,22.0
107Ag,239.1,327.0,11.0
107Ag,636.53,310.0,110.0
107Ag,574.77,299.0,7.0
107Ag,376.71,294.0,13.0
107Ag,819.26,291.0,6.0
107Ag,7078.5,291.0,13.0
107Ag,7271.8,284.0,14.0
107Ag,110.24,273.0,22.0
107Ag,499.97,265.0,13.0
107Ag,237.63,260.0,50.0
107Ag,212.3,260.0,40.0
107Ag,429.09,253.0,11.0
107Ag,640.18,240.0,60.0
107Ag,464.04,236.0,20.0
107Ag,1051.36,225.0,8.0
107Ag,439.69,216.0,11.0
107Ag,148.79,214.0,6.0
107Ag,178.32,208.0,8.0
107Ag,616.89,200.0,40.0
107Ag,718.17,199.0,12.0
107Ag,960.13,199.0,10.0
107Ag,386.18,192.0,24.0
107Ag,563.91,191.0,6.0
107Ag,438.26,191.0,11.0
107Ag,101.55,189.0,20.0
107Ag,301.75,187.0,15.0
107Ag,938.04,186.0,6.0
107Ag,441.79,181.0,21.0
107Ag,881.01,178.0,7.0
107Ag,1079.68,165.0,15.0
107Ag,262.31,161.0,11.0
107Ag,365.41,160.0,40.0
107Ag,497.57,157.0,9.0
107Ag,244.56,146.0,20.0
107Ag,6268.8,146.0,7.0
107Ag,350.99,145.0,12.0
107Ag,410.31,142.0,6.0
107Ag,396.25,138.0,6.0
107Ag,812.1,131.0,5.0
107Ag,384.31,128.0,22.0
107Ag,522.43,125.0,7.0
107Ag,918.97,124.0,22.0
107Ag,143.94,121.0,5.0
107Ag,6977.2,121.0,8.0
107Ag,629.499,120.0,30.0
107Ag,652.041,117.0,19.0
107Ag,147.11,114.0,5.0
107Ag,6372.7,110.0,40.0
107Ag,670.53,104.0,17.0
107Ag,7065.3,103.0,8.0
107Ag,295.22,100.0,40.0
107Ag,485.68,98.0,7.0
107Ag,479.36,95.0,12.0
107Ag,674.07,94.0,16.0
107Ag,781.21,94.0,22.0
107Ag,399.87,93.0,6.0
107Ag,320.36,91.0,7.0
107Ag,372.1,90.0,30.0
107Ag,611.98,90.0,30.0
107Ag,204.02,88.0,22.0
107Ag,662.55,88.0,12.0
107Ag,746.21,88.0,10.0
107Ag,249.15,87.0,7.0
107Ag,845.19,85.0,19.0
107Ag,6707.6,83.0,7.0
107Ag,155.22,81.0,13.0
107Ag,685.8,81.0,20.0
107Ag,572.1,80.0,6.0
107Ag,437.713,79.0,10.0
107Ag,6892.1,79.0,6.0
107Ag,972.69,78.0,9.0
107Ag,401.61,76.0,6.0
107Ag,324.4,74.0,7.0
107Ag,248.17,73.0,7.0
107Ag,1034.02,73.0,10.0
107Ag,322.19,72.0,7.0
107Ag,326.87,70.0,5.0
107Ag,565.9,68.0,5.0
107Ag,392.4,67.0,12.0
107Ag,175.1,66.0,7.0
107Ag,472.68,65.0,7.0
107Ag,311.84,64.0,7.0
107Ag,521.02,64.0,6.0
107Ag,890.54,64.0,8.0
107Ag,6219.7,63.0,4.0
107Ag,580.49,60.0,9.0
107Ag,279.05,59.0,17.0
107Ag,6258.5,59.0,5.0
107Ag,808.81,55.0,7.0
107Ag,232.61,52.0,11.0
107Ag,969.62,52.0,8.0
107Ag,307.64,51.0,7.0
107Ag,923.8,51.0,8.0
107Ag,646.13,51.0,7.0
107Ag,680.48,50.0,11.0
107Ag,113.931,48.0,6.0
107Ag,6567.2,48.0,4.0
107Ag,756.6,46.0,12.0
107Ag,603.77,45.0,8.0
107Ag,857.2,45.0,17.0
107Ag,771.8,44.0,25.0
107Ag,6165.1,44.0,4.0
107Ag,950.91,43.0,5.0
107Ag,558.83,41.0,9.0
107Ag,291.21,39.0,7.0
107Ag,172.63,31.0,7.0
107Ag,263.9,31.0,9.0
107Ag,136.33,30.0,4.0
107Ag,227.01,30.0,14.0
107Ag,902.46,29.0,9.0
107Ag,6310.9,29.0,3.0
107Ag,412.99,27.0,6.0
107Ag,404.89,27.0,7.0
107Ag,597.44,27.0,7.0
107Ag,331.65,25.0,8.0
107Ag,87.944,22.0,3.0
107Ag,6296.9,21.0,3.0
107Ag,6807.5,21.0,3.0
107Ag,129.0,17.0,4.0
107Ag,519.1,17.0,6.0
107Ag,708.1,17.0,5.0
107Ag,433.98,17.0,3.0
107Ag,6563.1,15.0,3.0
107Ag,255.06,13.0,5.0
107Ag,6390.2,13.0,3.0
107Ag,6453.7,13.0,3.0
107Ag,6467.2,13.0,3.0
107Ag,702.9,12.0,4.0
107Ag,46.26,11.4,2.1
107Ag,6553.2,10.5,2.5
107Ag,6692.1,10.0,3.0
107Ag,131.806,9.1,1.0
107Ag,6933.9,9.0,3.0
107Ag,127.474,7.2,1.0
107Ag,6557.7,5.6,2.3
107Ag,6617.0,4.8999999999999995,1.2
108Pd,113.401,335.0,5.0
108Pd,245.079,250.0,4.0
108Pd,325.284,208.0,3.0
108Pd,339.529,195.0,3.0
108Pd,152.942,145.0,2.2
108Pd,359.429,120.0,3.0
108Pd,4794.02,112.0,10.0
108Pd,333.96,111.0,2.5
108Pd,178.034,109.0,2.2
108Pd,291.435,104.0,2.0
108Pd,433.564,97.0,3.0
108Pd,326.869,79.3,2.0
108Pd,197.346,65.0,2.0
108Pd,5212.31,61.0,5.0
108Pd,276.289,56.2,1.8
108Pd,211.884,54.0,1.8
108Pd,266.343,51.5,1.2
108Pd,428.409,50.4,2.1
108Pd,754.894,47.4,1.8
108Pd,1019.872,46.699999999999996,2.5
108Pd,685.914,42.0,7.0
108Pd,378.189,41.099999999999994,2.0
108Pd,320.163,40.0,11.0
108Pd,94.45,38.3,2.0
108Pd,336.586,34.2,1.9
108Pd,249.24,33.8,2.2
108Pd,601.565,32.4,1.9
108Pd,4920.63,32.0,3.0
108Pd,5719.82,32.0,4.0
108Pd,5828.09,32.0,3.0
108Pd,3738.8,28.0,4.0
108Pd,222.92,26.3,1.4
108Pd,515.126,23.7,2.2
108Pd,461.197,23.099999999999998,1.4
108Pd,396.759,23.0,3.0
108Pd,722.042,23.0,1.8
108Pd,264.98,22.1,0.9
108Pd,810.593,22.0,3.0
108Pd,3911.5,22.0,3.0
108Pd,98.259,21.6,1.7
108Pd,298.199,20.9,2.3
108Pd,4509.1,20.0,5.0
108Pd,491.589,19.5,1.2
108Pd,200.155,19.3,1.4
108Pd,831.56,19.0,3.0
108Pd,4066.2,18.0,3.0
108Pd,5431.35,17.0,3.0
108Pd,966.446,16.9,1.8
108Pd,426.137,16.0,1.9
108Pd,4034.0,16.0,4.0
108Pd,215.39,15.299999999999999,1.3
108Pd,4128.9,15.0,3.0
108Pd,4312.6,15.0,3.0
108Pd,5479.91,14.6,2.4
108Pd,4229.9,14.4,2.5
108Pd,4674.4,14.4,2.5
108Pd,455.7,14.200000000000001,1.4
108Pd,726.756,14.200000000000001,1.8
108Pd,623.482,14.0,7.0
108Pd,4425.4,14.0,3.0
108Pd,5018.73,14.0,3.0
108Pd,619.845,13.799999999999999,2.4
108Pd,840.76,13.299999999999999,1.4
108Pd,604.508,13.0,3.0
108Pd,3228.9,13.0,3.0
108Pd,3925.9,13.0,3.0
108Pd,485.31,12.200000000000001,1.3
108Pd,3994.9,12.0,2.1
108Pd,4775.7,12.0,3.0
108Pd,5006.0,12.0,3.0
108Pd,584.411,11.299999999999999,1.6
108Pd,799.226,11.299999999999999,1.5
108Pd,3168.4,11.1,2.5
108Pd,4537.9,11.0,4.0
108Pd,5887.03,11.0,5.0
108Pd,4668.2,10.7,2.3
108Pd,911.278,10.5,1.4
108Pd,520.599,10.3,1.2
108Pd,4443.6,10.0,3.0
108Pd,4552.0,10.0,3.0
108Pd,654.882,9.700000000000001,1.2
108Pd,365.279,9.6,1.5
108Pd,674.75,9.1,1.5
108Pd,3390.1,9.0,1.9
108Pd,3563.5,9.0,3.0
108Pd,3960.7,9.0,3.0
108Pd,787.282,8.7,1.5
108Pd,3790.4,8.3,1.4
108Pd,555.614,8.1,1.0
108Pd,690.316,8.1,1.8
108Pd,4616.4,8.0,5.0
108Pd,108.28,7.6,2.0
108Pd,696.014,7.6,1.8
108Pd,4238.3,7.5,2.5
108Pd,791.414,7.1000000000000005,1.4
108Pd,530.177,7.0,1.1
108Pd,4364.4,7.0,1.2
108Pd,4469.9,7.0,3.0
108Pd,4909.5,7.0,3.0
108Pd,5099.79,7.0,3.0
108Pd,395.174,6.5,1.9
108Pd,4156.7,6.1000000000000005,1.2
108Pd,3267.5,6.0,4.0
108Pd,230.453,5.8999999999999995,1.1
108Pd,628.878,5.8,1.8
108Pd,264.386,5.6,0.7
108Pd,332.049,5.3,1.0
108Pd,540.674,5.1000000000000005,1.5
108Pd,3583.5,5.0,1.4
108Pd,5171.66,5.0,2.0
108Pd,288.479,4.8,1.0
108Pd,166.306,4.2,0.7
108Pd,187.112,4.2,1.1
108Pd,585.996,4.2,1.6
108Pd,5041.6,4.1000000000000005,1.9
108Pd,189.919,3.9,1.1
108Pd,267.606,3.6,0.8
108Pd,464.546,3.5,1.1
108Pd,317.259,3.1,1.1
108Pd,213.805,3.0,0.5
108Pd,377.031,3.0,0.6
108Pd,5661.8,3.0,2.2
108Pd,149.848,2.9,0.7
108Pd,106.695,2.9,2.0
108Pd,295.595,2.7,0.9
108Pd,678.014,2.7,0.7
108Pd,525.072,2.3,0.7
108Pd,678.62,2.0,0.5
108Pd,6153.36,1.8,0.5
108Pd,673.487,1.7,0.5
108Pd,5612.71,1.5,0.7
108Pd,653.52,1.3,0.5
108Pd,705.462,1.3,0.5
108Pd,4884.8,1.2,0.7
108Pd,274.332,0.99,0.21000000000000002
108Pd,357.14,0.99,0.17
108Pd,346.619,0.99,0.17
108Pd,224.718,0.99,0.19
108Pd,649.659,0.8,0.3
109Ag,198.72,7750.0,130.0
109Ag,235.62,4620.0,70.0
109Ag,117.45,3850.0,70.0
109Ag,267.08,2730.0,60.0
109Ag,360.41,1550.0,30.0
109Ag,549.56,1540.0,24.0
109Ag,236.89,1300.0,900.0
109Ag,536.13,1090.0,16.0
109Ag,495.71,1080.0,18.0
109Ag,79.91,1000.0,1600.0
109Ag,72.67,900.0,1500.0
109Ag,105.95,870.0,130.0
109Ag,524.47,804.0,11.0
109Ag,378.11,744.0,20.0
109Ag,5701.49,716.0,18.0
109Ag,380.97,700.0,500.0
109Ag,6057.25,663.0,19.0
109Ag,269.05,600.0,500.0
109Ag,338.74,595.0,10.0
109Ag,269.97,565.0,25.0
109Ag,357.82,561.0,22.0
109Ag,750.77,529.0,11.0
109Ag,5795.0,513.0,14.0
109Ag,93.34,500.0,300.0
109Ag,195.33,500.0,30.0
109Ag,593.86,484.0,11.0
109Ag,408.61,459.0,9.0
109Ag,586.85,459.0,8.0
109Ag,632.47,420.0,120.0
109Ag,620.07,400.0,50.0
109Ag,724.75,393.0,14.0
109Ag,526.07,364.0,7.0
109Ag,785.57,340.0,40.0
109Ag,544.14,340.0,30.0
109Ag,748.4,328.0,9.0
109Ag,152.58,326.0,6.0
109Ag,767.01,310.0,40.0
109Ag,5580.62,302.0,14.0
109Ag,166.62,295.0,10.0
109Ag,427.96,273.0,11.0
109Ag,461.56,265.0,16.0
109Ag,6540.92,259.0,11.0
109Ag,652.96,255.0,12.0
109Ag,484.18,253.0,18.0
109Ag,6022.46,250.0,10.0
109Ag,431.36,248.0,13.0
109Ag,416.93,243.0,13.0
109Ag,5710.22,229.0,10.0
109Ag,5773.12,225.0,9.0
109Ag,231.46,224.0,12.0
109Ag,773.32,220.0,30.0
109Ag,161.69,217.0,8.0
109Ag,366.97,210.0,40.0
109Ag,5615.11,208.0,11.0
109Ag,316.88,206.0,7.0
109Ag,614.15,200.0,50.0
109Ag,194.56,200.0,300.0
109Ag,5642.24,199.0,12.0
109Ag,446.1,183.0,10.0
109Ag,468.65,166.0,9.0
109Ag,124.86,158.0,12.0
109Ag,698.44,158.0,6.0
109Ag,5996.81,154.0,7.0
109Ag,488.66,149.0,12.0
109Ag,304.43,135.0,9.0
109Ag,302.83,129.0,14.0
109Ag,387.99,121.0,21.0
109Ag,68.36,113.0,8.0
109Ag,5554.8,111.0,10.0
109Ag,655.02,107.0,14.0
109Ag,5539.17,106.0,9.0
109Ag,5545.6,106.0,12.0
109Ag,610.33,105.0,25.0
109Ag,450.8,98.0,16.0
109Ag,252.17,96.0,6.0
109Ag,5913.3,84.0,7.0
109Ag,6807.13,83.0,3.0
109Ag,220.77,80.0,110.0
109Ag,6034.7,80.0,6.0
109Ag,6101.98,80.0,5.0
109Ag,282.66,79.0,10.0
109Ag,424.93,76.0,9.0
109Ag,667.26,74.0,14.0
109Ag,115.59,71.0,18.0
109Ag,313.09,70.0,50.0
109Ag,272.58,69.0,9.0
109Ag,169.91,69.0,8.0
109Ag,283.87,67.0,9.0
109Ag,108.28,65.0,15.0
109Ag,347.91,61.0,6.0
109Ag,6427.03,59.0,5.0
109Ag,6082.48,57.0,5.0
109Ag,6281.09,56.0,4.0
109Ag,6193.01,54.0,4.0
109Ag,220.2,50.0,50.0
109Ag,136.58,50.0,40.0
109Ag,223.85,50.0,15.0
109Ag,5632.4,49.0,8.0
109Ag,342.53,48.0,6.0
109Ag,6571.1,45.0,4.0
109Ag,335.95,44.0,7.0
109Ag,6383.07,43.0,5.0
109Ag,164.02,41.0,6.0
109Ag,144.08,40.0,50.0
109Ag,231.8,40.0,50.0
109Ag,231.7,40.0,50.0
109Ag,5622.6,40.0,6.0
109Ag,6609.27,33.0,4.0
109Ag,304.67,30.0,40.0
109Ag,6311.44,29.0,3.0
109Ag,313.91,25.0,6.0
109Ag,5807.8,22.0,5.0
109Ag,6154.2,20.0,3.0
109Ag,6174.88,18.0,4.0
109Ag,5822.2,17.0,6.0
109Ag,6195.4,8.0,3.0
110Cd,245.3,274000.0,25000.0
110Cd,342.2,100000.0,0.0
110Cd,171.3,57000.0,6000.0
110Cd,620.3,38000.0,4000.0
110Cd,284.3,29000.0,3000.0
110Cd,867.6,16000.0,5000.0
110Cd,1016.7,14200.0,1400.0
110Cd,374.8,12500.0,900.0
110Cd,608.4,12300.0,2500.0
110Cd,646.0,9600.0,1400.0
110Cd,832.3,9400.0,800.0
110Cd,752.6,7900.0,800.0
110Cd,1078.2,7100.0,900.0
110Cd,1115.5,6800.0,900.0
110Cd,701.3,6800.0,1500.0
110Cd,704.7,6000.0,1500.0
110Cd,435.1,5500.0,900.0
110Cd,1632.5,5500.0,900.0
110Cd,410.7,5400.0,900.0
110Cd,569.0,5200.0,1000.0
110Cd,719.7,4800.0,700.0
110Cd,1101.0,4800.0,1200.0
110Cd,998.7,4700.0,900.0
110Cd,1340.2,4400.0,600.0
110Cd,493.1,4400.0,700.0
110Cd,1146.1,4200.0,600.0
110Cd,1209.3,4000.0,1100.0
110Cd,1130.5,3600.0,700.0
110Cd,1691.7,3500.0,500.0
110Cd,773.0,3400.0,900.0
110Cd,1842.4,3300.0,500.0
110Cd,335.8,3200.0,600.0
110Cd,96.73,3100.0,600.0
110Cd,1471.8,3100.0,800.0
110Cd,278.2,3000.0,400.0
110Cd,1326.2,3000.0,400.0
110Cd,872.7,3000.0,600.0
110Cd,1299.0,3000.0,900.0
110Cd,776.0,2800.0,900.0
110Cd,2103.6,2800.0,600.0
110Cd,1494.5,2700.0,400.0
110Cd,932.2,2400.0,600.0
110Cd,2705.1,2400.0,900.0
110Cd,4265.0,2400.0,500.0
110Cd,1489.4,2200.0,400.0
110Cd,2045.1,2200.0,300.0
110Cd,1421.0,2200.0,300.0
110Cd,4417.4,2200.0,200.0
110Cd,569.0,2100.0,400.0
110Cd,1049.3,2100.0,500.0
110Cd,2659.6,2100.0,400.0
110Cd,437.4,2000.0,600.0
110Cd,811.9,2000.0,700.0
110Cd,1597.8,2000.0,500.0
110Cd,680.0,1900.0,500.0
110Cd,1697.2,1900.0,800.0
110Cd,2311.7,1900.0,400.0
110Cd,524.8,1800.0,200.0
110Cd,457.8,1800.0,400.0
110Cd,1028.9,1800.0,400.0
110Cd,353.4,1800.0,300.0
110Cd,725.4,1700.0,600.0
110Cd,1506.0,1700.0,600.0
110Cd,1225.6,1700.0,600.0
110Cd,3848.5,1700.0,300.0
110Cd,1305.8,1600.0,400.0
110Cd,1717.2,1600.0,300.0
110Cd,1105.7,1600.0,400.0
110Cd,1826.4,1600.0,700.0
110Cd,494.8,1500.0,300.0
110Cd,925.4,1500.0,400.0
110Cd,1486.0,1500.0,400.0
110Cd,1849.2,1500.0,300.0
110Cd,1243.0,1500.0,300.0
110Cd,1660.4,1500.0,500.0
110Cd,2390.9,1500.0,300.0
110Cd,2455.8,1500.0,500.0
110Cd,2506.1,1500.0,400.0
110Cd,420.8,1400.0,500.0
110Cd,975.6,1400.0,200.0
110Cd,1792.7,1400.0,500.0
110Cd,2171.2,1400.0,300.0
110Cd,2005.6,1300.0,300.0
110Cd,1940.0,1300.0,500.0
110Cd,825.9,1200.0,200.0
110Cd,793.3,1200.0,200.0
110Cd,1528.1,1200.0,300.0
110Cd,1701.6,1200.0,400.0
110Cd,2245.7,1200.0,300.0
110Cd,2297.7,1200.0,200.0
110Cd,2059.0,1200.0,200.0
110Cd,1965.8,1120.0,230.0
110Cd,2152.9,1110.0,160.0
110Cd,808.9,1100.0,400.0
110Cd,1042.5,1100.0,300.0
110Cd,2692.2,1100.0,4800.0
110Cd,770.3,1000.0,400.0
110Cd,1221.9,1000.0,400.0
