Isotope,Energy (keV),Sigma (mb),DSigma (mb)
19F,2349.445,0.031,0.004
19F,4960.307,0.027,0.004
19F,1708.47,0.025,0.003
19F,3973.381,0.024,0.003
19F,620.431,0.0237,0.0018
19F,1318.48,0.0234,0.002
19F,2933.55,0.023,0.003
19F,4638.99,0.023,0.004
19F,2864.65,0.022,0.004
19F,2232.98,0.020999999999999998,0.003
19F,3607.8,0.020999999999999998,0.003
19F,2346.18,0.020999999999999998,0.004
19F,4954.86,0.020999999999999998,0.008
19F,653.144,0.02,0.003
19F,3071.0,0.02,0.003
19F,5318.39,0.019,0.003
19F,4313.46,0.018000000000000002,0.003
19F,3891.749,0.018000000000000002,0.003
19F,4091.9,0.017,0.003
19F,2352.4,0.017,0.003
19F,1836.29,0.0161,0.0019
19F,2969.8,0.016,0.003
19F,2556.37,0.016,0.003
19F,2121.16,0.015099999999999999,0.0019
19F,771.79,0.015000000000000001,0.004
19F,2038.07,0.015000000000000001,0.0023
19F,3534.57,0.014,0.003
19F,2337.47,0.014,0.003
19F,3152.64,0.014,0.003
19F,534.6,0.013,0.002
19F,2188.0,0.013,0.0021
19F,1545.76,0.013,0.0021
19F,1853.88,0.013,0.0022
19F,3711.19,0.012,0.003
19F,3894.7,0.012,0.003
19F,5938.13,0.011,0.005
19F,2079.75,0.011,0.002
19F,1135.47,0.0108,0.002
19F,4009.55,0.01,0.003
19F,1970.96,0.01,0.003
19F,1306.22,0.009000000000000001,0.0021
19F,3578.82,0.009000000000000001,0.0021
19F,4878.68,0.009000000000000001,0.002
19F,252.364,0.008,0.002
19F,2370.83,0.008,0.0022
19F,5282.07,0.008,0.0021
19F,5622.28,0.008,0.0021
19F,4626.378,0.008,0.002
19F,793.35,0.007,0.002
19F,3098.33,0.007,0.0021
19F,4069.64,0.007,0.0021
19F,4898.68,0.007,0.002
19F,734.783,0.006,0.002
19F,1742.67,0.006,0.002
19F,4225.53,0.006,0.0011
19F,2690.27,0.006,0.0011
19F,2458.24,0.006,0.001
19F,4629.938,0.006,0.001
19F,885.095,0.005,0.001
19F,820.88,0.005,0.002
19F,1555.63,0.005,0.001
19F,2042.04,0.005,0.002
19F,3475.05,0.005,0.0011
19F,2052.6,0.005,0.001
19F,302.24,0.005,0.002
19F,1375.2,0.005,0.002
19F,987.24,0.004,0.001
19F,691.29,0.004,0.0022
19F,2698.32,0.004,0.001
19F,2600.79,0.004,0.002
19F,791.2,0.004,0.001
19F,670.57,0.003,0.001
19F,894.02,0.003,0.001
19F,1021.06,0.003,0.001
19F,4261.86,0.003,0.001
19F,2208.72,0.002,0.001
20Ne,2035.67,24.5,2.5
20Ne,350.72,19.8,0.4
20Ne,4374.13,19.099999999999998,0.22
20Ne,2793.94,9.0,0.11
20Ne,1931.08,5.91,0.22
20Ne,1071.34,5.4,0.4
20Ne,2895.32,2.52,0.06999999999999999
20Ne,5688.97,2.14,0.030000000000000002
20Ne,6760.06,2.1,0.025
20Ne,3971.98,0.39,0.030000000000000002
20Ne,2437.84,0.36000000000000004,0.06999999999999999
20Ne,964.41,0.29,0.11
20Ne,768.55,0.25,0.04
20Ne,2077.23,0.205,0.025
20Ne,6409.39,0.18000000000000002,0.11
20Ne,5991.71,0.158,0.011
20Ne,3966.51,0.13999999999999999,0.022
20Ne,4333.19,0.115,0.014
20Ne,4683.62,0.09000000000000001,0.011
20Ne,5641.0,0.08600000000000001,0.007
20Ne,3097.25,0.083,0.022
20Ne,2788.63,0.07200000000000001,0.018000000000000002
20Ne,3311.92,0.061,0.018000000000000002
20Ne,4725.1,0.05,0.007
20Ne,874.8,0.04,0.014
20Ne,869.5,0.0068000000000000005,0.0022
20Ne,1890.4,0.0036,0.0011
21Ne,1274.542,1.8,0.5
21Ne,2082.5,1.1,0.3
21Ne,4018.3,0.9,0.23
21Ne,2987.8,0.86,0.22
21Ne,2165.9,0.8400000000000001,0.21000000000000002
21Ne,3181.8,0.48000000000000004,0.12000000000000001
21Ne,4634.83,0.42000000000000004,0.11
21Ne,4840.1,0.38,0.1
21Ne,9087.3,0.27999999999999997,0.06999999999999999
21Ne,4456.0,0.015000000000000001,0.01
21Ne,4248.2,0.013,0.004
22Ne,1979.89,3.0599999999999996,0.17
22Ne,1017.0,3.0,0.5
22Ne,2203.58,2.3800000000000003,0.23
22Ne,1364.8,0.91,0.12000000000000001
22Ne,3220.42,0.57,0.23
22Ne,1822.4,0.5199999999999999,0.05
22Ne,2819.22,0.5199999999999999,0.05
22Ne,2013.8,0.4,0.05
22Ne,4183.2,0.12000000000000001,0.05
22Ne,1398.1,0.09000000000000001,0.04
23Na,90.992,235.0,3.0
23Na,869.21,108.0,1.3
23Na,6395.478,100.0,2.0
23Na,874.389,76.0,1.1
23Na,2517.81,69.9,1.5
23Na,3981.45,67.7,1.1
23Na,2752.271,65.4,1.2
23Na,3587.46,59.6,1.1
23Na,2025.139,34.1,0.8
23Na,2208.4,25.9,0.9
23Na,1636.293,25.0,0.7
23Na,2414.457,23.7,0.5
23Na,2030.318,21.9,0.7
23Na,3878.1,21.8,0.6
23Na,1344.607,21.7,0.5
23Na,3096.78,19.900000000000002,0.7
23Na,2860.355,17.7,0.5
23Na,781.435,17.5,0.5
23Na,2808.468,16.8,0.7
23Na,2505.439,16.7,0.5
23Na,3099.99,16.0,0.9
23Na,5617.452,16.0,5.0
23Na,3025.99,14.6,0.6
23Na,499.381,14.3,0.3
23Na,2981.97,14.200000000000001,0.6
23Na,3369.94,13.299999999999999,0.4
23Na,2865.534,13.0,0.4
23Na,1712.43,11.2,0.6
23Na,835.292,10.9,0.3
23Na,1950.112,8.7,0.3
23Na,563.192,8.5,0.3
23Na,2361.026,8.4,0.3
23Na,1899.06,8.1,0.4
23Na,1373.751,7.9,1.9
23Na,1633.08,7.4,0.4
23Na,4187.49,7.3,0.5
23Na,2397.433,6.8999999999999995,0.4
23Na,3504.94,6.760000000000001,0.23
23Na,3643.655,6.7,0.3
23Na,1322.262,6.2,0.3
23Na,1914.44,6.0600000000000005,0.21000000000000002
23Na,2071.78,5.8999999999999995,0.3
23Na,2904.89,5.8999999999999995,0.3
23Na,778.221,5.8,0.3
23Na,1282.764,5.5,0.3
23Na,1928.37,5.5,0.5
23Na,3214.22,5.4,0.4
