Isotope,Energy (keV),Sigma (b),DSigma (b)
75As,6571.924,0.0037,0.0005
75As,6583.556,0.027,0.003
75As,6587.038,0.045,0.003
75As,6600.71,0.0372,0.0017
75As,6612.7,0.0024,0.0005
75As,6620.59,0.0304,0.0015
75As,6642.366,0.005,0.0005
75As,6659.378,0.0227,0.0011
75As,6691.241,0.0246,0.0012
75As,6699.744,0.0109,0.0007
75As,6718.514,0.0101,0.0006
75As,6728.3,0.0084,0.0006
75As,6778.047,0.0143,0.0009
75As,6784.456,0.0133,0.0025
75As,6808.872,0.16,0.008
75As,6810.898,0.56,0.03
75As,6823.272,0.0133,0.0008
75As,6828.896,0.0161,0.0009
75As,6857.474,0.0168,0.001
75As,6881.302,0.0162,0.0009
75As,6891.668,0.0024,0.0004
75As,6926.635,0.061,0.004
75As,6951.08,0.0049,0.001
75As,6964.56,0.0048,0.0005
75As,6976.101,0.013,0.0021
75As,6999.982,0.0022,0.0004
75As,7020.139,0.104,0.007
75As,7027.998,0.0534,0.0025
75As,7048.154,0.0103,0.0021
75As,7063.648,0.045,0.003
75As,7124.906,0.0037,0.0008
75As,7163.396,0.0181,0.0009
75As,7208.183,0.0127,0.0007
75As,7241.649,0.0167,0.002
75As,7284.007,0.036,0.003
75As,7328.428,0.0043,0.0005
74Se,112.388,0.0317,0.0015
74Se,20.9,0.0001,0.0
74Se,133.04,0.00047,7e-05
74Se,286.571,0.28,0.006
74Se,141.314,0.0246,0.0021
74Se,315.497,0.00279,0.00022
74Se,427.884,0.0152,0.0014
74Se,292.843,0.0297,0.0021
74Se,299.377,0.0035,0.0013
74Se,585.947,0.00194,0.00015
74Se,317.609,0.00323,0.00017
74Se,324.143,7.9e-05,1.1e-05
74Se,610.713,0.0316,0.0022
74Se,341.859,0.00047,3e-05
74Se,495.39,0.0012,9e-05
74Se,516.042,0.015,0.003
74Se,628.429,0.00295,0.00022
74Se,236.073,0.0062,0.0016
74Se,370.853,5.3e-05,1.6e-05
74Se,377.387,0.013,0.004
74Se,551.569,0.00088,8e-05
74Se,663.956,0.000179,1.6e-05
74Se,83.692,6.3e-05,2.1e-05
74Se,319.764,0.00279,0.00017
74Se,461.078,0.00108,0.00014
74Se,635.26,0.00053,8e-05
74Se,747.647,0.00029,0.00014
74Se,113.362,0.00014,4e-05
74Se,191.372,0.00104,7e-05
74Se,349.435,0.00384,0.00023
74Se,484.214,0.00305,0.00017
74Se,490.748,0.00395,0.00023
74Se,777.317,0.00025,7e-05
74Se,161.559,6.3e-05,1.6e-05
74Se,656.948,0.00014,4e-05
74Se,677.6,0.00173,0.0001
74Se,789.987,0.00217,0.00012
74Se,211.462,0.0038,0.0003
74Se,229.178,0.002,0.0003
74Se,727.502,0.00069,7e-05
74Se,839.888,0.019,0.023
74Se,195.581,0.00411,0.00023
74Se,231.108,0.000168,2.1e-05
74Se,431.653,0.01,0.0005
74Se,566.433,0.00124,0.0001
74Se,572.966,0.011,0.004
74Se,859.535,0.00078,6e-05
74Se,284.557,0.00076,8e-05
74Se,309.323,0.00096,8e-05
74Se,467.386,0.00039,9e-05
74Se,608.699,0.0108,0.0008
74Se,175.974,5.8e-05,1.1e-05
74Se,820.251,0.00011,4e-05
74Se,840.903,0.0002,0.00011
74Se,953.289,0.00033,6e-05
74Se,298.685,0.00112,8e-05
74Se,334.212,0.000279,2.2e-05
74Se,376.695,0.00033,5e-05
74Se,534.757,0.00132,0.00021
74Se,669.536,0.00108,6e-05
74Se,676.07,0.009,0.003
74Se,962.638,0.018,0.003
74Se,375.416,0.00017,3e-05
74Se,870.803,0.00023,6e-05
74Se,891.456,0.0052,0.001
74Se,1003.842,0.0046,0.0003
74Se,733.895,0.02,0.003
74Se,619.298,0.001,0.00012
74Se,760.611,0.00029,4e-05
74Se,326.174,0.00087,5e-05
74Se,487.874,0.00092,9e-05
74Se,645.937,0.00104,8e-05
74Se,780.716,0.00059,5e-05
74Se,961.431,0.0029,0.0003
74Se,1073.817,0.00041,4e-05
74Se,1144.45,0.0133,0.0008
74Se,324.649,0.00081,5e-05
74Se,598.239,0.00195,0.00016
74Se,897.613,0.0056,0.0003
74Se,534.576,0.00104,0.00012
74Se,770.647,0.0043,0.0003
74Se,911.96,0.0098,0.0018
74Se,659.291,0.00127,7e-05
74Se,952.132,0.0063,0.0004
74Se,958.666,0.00065,9e-05
74Se,1245.233,0.00242,0.00022
74Se,873.816,0.00154,9e-05
74Se,1189.309,0.0009,0.0001
74Se,788.559,0.007,0.005
74Se,684.29,0.000105,1.1e-05
74Se,767.98,0.00015,7e-05
74Se,868.72,0.00094,8e-05
74Se,701.346,0.0037,0.0003
74Se,974.934,0.00135,0.0001
74Se,1448.487,0.00099,0.0001
74Se,1560.873,0.00069,8e-05
74Se,978.811,0.009,0.003
74Se,1380.25,0.00216,0.00016
74Se,1810.68,0.0006,0.0003
74Se,2271.18,0.007,0.003
74Se,4408.08,0.00192,0.00015
74Se,4687.33,0.00179,0.00021
74Se,4694.34,0.00179,0.00021
74Se,4816.99,0.00087,7e-05
74Se,4845.1,0.00363,0.00022
74Se,4874.81,0.00416,0.00023
74Se,5086.48,0.00187,0.00013
74Se,5140.21,0.00303,0.00016
74Se,5245.31,0.00206,0.00011
74Se,5289.97,0.00326,0.00017
74Se,5395.56,0.00268,0.00015
74Se,5429.59,0.00214,0.00013
74Se,5461.98,0.00437,0.00023
74Se,5570.93,0.0064,0.0003
74Se,5756.13,0.00065,4e-05
74Se,5785.26,0.00054,3e-05
74Se,5860.64,0.00245,0.00013
74Se,5996.97,0.00133,8e-05
74Se,6041.29,0.00185,6e-05
74Se,6068.98,0.00067,4e-05
74Se,6083.98,0.00235,0.00013
74Se,6132.35,0.00205,0.00011
74Se,6216.61,0.00237,0.00013
74Se,6225.27,0.0067,0.0004
74Se,6374.51,0.00124,0.00014
74Se,6437.755,0.014,0.003
74Se,6595.33,0.00023,4e-05
74Se,6782.012,0.0001,3e-05
74Se,6828.715,0.00421,0.00023
74Se,6843.06,0.00134,7e-05
74Se,6882.787,0.00033,3e-05
74Se,7006.764,0.0073,0.0004
74Se,7064.583,0.00411,0.00023
74Se,7131.948,0.00118,6e-05
74Se,7167.677,0.00188,0.00012
74Se,7187.322,0.00019,0.00012
74Se,7398.762,0.00122,7e-05
74Se,7416.476,0.0037,0.0012
74Se,7441.24,0.00264,0.00014
74Se,7734.052,0.13,0.06
74Se,7740.585,0.0048,0.0015
74Se,8027.124,0.000369,2.2e-05
76Se,13.384,0.0058,0.0006
76Se,238.998,2.06,0.03
76Se,87.866,0.21,0.004
76Se,249.788,0.538,0.009
76Se,51.361,0.03,0.05
76Se,62.151,0.0033,0.0009
76Se,125.844,0.074,0.017
76Se,139.227,0.543,0.009
76Se,189.663,0.00165,0.00021
76Se,200.453,0.233,0.009
76Se,277.529,0.00324,0.00021
76Se,439.451,0.319,0.008
76Se,81.187,0.00059,0.00015
76Se,270.85,0.0147,0.0023
76Se,281.64,0.124,0.005
76Se,520.637,1.26,0.018
76Se,141.558,0.00445,0.00017
76Se,279.86,0.00066,0.00013
76Se,331.221,0.0526,0.0025
76Se,342.01,0.0046,0.0016
76Se,405.703,0.004,0.0017
76Se,419.086,0.0096,0.0025
76Se,99.095,0.0021,0.0007
76Se,159.465,0.0035,0.0019
76Se,240.653,0.00077,8e-05
76Se,378.954,0.022,0.003
76Se,430.315,0.0028,0.0017
76Se,441.105,0.00103,0.00021
76Se,504.797,0.024,0.005
76Se,518.181,0.273,0.007
76Se,494.999,0.0132,0.0025
76Se,620.841,0.01,0.0006
76Se,634.225,0.0057,0.0004
76Se,368.733,0.026,0.003
76Se,558.395,0.00093,0.00015
76Se,569.185,0.024,0.008
76Se,632.877,0.00038,4e-05
76Se,297.216,0.337,0.007
76Se,378.403,0.0043,0.0004
76Se,568.066,0.103,0.008
76Se,578.855,0.243,0.005
76Se,817.852,0.174,0.005
76Se,243.423,0.0038,0.0004
76Se,303.793,0.052,0.003
76Se,384.98,0.032,0.005
76Se,523.281,0.0022,0.0004
76Se,574.642,0.054,0.003
76Se,585.432,0.077,0.004
76Se,662.508,0.00407,0.00022
76Se,824.428,0.0012,0.0003
76Se,231.427,0.105,0.003
76Se,390.892,0.029,0.004
76Se,472.079,0.0134,0.0017
76Se,610.38,0.0345,0.0021
76Se,661.741,0.00072,6e-05
76Se,749.606,0.042,0.003
76Se,911.526,0.0069,0.0005
76Se,266.877,0.0029,0.0008
76Se,426.342,0.0026,0.0014
76Se,645.83,0.099,0.003
76Se,707.98,0.0281,0.002
76Se,785.056,0.00338,0.00021
76Se,946.976,0.089,0.004
76Se,180.751,0.0291,0.0012
76Se,187.328,0.0071,0.0014
76Se,325.079,0.00234,0.00013
76Se,424.173,0.0021,0.0013
76Se,484.544,0.125,0.004
76Se,565.73,0.0398,0.0023
76Se,704.031,0.00221,0.00013
76Se,755.392,0.186,0.004
76Se,766.182,0.0052,0.0004
76Se,843.257,0.0017,0.0008
76Se,1005.177,0.117,0.005
76Se,181.13,0.0006,0.0003
76Se,216.58,0.00048,7e-05
76Se,607.471,0.027,0.005
76Se,826.958,0.00078,0.00012
76Se,878.319,0.0015,0.00017
76Se,889.108,0.18,0.005
76Se,1128.104,0.023,0.004
76Se,452.352,0.002,0.00021
76Se,831.303,0.0123,0.001
76Se,957.145,0.0052,0.0004
76Se,970.529,0.0039,0.0004
76Se,239.999,0.0124,0.0014
76Se,275.45,0.00255,0.00021
76Se,362.549,0.00174,9e-05
76Se,506.876,0.0026,0.0006
76Se,666.34,0.011,0.006
76Se,747.527,0.0069,0.0019
76Se,885.827,0.262,0.007
76Se,937.188,0.00221,0.00021
76Se,947.977,0.0057,0.0007
76Se,1186.973,0.033,0.003
76Se,649.621,0.0059,0.0004
76Se,791.178,0.016,0.0016
76Se,929.479,0.007,0.003
76Se,980.839,0.0111,0.0011
76Se,991.629,0.057,0.005
76Se,1230.624,0.0055,0.0004
76Se,572.857,0.0081,0.0007
76Se,671.951,0.0038,0.0015
76Se,732.322,0.0049,0.0004
76Se,951.809,0.047,0.003
76Se,177.29,0.00053,7e-05
76Se,452.739,0.00049,6e-05
76Se,556.085,0.00062,8e-05
76Se,684.165,0.00251,0.00014
76Se,843.629,0.0057,0.0006
76Se,1063.115,0.02,0.005
76Se,1114.476,0.0021,0.0004
76Se,274.371,0.00163,0.0001
76Se,397.299,0.021,0.004
76Se,455.501,0.0038,0.0005
76Se,490.951,0.00047,4e-05
76Se,584.626,0.00276,0.00021
76Se,606.332,0.00062,9e-05
76Se,881.84,0.04,0.003
76Se,963.026,0.012,0.003
76Se,1163.476,0.087,0.004
76Se,1402.471,0.032,0.004
76Se,283.513,0.00023,4e-05
76Se,406.44,0.00027,4e-05
76Se,464.642,0.00031,3e-05
76Se,587.191,0.0042,0.0017
76Se,593.767,0.0071,0.0019
76Se,603.438,0.00228,0.00021
76Se,615.473,0.00028,0.00021
76Se,731.517,0.00157,0.00014
76Se,830.611,0.0165,0.0021
76Se,890.981,0.083,0.004
76Se,972.167,0.0061,0.001
76Se,1110.468,0.0052,0.0016
76Se,1161.828,0.079,0.004
76Se,1172.617,0.058,0.003
76Se,1411.612,0.115,0.006
76Se,360.124,0.00057,4e-05
76Se,483.051,0.0123,0.0017
76Se,576.703,0.00021,6e-05
76Se,663.801,0.004,0.003
76Se,670.378,0.0048,0.0003
76Se,680.048,0.00021,6e-05
76Se,692.084,0.00026,8e-05
76Se,808.128,0.0064,0.0004
76Se,967.592,0.015,0.003
76Se,1048.778,0.0111,0.0021
76Se,1249.227,0.014,0.006
76Se,1488.222,0.015,0.004
76Se,324.04,0.00111,7e-05
76Se,505.837,0.007,0.0012
76Se,564.038,0.0034,0.0005
76Se,599.489,0.0112,0.0024
76Se,686.587,0.00316,0.00017
76Se,693.164,0.00208,0.00015
76Se,714.869,0.00024,6e-05
76Se,930.007,0.0052,0.0004
76Se,990.377,0.028,0.003
76Se,1071.563,0.016,0.004
76Se,1209.863,0.0023,0.0004
76Se,1261.224,0.0039,0.0007
76Se,1272.013,0.016,0.007
76Se,1349.088,0.002,0.0004
76Se,1511.007,0.011,0.003
76Se,660.716,0.00158,0.00011
76Se,696.166,0.00171,0.00012
76Se,783.264,0.00108,0.00011
76Se,799.511,0.002,0.00021
76Se,811.547,0.00112,9e-05
76Se,927.591,0.0068,0.0018
76Se,1026.684,0.016,0.01
76Se,1168.24,0.0051,0.0007
76Se,1306.54,0.061,0.006
76Se,1368.69,0.0045,0.0007
76Se,676.157,0.00215,0.00013
76Se,711.607,0.013,0.003
76Se,798.706,0.0004,0.00012
76Se,805.282,0.0066,0.0019
76Se,1183.681,0.0012,0.0005
76Se,1373.341,0.0092,0.0008
76Se,1384.131,0.08,0.004
76Se,1623.124,0.063,0.005
76Se,527.775,0.0004,6e-05
76Se,709.572,0.00234,0.00018
76Se,803.223,0.00124,0.00021
76Se,890.321,0.0068,0.0006
76Se,896.898,0.012,0.003
76Se,1194.111,0.022,0.003
76Se,1275.297,0.0023,0.001
76Se,1475.746,0.03,0.02
76Se,1714.739,0.033,0.003
76Se,329.399,0.00106,0.00017
76Se,630.652,0.00021,4e-05
76Se,689.521,0.003,0.00017
76Se,812.448,0.00228,0.00014
76Se,993.197,0.0021,0.0004
76Se,999.774,0.0049,0.002
76Se,1009.444,0.0018,0.0006
76Se,1296.986,0.24,0.007
76Se,1378.172,0.048,0.004
76Se,1567.831,0.021,0.003
76Se,1578.621,0.042,0.004
76Se,1642.312,0.0069,0.0022
76Se,319.838,0.0003,6e-05
76Se,883.873,0.0019,0.0008
76Se,1310.21,0.0046,0.0008
76Se,1391.396,0.0042,0.0005
76Se,1581.056,0.003,0.0008
76Se,1830.838,0.0126,0.0015
76Se,1208.72,0.012,0.0012
76Se,1587.67,0.009,0.003
76Se,1726.89,0.0125,0.0016
76Se,405.05,0.00054,7e-05
76Se,427.84,0.00028,4e-05
76Se,513.59,0.00081,0.0001
76Se,969.09,0.00186,0.00021
76Se,1091.64,0.026,0.005
76Se,1395.42,0.024,0.006
76Se,1614.91,0.0045,0.0009
76Se,1677.06,0.023,0.004
76Se,1916.05,0.02,0.003
76Se,1137.49,0.0036,0.0004
76Se,2142.65,0.04,0.004
76Se,723.82,0.00099,0.00011
76Se,1025.07,0.008,0.0006
76Se,1083.94,0.007,0.003
76Se,1387.61,0.0059,0.0005
76Se,1691.4,0.0074,0.001
76Se,2212.02,0.033,0.003
76Se,737.903,0.015,0.003
76Se,884.651,0.0046,0.0012
76Se,1301.935,0.0094,0.0011
76Se,2009.902,0.016,0.003
76Se,776.09,0.00042,0.00011
76Se,1317.34,0.0136,0.0011
76Se,1446.46,0.0109,0.0025
76Se,1456.13,0.0057,0.0012
76Se,1963.15,0.034,0.004
76Se,2088.99,0.014,0.003
76Se,1408.56,0.0123,0.0015
76Se,2018.93,0.0068,0.0024
76Se,975.65,0.0029,0.00014
76Se,1392.93,0.016,0.005
76Se,1758.89,0.008,0.003
76Se,2090.11,0.008,0.005
76Se,678.11,0.00041,0.00017
76Se,1139.9,0.0088,0.0015
76Se,1584.67,0.021,0.003
76Se,1712.75,0.023,0.003
76Se,1872.21,0.048,0.004
76Se,2392.83,0.0122,0.0015
76Se,740.697,0.01,0.003
76Se,1450.262,0.0205,0.0024
76Se,1775.334,0.006,0.003
76Se,1003.65,0.0074,0.0017
76Se,1674.02,0.01,0.005
76Se,2190.72,0.02,0.007
76Se,2329.94,0.009,0.003
76Se,734.17,0.00048,0.00021
76Se,1321.17,0.0092,0.0008
76Se,1364.82,0.0016,0.0008
76Se,1604.81,0.0101,0.0012
76Se,1743.61,0.012,0.0015
76Se,1970.78,0.021,0.006
76Se,1142.15,0.0031,0.0008
76Se,1366.79,0.01,0.001
76Se,1606.78,0.0074,0.001
76Se,1238.49,0.0125,0.0015
76Se,1635.78,0.0093,0.0021
76Se,1729.43,0.019,0.006
76Se,1228.02,0.0028,0.0005
76Se,1485.62,0.0034,0.0006
76Se,1529.27,0.034,0.006
76Se,2415.07,0.012,0.005
76Se,959.09,0.003,0.0004
76Se,1365.09,0.0072,0.0008
76Se,1771.52,0.014,0.004
76Se,1958.85,0.0076,0.0021
76Se,2526.9,0.0083,0.0021
76Se,2776.68,0.012,0.004
76Se,1803.93,0.013,0.003
76Se,2809.08,0.034,0.024
76Se,2565.63,0.021,0.005
76Se,1847.93,0.046,0.004
76Se,2028.68,0.014,0.004
76Se,2035.26,0.043,0.005
76Se,2614.09,0.047,0.005
76Se,1461.34,0.008,0.0025
76Se,1620.0,0.0121,0.0013
76Se,1744.85,0.0051,0.001
76Se,2623.15,0.0137,0.0017
76Se,2872.93,0.046,0.003
76Se,1284.25,0.0144,0.0011
76Se,1489.46,0.0054,0.0014
76Se,1980.4,0.022,0.016
76Se,2074.08,0.033,0.02
76Se,2590.77,0.039,0.013
76Se,2982.82,0.03,0.009
76Se,1105.71,0.0053,0.002
76Se,1506.3,0.021,0.008
76Se,2755.5,0.0109,0.0012
76Se,2360.21,0.009,0.0021
76Se,2459.3,0.0088,0.0014
76Se,2600.85,0.0221,0.0021
76Se,1336.21,0.0055,0.0007
76Se,1539.94,0.015,0.003
76Se,2139.42,0.016,0.003
76Se,2749.78,0.023,0.005
76Se,2762.73,0.0132,0.0013
76Se,2814.09,0.0119,0.0014
76Se,1417.26,0.0205,0.0017
76Se,1945.03,0.017,0.003
76Se,2307.57,0.012,0.003
76Se,2256.62,0.0068,0.0015
76Se,1938.5,0.0119,0.0016
76Se,2952.43,0.014,0.005
76Se,3232.72,0.018,0.005
76Se,2994.12,0.019,0.016
76Se,2125.78,0.013,0.003
76Se,2184.65,0.0037,0.0014
76Se,2307.57,0.012,0.003
76Se,2494.9,0.008,0.004
76Se,2745.99,0.0104,0.0013
76Se,1530.97,0.0068,0.001
76Se,1837.58,0.0094,0.0012
76Se,2161.61,0.0152,0.0021
76Se,3115.15,0.008,0.003
76Se,3354.14,0.0168,0.0013
76Se,1851.15,0.0058,0.0015
76Se,2131.53,0.0123,0.0017
76Se,2922.68,0.0214,0.0021
76Se,1790.24,0.036,0.004
76Se,1594.81,0.0051,0.0008
76Se,1697.69,0.0084,0.0011
76Se,3412.39,0.0153,0.0017
76Se,1075.03,0.0083,0.001
76Se,1150.62,0.0083,0.0006
76Se,3414.88,0.0207,0.0021
76Se,3211.37,0.0134,0.0014
76Se,2249.88,0.0221,0.0021
76Se,2959.85,0.0139,0.0012
76Se,3241.48,0.0179,0.0015
76Se,2264.68,0.031,0.004
76Se,2709.45,0.0098,0.0012
76Se,3216.46,0.013,0.0015
76Se,3517.6,0.032,0.005
76Se,1830.96,0.0126,0.0015
76Se,2417.59,0.024,0.017
76Se,3106.23,0.008,0.001
76Se,3383.74,0.0179,0.0021
76Se,2971.34,0.009,0.0021
76Se,3251.19,0.0088,0.0012
76Se,1417.96,0.021,0.004
76Se,2649.07,0.018,0.004
76Se,3039.95,0.038,0.016
76Se,3340.98,0.0108,0.0016
76Se,3466.82,0.022,0.004
76Se,3014.24,0.0103,0.0021
76Se,2110.88,0.018,0.013
76Se,2894.13,0.018,0.003
76Se,3279.09,0.023,0.004
76Se,2964.54,0.016,0.009
76Se,2886.71,0.0159,0.0021
76Se,3559.22,0.0039,0.001
76Se,3636.29,0.03,0.004
76Se,1615.05,0.0043,0.0009
76Se,3043.96,0.0086,0.001
76Se,3629.37,0.014,0.006
76Se,3693.06,0.024,0.009
76Se,2987.85,0.006,0.0011
76Se,3110.39,0.018,0.005
76Se,3260.24,0.0165,0.0021
76Se,3487.41,0.0202,0.0015
76Se,3829.4,0.0037,0.0008
76Se,3265.18,0.008,0.004
76Se,3296.55,0.028,0.004
76Se,3435.34,0.0104,0.001
76Se,4243.49,0.022,0.0013
76Se,3160.23,0.007,0.003
76Se,3283.15,0.01,0.006
76Se,4288.28,0.0152,0.001
76Se,3130.37,0.007,0.0012
76Se,3175.17,0.0152,0.0013
76Se,3206.54,0.027,0.014
76Se,3350.27,0.018,0.003
76Se,3550.31,0.042,0.017
76Se,3591.63,0.019,0.003
76Se,3620.46,0.028,0.004
76Se,3645.97,0.019,0.004
76Se,3700.14,0.034,0.024
76Se,3724.34,0.0068,0.001
76Se,3776.55,0.016,0.004
76Se,3858.09,0.037,0.006
76Se,3866.33,0.024,0.005
76Se,3873.0,0.025,0.004
76Se,3901.06,0.073,0.008
76Se,3938.19,0.018,0.006
76Se,3945.94,0.033,0.005
76Se,3968.3,0.04,0.004
76Se,4003.78,0.025,0.004
76Se,4006.27,0.0138,0.0021
76Se,4020.78,0.0225,0.0016
76Se,4056.54,0.031,0.005
76Se,4064.52,0.0229,0.0014
76Se,4070.11,0.0039,0.0006
76Se,4091.68,0.0112,0.001
76Se,4105.94,0.017,0.006
76Se,4174.76,0.037,0.007
76Se,4185.94,0.042,0.01
76Se,4227.23,0.0146,0.0013
76Se,4250.53,0.0105,0.0008
76Se,4286.69,0.015,0.005
76Se,4354.79,0.04,0.005
76Se,4367.73,0.024,0.003
76Se,4378.36,0.085,0.016
76Se,4424.16,0.0168,0.0011
76Se,4435.83,0.032,0.007
76Se,4526.75,0.115,0.008
76Se,4545.72,0.049,0.005
76Se,4565.56,0.156,0.011
76Se,4603.24,0.0206,0.0013
76Se,4609.57,0.058,0.009
76Se,4641.97,0.027,0.006
76Se,4702.43,0.023,0.004
76Se,4777.71,0.013,0.0009
76Se,4864.9,0.0086,0.0006
76Se,4926.78,0.048,0.008
76Se,4963.217,0.039,0.005
76Se,5025.8,0.15,0.012
76Se,5044.96,0.0073,0.0008
76Se,5078.75,0.033,0.011
76Se,5098.56,0.031,0.008
76Se,5154.33,0.053,0.005
76Se,5169.734,0.031,0.004
76Se,5206.6,0.045,0.005
76Se,5275.98,0.024,0.009
76Se,5502.56,0.016,0.009
76Se,5587.771,0.0113,0.0012
76Se,5600.995,0.301,0.014
76Se,5703.864,0.029,0.005
76Se,5795.473,0.127,0.016
76Se,5810.913,0.0068,0.0006
76Se,5907.584,0.021,0.004
76Se,5930.368,0.0077,0.0006
76Se,6006.973,0.289,0.02
76Se,6016.113,0.101,0.01
76Se,6054.322,0.0086,0.0007
76Se,6231.597,0.1,0.04
76Se,6290.462,0.0052,0.0005
76Se,6413.379,0.192,0.015
76Se,6507.023,0.0175,0.0011
76Se,6600.69,0.623,0.02
76Se,6897.879,0.0057,0.0004
76Se,7179.492,0.261,0.025
76Se,7418.467,0.35,0.013
77Se,613.724,2.14,0.05
77Se,694.914,0.443,0.01
77Se,1308.632,0.317,0.008
77Se,884.867,0.1,0.006
77Se,889.095,0.096,0.006
77Se,450.042,0.0022,0.0007
77Se,1144.952,0.076,0.003
77Se,351.115,0.0041,0.0011
77Se,545.297,0.0635,0.0025
77Se,1240.206,0.106,0.004
77Se,497.297,0.0117,0.0012
77Se,687.251,0.063,0.005
77Se,1382.159,0.069,0.003
77Se,1995.871,0.119,0.005
77Se,271.11,0.0019,0.0006
77Se,958.36,0.0035,0.0005
77Se,1653.26,0.008,0.0013
77Se,331.391,0.0035,0.0011
77Se,568.6,0.0043,0.0009
77Se,1018.64,0.0118,0.0008
77Se,1713.544,0.163,0.008
77Se,2327.253,0.019,0.013
77Se,1026.53,0.0084,0.0008
77Se,1721.43,0.078,0.004
77Se,1748.14,0.0063,0.001
77Se,1004.54,0.0177,0.0013
77Se,1198.72,0.0379,0.0023
77Se,1893.63,0.0159,0.0013
77Se,1038.46,0.0066,0.0021
77Se,1228.42,0.0181,0.0013
77Se,1923.32,0.068,0.005
77Se,279.3,0.013,0.0024
77Se,1043.5,0.0013,0.0005
77Se,285.58,0.0051,0.0016
77Se,320.182,0.0038,0.0013
77Se,651.572,0.0144,0.001
77Se,793.525,0.0055,0.0007
77Se,1338.817,0.0354,0.0019
77Se,354.85,0.0075,0.0011
77Se,686.235,0.0035,0.0008
77Se,828.188,0.03,0.0017
77Se,1373.48,0.017,0.0016
77Se,2068.38,0.0019,0.0005
77Se,1255.26,0.0022,0.0005
77Se,1445.21,0.0057,0.0011
77Se,842.47,0.012,0.0017
77Se,1079.68,0.0174,0.0013
77Se,1529.71,0.061,0.013
77Se,1010.19,0.0134,0.0012
77Se,2284.36,0.054,0.005
77Se,2391.89,0.038,0.007
77Se,1185.87,0.0047,0.0008
77Se,1731.15,0.009,0.001
77Se,2475.98,0.0153,0.002
77Se,2572.7,0.025,0.004
77Se,594.99,0.0043,0.0007
77Se,975.45,0.0024,0.0005
77Se,1388.51,0.0056,0.001
77Se,1483.76,0.0146,0.0021
77Se,1743.85,0.012,0.006
77Se,2628.69,0.013,0.006
77Se,3242.39,0.033,0.007
77Se,2641.07,0.0134,0.0025
77Se,248.43,0.023,0.005
77Se,1979.57,0.0028,0.0011
77Se,2674.47,0.06,0.005
77Se,2769.87,0.035,0.003
77Se,3439.4,0.028,0.003
77Se,2837.05,0.0082,0.0012
77Se,655.92,0.0058,0.0007
77Se,1159.11,0.0047,0.0013
77Se,1498.38,0.0038,0.001
77Se,3523.73,0.0025,0.0016
77Se,2977.88,0.0127,0.0018
77Se,3624.0,0.0063,0.0024
77Se,2319.4,0.025,0.01
77Se,3072.64,0.0257,0.0017
77Se,3121.33,0.0118,0.001
77Se,2391.87,0.043,0.004
77Se,3894.63,0.0022,0.0007
77Se,3346.04,0.0038,0.0007
77Se,3959.73,0.0044,0.0016
77Se,1671.63,0.017,0.007
77Se,2003.01,0.015,0.003
77Se,2240.22,0.013,0.007
77Se,3385.13,0.038,0.011
77Se,3998.83,0.0044,0.0015
77Se,3423.2,0.014,0.004
77Se,4079.75,0.008,0.003
77Se,2186.24,0.017,0.008
77Se,2873.47,0.061,0.008
77Se,2257.48,0.022,0.003
77Se,2944.71,0.0085,0.0016
77Se,3639.6,0.0035,0.0008
77Se,2988.77,0.0081,0.001
77Se,2842.87,0.0101,0.0018
77Se,4341.39,0.0089,0.0014
77Se,3057.85,0.0057,0.0012
77Se,4366.43,0.0019,0.0014
77Se,2628.18,0.0127,0.0022
77Se,3773.09,0.0057,0.0009
77Se,2452.36,0.0093,0.0012
77Se,4448.16,0.012,0.003
77Se,3855.21,0.013,0.0021
77Se,4468.9,0.0025,0.0016
77Se,3220.05,0.006,0.0018
77Se,4058.65,0.007,0.0011
77Se,3375.55,0.007,0.0011
77Se,4070.43,0.0146,0.0022
77Se,4690.27,0.0139,0.0022
77Se,4696.84,0.0019,0.0014
77Se,3224.33,0.0032,0.0016
77Se,3414.28,0.0054,0.001
77Se,3479.24,0.0041,0.0008
77Se,4174.12,0.0057,0.0012
77Se,4177.35,0.0022,0.0007
77Se,3503.64,0.014,0.004
77Se,4812.2,0.0073,0.0017
77Se,4957.05,0.0016,0.0009
77Se,4972.18,0.0025,0.0016
77Se,3499.58,0.0025,0.0011
77Se,3245.98,0.0054,0.0019
77Se,4390.88,0.0066,0.0015
77Se,5004.57,0.0013,0.0008
77Se,3168.24,0.006,0.0015
77Se,3721.09,0.0035,0.0012
77Se,5029.66,0.0035,0.0017
77Se,4476.99,0.0019,0.001
77Se,4487.38,0.0019,0.0007
77Se,3130.75,0.0035,0.0009
77Se,3272.7,0.007,0.0017
77Se,3326.53,0.0066,0.0015
77Se,3681.86,0.0051,0.0012
77Se,3791.47,0.0035,0.0009
77Se,4676.3,0.0044,0.0011
77Se,5289.98,0.0038,0.0017
77Se,4681.41,0.006,0.0014
77Se,3841.04,0.006,0.0015
77Se,4030.98,0.0028,0.0007
77Se,3360.57,0.0047,0.0011
77Se,4742.66,0.0032,0.0009
77Se,4776.95,0.0032,0.0009
77Se,4826.33,0.0051,0.0012
77Se,3952.67,0.0025,0.0008
77Se,4014.48,0.0044,0.0011
77Se,5512.99,0.0016,0.0009
77Se,4984.38,0.0063,0.0014
77Se,5046.19,0.0038,0.001
77Se,5057.35,0.0082,0.0019
