Isotope,Energy (keV),XS or I,Info
58Ni,4646.56,0.2723,"(n,g) I-P"
58Ni,1880.19,0.2695,"(n,g) I-S"
58Ni,5621.48,0.2541,"(n,g) I-P"
58Ni,2892.3,0.245,"(n,g) I-P"
58Ni,3296.62,0.2354,"(n,g) I-P"
58Ni,2719.38,0.2349,"(n,g) I-P"
58Ni,3200.54,0.2339,"(n,g) I-S"
58Ni,2897.65,0.2267,"(n,g) I-P"
58Ni,4191.04,0.2267,"(n,g) I-S"
58Ni,2857.56,0.2243,"(n,g) I-P"
58Ni,538.54,0.2147,"(n,g) I-S"
58Ni,5068.8,0.2147,"(n,g) I-S"
58Ni,545.87,0.2147,"(n,g) I-S"
58Ni,5109.22,0.2094,"(n,g) I-P"
58Ni,1704.78,0.2065,"(n,g) I-S"
58Ni,1679.59,0.2065,"(n,g) I-S"
58Ni,1269.74,0.1998,"(n,g) I-S"
58Ni,2838.67,0.1936,"(n,g) I-S"
58Ni,2421.89,0.1931,"(n,g) I-S"
58Ni,1725.33,0.1921,"(n,g) I-S"
58Ni,1728.71,0.1816,"(n,g) I-P"
58Ni,998.5,0.1753,"(n,g) I-S"
58Ni,766.65,0.172,"(n,g) I-S"
58Ni,2716.62,0.1705,"(n,g) I-S"
58Ni,2437.06,0.17,"(n,g) I-P"
58Ni,6597.76,0.1681,"(n,g) I-S"
58Ni,2075.37,0.1652,"(n,g) I-S"
58Ni,849.36,0.1633,"(n,g) I-S"
58Ni,3504.94,0.1575,"(n,g) I-P"
58Ni,2567.89,0.1537,"(n,g) I-P"
58Ni,5458.74,0.1532,"(n,g) I-P"
58Ni,3244.55,0.1494,"(n,g) I-P"
58Ni,5617.07,0.1489,"(n,g) I-S"
58Ni,3889.53,0.147,"(n,g) I-S"
58Ni,3800.79,0.1465,"(n,g) I-S"
58Ni,3143.84,0.1455,"(n,g) I-S"
58Ni,310.78,0.1451,"(n,g) I-S"
58Ni,3005.2,0.1441,"(n,g) I-S"
58Ni,4805.03,0.1422,"(n,g) I-S"
58Ni,1213.92,0.1417,"(n,g) I-S"
58Ni,5546.69,0.1378,"(n,g) I-P"
58Ni,3063.85,0.1374,"(n,g) I-S"
58Ni,3190.39,0.1364,"(n,g) I-P"
58Ni,2833.18,0.1316,"(n,g) I-S"
58Ni,3555.47,0.1316,"(n,g) I-P"
58Ni,3377.34,0.1306,"(n,g) I-S"
58Ni,3730.35,0.1297,"(n,g) I-S"
58Ni,2757.59,0.1225,"(n,g) I-S"
58Ni,2499.18,0.122,"(n,g) I-S"
58Ni,2125.6,0.1201,"(n,g) I-P"
58Ni,5956.75,0.1201,"(n,g) I-S"
58Ni,4375.31,0.1172,"(n,g) I-S"
58Ni,3712.07,0.1172,"(n,g) I-S"
58Ni,2261.44,0.1162,"(n,g) I-S"
58Ni,3853.72,0.1138,"(n,g) I-S"
58Ni,6141.42,0.1138,"(n,g) I-S"
58Ni,3295.57,0.1129,"(n,g) I-S"
58Ni,2001.93,0.1124,"(n,g) I-S"
58Ni,4504.7,0.1119,"(n,g) I-P"
58Ni,1113.38,0.1081,"(n,g) I-S"
58Ni,4352.19,0.1066,"(n,g) I-S"
58Ni,4253.6,0.1057,"(n,g) I-S"
58Ni,2951.3,0.1052,"(n,g) I-S"
58Ni,3514.06,0.1037,"(n,g) I-S"
58Ni,5641.65,0.1037,"(n,g) I-S"
58Ni,2815.52,0.1028,"(n,g) I-P"
58Ni,3867.15,0.0989,"(n,g) I-P"
58Ni,1438.58,0.0975,"(n,g) I-S"
58Ni,3730.11,0.0961,"(n,g) I-S"
58Ni,1782.97,0.0937,"(n,g) I-S"
58Ni,5362.67,0.0927,"(n,g) I-S"
58Ni,3003.9,0.0913,"(n,g) I-S"
58Ni,1889.13,0.0903,"(n,g) I-S"
58Ni,4216.08,0.0898,"(n,g) I-P"
58Ni,5152.3,0.0898,"(n,g) I-S"
58Ni,3667.42,0.0865,"(n,g) I-S"
58Ni,4968.6,0.086,"(n,g) I-S"
58Ni,3045.66,0.086,"(n,g) I-S"
58Ni,2629.21,0.0845,"(n,g) I-S"
58Ni,6030.34,0.0831,"(n,g) I-S"
58Ni,4021.85,0.0831,"(n,g) I-S"
58Ni,2703.78,0.0821,"(n,g) I-S"
58Ni,4428.24,0.0817,"(n,g) I-S"
58Ni,3029.17,0.0812,"(n,g) I-S"
58Ni,1337.87,0.0807,"(n,g) I-S"
58Ni,3303.2,0.0797,"(n,g) I-S"
58Ni,3184.56,0.0788,"(n,g) I-S"
58Ni,4250.6,0.0768,"(n,g) I-S"
58Ni,3256.63,0.0768,"(n,g) I-S"
58Ni,3262.24,0.0764,"(n,g) I-S"
58Ni,1592.06,0.0759,"(n,g) I-S"
58Ni,2653.9,0.0754,"(n,g) I-S"
58Ni,6258.74,0.0749,"(n,g) I-S"
58Ni,3390.6,0.0749,"(n,g) I-S"
58Ni,2330.8,0.0744,"(n,g) I-S"
58Ni,2878.22,0.0735,"(n,g) I-S"
58Ni,2645.94,0.0725,"(n,g) I-S"
58Ni,3972.64,0.0725,"(n,g) I-S"
58Ni,5292.69,0.0716,"(n,g) I-S"
58Ni,6111.6,0.0711,"(n,g) I-S"
58Ni,2626.7,0.0711,"(n,g) I-S"
58Ni,6576.8,0.0706,"(n,g) I-P"
58Ni,2267.96,0.0701,"(n,g) I-S"
58Ni,4305.2,0.0682,"(n,g) I-S"
58Ni,2483.16,0.0677,"(n,g) I-S"
58Ni,5130.7,0.0672,"(n,g) I-S"
58Ni,5701.76,0.0663,"(n,g) I-S"
58Ni,1474.81,0.0663,"(n,g) I-S"
58Ni,2258.03,0.0663,"(n,g) I-S"
58Ni,3156.28,0.0663,"(n,g) I-S"
58Ni,3545.2,0.0663,"(n,g) I-S"
58Ni,1800.02,0.0658,"(n,g) I-S"
58Ni,3857.8,0.0653,"(n,g) I-S"
58Ni,2050.78,0.0648,"(n,g) I-P"
58Ni,3452.32,0.0639,"(n,g) I-S"
58Ni,6947.6,0.0639,"(n,g) I-S"
58Ni,4919.54,0.0634,"(n,g) I-S"
58Ni,1948.3,0.0624,"(n,g) I-S"
58Ni,2948.3,0.062,"(n,g) I-S"
58Ni,2287.61,0.06,"(n,g) I-S"
58Ni,2574.55,0.0596,"(n,g) I-S"
58Ni,5994,0.0596,"(n,g) I-S"
58Ni,2500.6,0.0591,"(n,g) I-P"
58Ni,1607.07,0.0581,"(n,g) I-S"
58Ni,2963.28,0.0581,"(n,g) I-S"
58Ni,2094.05,0.0581,"(n,g) I-S"
58Ni,2541.45,0.0572,"(n,g) I-S"
58Ni,2664.8,0.0572,"(n,g) I-S"
58Ni,5655.5,0.0567,"(n,g) I-P"
58Ni,4317.5,0.0562,"(n,g) I-S"
58Ni,2263.35,0.0548,"(n,g) I-S"
58Ni,2174.55,0.0543,"(n,g) I-S"
58Ni,3787.85,0.0538,"(n,g) I-S"
58Ni,3163.55,0.0538,"(n,g) I-S"
58Ni,3952.24,0.0533,"(n,g) I-S"
58Ni,6391.9,0.0528,"(n,g) I-S"
58Ni,4823.91,0.0528,"(n,g) I-S"
58Ni,3317.58,0.0524,"(n,g) I-S"
58Ni,3679.2,0.0519,"(n,g) I-S"
58Ni,1688,0.0519,"(n,g) I-S"
58Ni,3111,0.0509,"(n,g) I-S"
58Ni,5044.89,0.0509,"(n,g) I-S"
58Ni,2425.06,0.0509,"(n,g) I-S"
58Ni,6408,0.0509,"(n,g) I-S"
58Ni,1851.12,0.0504,"(n,g) I-S"
58Ni,5843.7,0.0504,"(n,g) I-S"
58Ni,1836.97,0.05,"(n,g) I-S"
58Ni,2618.6,0.0495,"(n,g) I-S"
58Ni,2633.38,0.049,"(n,g) I-S"
58Ni,723.93,0.049,"(n,g) I-S"
58Ni,2042,0.048,"(n,g) I-S"
58Ni,2636.61,0.048,"(n,g) I-S"
58Ni,2254.68,0.0476,"(n,g) I-S"
58Ni,3136.75,0.0476,"(n,g) I-S"
58Ni,5553,0.0471,"(n,g) I-S"
58Ni,3388.79,0.0466,"(n,g) I-S"
58Ni,797.03,0.0466,"(n,g) I-S"
58Ni,2616.2,0.0466,"(n,g) I-S"
58Ni,1545.54,0.0461,"(n,g) I-S"
58Ni,1717.65,0.0456,"(n,g) I-S"
58Ni,5224,0.0456,"(n,g) I-S"
58Ni,1802,0.0456,"(n,g) I-S"
58Ni,5887.1,0.0451,"(n,g) I-S"
58Ni,5078.92,0.0451,"(n,g) I-S"
58Ni,1937.7,0.0447,"(n,g) I-S"
58Ni,1623.49,0.0447,"(n,g) I-S"
58Ni,1812.05,0.0447,"(n,g) I-P"
58Ni,2679.6,0.0432,"(n,g) I-S"
58Ni,5901.6,0.0432,"(n,g) I-S"
58Ni,4071.5,0.0432,"(n,g) I-S"
58Ni,3268.8,0.0427,"(n,g) I-S"
58Ni,1609,0.0427,"(n,g) I-S"
58Ni,4295.55,0.0427,"(n,g) I-S"
58Ni,5409.4,0.0423,"(n,g) I-S"
58Ni,1078.27,0.0418,"(n,g) I-S"
58Ni,2328.7,0.0418,"(n,g) I-S"
58Ni,5754.36,0.0413,"(n,g) I-S"
58Ni,2689,0.0413,"(n,g) I-S"
58Ni,5277.35,0.0408,"(n,g) I-S"
58Ni,5287.3,0.0403,"(n,g) I-S"
58Ni,4729.19,0.0399,"(n,g) I-S"
58Ni,3051.21,0.0399,"(n,g) I-S"
58Ni,1264.18,0.0394,"(n,g) I-S"
58Ni,2771.07,0.0394,"(n,g) I-S"
58Ni,2912.7,0.0394,"(n,g) I-S"
58Ni,1778.92,0.0389,"(n,g) I-S"
58Ni,4507.9,0.0384,"(n,g) I-S"
58Ni,3767.43,0.0384,"(n,g) I-S"
58Ni,5140.3,0.0379,"(n,g) I-S"
58Ni,6561.7,0.0379,"(n,g) I-S"
58Ni,5384.52,0.0375,"(n,g) I-S"
58Ni,1695.64,0.0375,"(n,g) I-S"
58Ni,6401.2,0.037,"(n,g) I-S"
58Ni,2535.3,0.0365,"(n,g) I-S"
58Ni,4237.6,0.0365,"(n,g) I-S"
58Ni,2852.2,0.0365,"(n,g) I-S"
58Ni,1434.12,0.0365,"(n,g) I-S"
58Ni,2727.6,0.0365,"(n,g) I-S"
58Ni,3719.1,0.036,"(n,g) I-S"
58Ni,1901.75,0.036,"(n,g) I-S"
58Ni,6160,0.0355,"(n,g) I-S"
58Ni,2823.1,0.0355,"(n,g) I-S"
58Ni,2112,0.0355,"(n,g) I-S"
58Ni,4083.23,0.0355,"(n,g) I-S"
58Ni,1923.4,0.0355,"(n,g) I-S"
58Ni,1943.3,0.0351,"(n,g) I-S"
58Ni,1820.6,0.0346,"(n,g) I-S"
58Ni,3989.9,0.0346,"(n,g) I-S"
58Ni,3838.1,0.0341,"(n,g) I-S"
58Ni,3250,0.0336,"(n,g) I-S"
58Ni,5585.2,0.0336,"(n,g) I-P"
58Ni,3635.2,0.0331,"(n,g) I-S"
58Ni,2786.5,0.0331,"(n,g) I-S"
58Ni,2545.7,0.0331,"(n,g) I-S"
58Ni,5492.1,0.0327,"(n,g) I-S"
58Ni,5469.4,0.0327,"(n,g) I-S"
58Ni,4090.79,0.0322,"(n,g) I-S"
58Ni,3289.3,0.0322,"(n,g) I-S"
58Ni,5682.5,0.0322,"(n,g) I-S"
58Ni,1490.6,0.0322,"(n,g) I-S"
58Ni,4609.3,0.0317,"(n,g) I-S"
58Ni,6499,0.0312,"(n,g) I-S"
58Ni,4067.4,0.0307,"(n,g) I-S"
58Ni,3072.2,0.0307,"(n,g) I-S"
58Ni,1147.98,0.0307,"(n,g) I-S"
58Ni,412.96,0.0307,"(n,g) I-S"
58Ni,6872.8,0.0303,"(n,g) I-S"
58Ni,4629.3,0.0293,"(n,g) I-S"
58Ni,3393.8,0.0293,"(n,g) I-S"
58Ni,2738.7,0.0293,"(n,g) I-S"
58Ni,5566.4,0.0293,"(n,g) I-S"
58Ni,2980.2,0.0288,"(n,g) I-S"
58Ni,6617.5,0.0288,"(n,g) I-S"
58Ni,3374.9,0.0288,"(n,g) I-S"
58Ni,1555.8,0.0283,"(n,g) I-S"
58Ni,3234.08,0.0283,"(n,g) I-S"
58Ni,1045.76,0.0283,"(n,g) I-S"
58Ni,1539.5,0.0279,"(n,g) I-S"
58Ni,3880.1,0.0279,"(n,g) I-S"
58Ni,6752.6,0.0279,"(n,g) I-S"
58Ni,2763.93,0.0279,"(n,g) I-S"
58Ni,1872.2,0.0279,"(n,g) I-S"
58Ni,2154.3,0.0274,"(n,g) I-S"
58Ni,4056.1,0.0269,"(n,g) I-S"
58Ni,3705.3,0.0264,"(n,g) I-S"
58Ni,6371.2,0.0264,"(n,g) I-P"
58Ni,4841.2,0.0264,"(n,g) I-S"
58Ni,1256.49,0.0264,"(n,g) I-S"
58Ni,3214.7,0.0264,"(n,g) I-S"
58Ni,1665.8,0.0264,"(n,g) I-S"
58Ni,2323.5,0.0259,"(n,g) I-S"
58Ni,2927,0.0259,"(n,g) I-S"
58Ni,6940.3,0.0255,"(n,g) I-S"
58Ni,3322.7,0.0255,"(n,g) I-P"
58Ni,3125.6,0.025,"(n,g) I-S"
58Ni,3496.9,0.025,"(n,g) I-S"
58Ni,1275.9,0.025,"(n,g) I-S"
58Ni,4466.2,0.025,"(n,g) I-P"
58Ni,2248.2,0.0245,"(n,g) I-S"
58Ni,3905.8,0.0245,"(n,g) I-S"
58Ni,5935,0.024,"(n,g) I-S"
58Ni,3897.11,0.024,"(n,g) I-S"
58Ni,1379,0.024,"(n,g) I-S"
58Ni,1864.2,0.024,"(n,g) I-S"
58Ni,3112.8,0.024,"(n,g) I-S"
58Ni,2491.3,0.024,"(n,g) I-S"
58Ni,3913.2,0.0235,"(n,g) I-S"
58Ni,5113.8,0.0235,"(n,g) I-S"
58Ni,1449,0.0231,"(n,g) I-S"
58Ni,1492.3,0.0231,"(n,g) I-S"
58Ni,5631.99,0.0226,"(n,g) I-S"
58Ni,6892,0.0221,"(n,g) I-S"
58Ni,3339.2,0.0221,"(n,g) I-S"
58Ni,2345.2,0.0216,"(n,g) I-S"
58Ni,4604,0.0211,"(n,g) I-S"
58Ni,2380.4,0.0211,"(n,g) I-S"
58Ni,2460.67,0.0211,"(n,g) I-S"
58Ni,3437.7,0.0211,"(n,g) I-S"
58Ni,6644.2,0.0211,"(n,g) I-S"
58Ni,7050.1,0.0207,"(n,g) I-P"
58Ni,6516.2,0.0207,"(n,g) I-S"
58Ni,1214.7,0.0202,"(n,g) I-S"
58Ni,2297,0.0202,"(n,g) I-S"
58Ni,4912.8,0.0197,"(n,g) I-S"
58Ni,2987.5,0.0197,"(n,g) I-S"
58Ni,5228.6,0.0192,"(n,g) I-S"
58Ni,2662,0.0192,"(n,g) I-S"
58Ni,454.77,0.0192,"(n,g) I-S"
58Ni,1891,0.0192,"(n,g) I-S"
58Ni,2465.5,0.0187,"(n,g) I-S"
58Ni,3334.59,0.0187,"(n,g) I-S"
58Ni,3937.49,0.0187,"(n,g) I-S"
58Ni,1048.8,0.0183,"(n,g) I-S"
58Ni,6279,0.0183,"(n,g) I-S"
58Ni,1163.5,0.0183,"(n,g) I-S"
58Ni,5029.6,0.0183,"(n,g) I-S"
58Ni,4119.4,0.0183,"(n,g) I-S"
58Ni,3525.8,0.0183,"(n,g) I-S"
58Ni,2723.93,0.0178,"(n,g) I-S"
58Ni,1210.5,0.0178,"(n,g) I-S"
58Ni,2505.1,0.0173,"(n,g) I-S"
58Ni,1613.8,0.0168,"(n,g) I-S"
58Ni,5169.2,0.0168,"(n,g) I-S"
58Ni,840.8,0.0168,"(n,g) I-S"
58Ni,451.58,0.0163,"(n,g) I-S"
58Ni,962,0.0163,"(n,g) I-S"
58Ni,1031.5,0.0163,"(n,g) I-S"
58Ni,801.78,0.0163,"(n,g) I-S"
58Ni,1818.7,0.0154,"(n,g) I-S"
58Ni,2242.9,0.0154,"(n,g) I-S"
58Ni,1382.1,0.0154,"(n,g) I-S"
58Ni,1386.8,0.0149,"(n,g) I-S"
58Ni,1513,0.0149,"(n,g) I-S"
58Ni,731.85,0.0149,"(n,g) I-S"
58Ni,4452.3,0.0144,"(n,g) I-S"
58Ni,816.3,0.0139,"(n,g) I-S"
58Ni,1616.1,0.0139,"(n,g) I-S"
58Ni,450,0.0134,"(n,g) I-S"
58Ni,1274.5,0.0134,"(n,g) I-S"
58Ni,3734,0.013,"(n,g) I-S"
58Ni,1496.2,0.013,"(n,g) I-S"
58Ni,2177.3,0.0125,"(n,g) I-S"
58Ni,1158.6,0.0125,"(n,g) I-S"
58Ni,1827.8,0.011,"(n,g) I-S"
58Ni,1572.1,0.011,"(n,g) I-S"
58Ni,759.3,0.011,"(n,g) I-S"
58Ni,2450.52,0.011,"(n,g) I-S"
58Ni,1833.3,0.0106,"(n,g) I-S"
58Ni,1006.3,0.0106,"(n,g) I-S"
58Ni,1663.7,0.0106,"(n,g) I-S"
58Ni,1008.9,0.0106,"(n,g) I-S"
58Ni,1103.2,0.0106,"(n,g) I-S"
58Ni,1599.8,0.0106,"(n,g) I-S"
58Ni,822.6,0.0101,"(n,g) I-S"
58Ni,1557.7,0.0101,"(n,g) I-S"
58Ni,1917,0.0091,"(n,g) I-S"
58Ni,1414.2,0.0091,"(n,g) I-S"
58Ni,1567.5,0.0086,"(n,g) I-S"
58Ni,1051,0.0086,"(n,g) I-S"
58Ni,2976.5,0.0086,"(n,g) I-S"
58Ni,1405.7,0.0082,"(n,g) I-S"
58Ni,609.2,0.0077,"(n,g) I-S"
58Ni,828.2,0.0077,"(n,g) I-S"
58Ni,1156.1,0.0077,"(n,g) I-S"
58Ni,735.2,0.0072,"(n,g) I-S"
58Ni,818.1,0.0058,"(n,g) I-S"
58Ni,2300.8,0,"(n,g) I-S"
58Ni,3585.2,0,"(n,g) I-S"
58Ni,3412.03,0,"(n,g) I-S"
58Ni,1889.13,0,"(n,g) I-S"
58Ni,3648.3,0,"(n,g) I-S"
58Ni,1132.21,0,"(n,g) I-S"
58Ni,3012.1,0,"(n,g) I-S"
58Ni,712.75,0,"(n,g) I-S"
58Ni,1386.8,0,"(n,g) I-S"
58Ni,2560.55,0,"(n,g) I-S"
58Ni,1362.8,0,"(n,g) I-S"
58Ni,3578.6,0,"(n,g) I-S"
58Ni,3818.5,0,"(n,g) I-S"
58Ni,4019.88,0,"(n,g) I-S"
58Ni,1615.2,0,"(n,g) I-S"
58Ni,4244.7,0,"(n,g) I-S"
58Ni,1605,0,"(n,g) I-S"
58Ni,5237,0,"(n,g) I-S"
58Ni,5167.6,0,"(n,g) I-S"
58Ni,5590,0,"(n,g) I-S"
58Ni,5115.9,0,"(n,g) I-S"
58Ni,843.57,0,"(n,g) I-S"
58Ni,5636.8,0,"(n,g) I-S"
58Ni,2517.8,0,"(n,g) I-S"
58Ni,5676.8,0,"(n,g) I-S"
58Ni,4565.99,0,"(n,g) I-S"
58Ni,4314.5,0,"(n,g) I-S"
58Ni,4459.2,0,"(n,g) I-S"
58Ni,4442.54,0,"(n,g) I-S"
58Ni,1816.76,0,"(n,g) I-S"
58Ni,4420.8,0,"(n,g) I-S"
58Ni,4406.5,0,"(n,g) I-S"
58Ni,1595.2,0,"(n,g) I-S"
58Ni,4401.8,0,"(n,g) I-S"
58Ni,4332.4,0,"(n,g) I-S"
58Ni,4753.6,0,"(n,g) I-S"
59Ni,1332.54,100,"(n,g) I-S"
59Ni,11386.5,48.2063,"(n,g) I-P"
59Ni,952.26,25.1121,"(n,g) I-S"
59Ni,9102.1,19.7982,"(n,g) I-P"
59Ni,10054.14,18.4305,"(n,g) I-P"
59Ni,826.11,14.1256,"(n,g) I-S"
59Ni,1985.27,8.1839,"(n,g) I-S"
59Ni,8069.26,7.13,"(n,g) I-P"
59Ni,1791.19,6.8834,"(n,g) I-S"
59Ni,7380.77,5.4484,"(n,g) I-P"
59Ni,7516.17,4.574,"(n,g) I-P"
59Ni,7367.31,4.3722,"(n,g) I-P"
59Ni,8193.24,4.2601,"(n,g) I-P"
59Ni,4019.74,3.7668,"(n,g) I-S"
59Ni,2673.86,3.5874,"(n,g) I-S"
59Ni,8263.35,3.565,"(n,g) I-P"
59Ni,1861.33,3.0045,"(n,g) I-S"
59Ni,6839.38,2.713,"(n,g) I-P"
59Ni,4006.3,2.6906,"(n,g) I-S"
59Ni,9228.19,2.5561,"(n,g) I-P"
59Ni,1035.23,2.3094,"(n,g) I-S"
59Ni,2158.63,2.1973,"(n,g) I-S"
59Ni,5676.64,2.0964,"(n,g) I-P"
59Ni,747.33,1.8341,"(n,g) I-S"
59Ni,2401.83,1.7444,"(n,g) I-S"
59Ni,1712.3,1.6614,"(n,g) I-S"
59Ni,5775.08,1.5987,"(n,g) I-P"
59Ni,2687.33,1.5964,"(n,g) I-S"
59Ni,467.28,1.5919,"(n,g) I-S"
59Ni,7799.4,1.5448,"(n,g) I-P"
59Ni,3193.77,1.3498,"(n,g) I-S"
59Ni,909.05,1.3475,"(n,g) I-S"
59Ni,6543.44,1.3139,"(n,g) I-P"
59Ni,2060.58,1.2803,"(n,g) I-S"
59Ni,6322.29,1.2489,"(n,g) I-P"
59Ni,5064.79,1.1413,"(n,g) I-S"
59Ni,1429.07,1.1121,"(n,g) I-S"
59Ni,1173.24,1.0538,"(n,g) I-S"
59Ni,2538.53,1.0112,"(n,g) I-S"
59Ni,1592.53,0.9865,"(n,g) I-S"
59Ni,7652.88,0.9641,"(n,g) I-P"
59Ni,7068.67,0.9305,"(n,g) I-P"
59Ni,4843.76,0.8722,"(n,g) I-S"
59Ni,5485.02,0.8453,"(n,g) I-P"
59Ni,1293.2,0.8296,"(n,g) I-S"
59Ni,5710.52,0.8117,"(n,g) I-S"
59Ni,3870.94,0.7982,"(n,g) I-S"
59Ni,2263.17,0.7803,"(n,g) I-S"
59Ni,3123.7,0.7623,"(n,g) I-S"
59Ni,6809.91,0.7466,"(n,g) I-P"
59Ni,2985.97,0.7175,"(n,g) I-S"
59Ni,7993.95,0.6951,"(n,g) I-P"
59Ni,2389.25,0.6726,"(n,g) I-S"
59Ni,6608.29,0.657,"(n,g) I-P"
59Ni,2176.84,0.639,"(n,g) I-S"
59Ni,6894.23,0.6166,"(n,g) I-P"
59Ni,3160.6,0.583,"(n,g) I-S"
59Ni,1424.24,0.5628,"(n,g) I-S"
59Ni,2517,0.5516,"(n,g) I-S"
59Ni,2745.47,0.5381,"(n,g) I-S"
59Ni,5234.82,0.5157,"(n,g) I-S"
59Ni,2255.18,0.5157,"(n,g) I-S"
59Ni,1027.56,0.5112,"(n,g) I-S"
59Ni,4740.48,0.509,"(n,g) I-P"
59Ni,6434.01,0.5,"(n,g) I-P"
59Ni,5509.46,0.5,"(n,g) I-P"
59Ni,7051.67,0.4933,"(n,g) I-P"
59Ni,7309.22,0.4798,"(n,g) I-P"
59Ni,8200.88,0.4641,"(n,g) I-P"
59Ni,4164.75,0.4327,"(n,g) I-P"
59Ni,1936.41,0.417,"(n,g) I-S"
59Ni,3743.71,0.4036,"(n,g) I-S"
59Ni,3511.07,0.3901,"(n,g) I-S"
59Ni,1853.67,0.3879,"(n,g) I-S"
59Ni,2684.19,0.3722,"(n,g) I-S"
59Ni,4548.2,0.3655,"(n,g) I-S"
59Ni,4507.04,0.3655,"(n,g) I-S"
59Ni,393.76,0.3632,"(n,g) I-S"
59Ni,993.48,0.361,"(n,g) I-S"
59Ni,5714.96,0.3565,"(n,g) I-P"
59Ni,1734.98,0.352,"(n,g) I-S"
59Ni,4922.34,0.3475,"(n,g) I-P"
59Ni,5407.76,0.3475,"(n,g) I-S"
59Ni,3244.9,0.3386,"(n,g) I-S"
59Ni,3732.23,0.3386,"(n,g) I-S"
59Ni,4475.58,0.3363,"(n,g) I-P"
59Ni,5254.46,0.3274,"(n,g) I-S"
59Ni,2707.44,0.3251,"(n,g) I-S"
59Ni,4577.37,0.3229,"(n,g) I-S"
59Ni,680.42,0.3229,"(n,g) I-S"
59Ni,677.17,0.3072,"(n,g) I-S"
59Ni,1919.28,0.296,"(n,g) I-S"
59Ni,3453.67,0.2937,"(n,g) I-S"
59Ni,4318.52,0.2915,"(n,g) I-S"
59Ni,3551.94,0.2915,"(n,g) I-S"
59Ni,2478.42,0.2892,"(n,g) I-S"
59Ni,6627.12,0.287,"(n,g) I-P"
59Ni,2620.4,0.2803,"(n,g) I-S"
59Ni,2554.69,0.278,"(n,g) I-S"
59Ni,3215.27,0.2735,"(n,g) I-S"
59Ni,4377.65,0.2691,"(n,g) I-S"
59Ni,1692.45,0.2668,"(n,g) I-S"
59Ni,896.23,0.2668,"(n,g) I-S"
59Ni,521.24,0.2646,"(n,g) I-S"
59Ni,3620.64,0.2623,"(n,g) I-S"
59Ni,497.76,0.2578,"(n,g) I-S"
59Ni,4331.24,0.2534,"(n,g) I-P"
59Ni,3495.12,0.2422,"(n,g) I-S"
59Ni,4950.1,0.2265,"(n,g) I-S"
59Ni,4168.32,0.222,"(n,g) I-S"
59Ni,6458.42,0.2197,"(n,g) I-P"
59Ni,6911.7,0.2197,"(n,g) I-S"
59Ni,3428,0.2152,"(n,g) I-S"
59Ni,3426.3,0.2108,"(n,g) I-S"
59Ni,5320.69,0.2108,"(n,g) I-P"
59Ni,5025.43,0.2063,"(n,g) I-P"
59Ni,3440.37,0.2063,"(n,g) I-S"
59Ni,6464.9,0.2018,"(n,g) I-S"
59Ni,2488.73,0.1973,"(n,g) I-S"
59Ni,3569.53,0.1973,"(n,g) I-P"
59Ni,642.96,0.1973,"(n,g) I-S"
59Ni,4335.37,0.1951,"(n,g) I-S"
59Ni,2785.73,0.1906,"(n,g) I-S"
59Ni,2779.42,0.1883,"(n,g) I-S"
59Ni,1636.42,0.1839,"(n,g) I-S"
59Ni,3446.77,0.1816,"(n,g) I-S"
59Ni,1110.31,0.1816,"(n,g) I-S"
59Ni,7499.4,0.1704,"(n,g) I-P"
59Ni,3436.9,0.1704,"(n,g) I-P"
59Ni,3027.86,0.1682,"(n,g) I-S"
59Ni,4021.4,0.1682,"(n,g) I-S"
59Ni,3268.78,0.1659,"(n,g) I-S"
59Ni,1881.15,0.1659,"(n,g) I-S"
59Ni,4545.9,0.1659,"(n,g) I-S"
59Ni,5299.1,0.1659,"(n,g) I-S"
59Ni,5940.5,0.1659,"(n,g) I-P"
59Ni,672.9,0.1637,"(n,g) I-S"
59Ni,4071.49,0.1637,"(n,g) I-P"
59Ni,3513.6,0.1614,"(n,g) I-S"
59Ni,1234.51,0.1614,"(n,g) I-S"
59Ni,2586.98,0.1592,"(n,g) I-S"
59Ni,4553,0.1592,"(n,g) I-P"
59Ni,1575.84,0.1592,"(n,g) I-S"
59Ni,5152.61,0.157,"(n,g) I-S"
59Ni,4114.4,0.157,"(n,g) I-S"
59Ni,6260.19,0.157,"(n,g) I-P"
59Ni,813.48,0.1525,"(n,g) I-S"
59Ni,2874.42,0.1525,"(n,g) I-S"
59Ni,1585.33,0.1502,"(n,g) I-S"
59Ni,1091.42,0.1502,"(n,g) I-S"
59Ni,1813.5,0.148,"(n,g) I-S"
59Ni,1354.08,0.1457,"(n,g) I-S"
59Ni,3022.9,0.1435,"(n,g) I-S"
59Ni,4898.4,0.1435,"(n,g) I-P"
59Ni,4338.3,0.1435,"(n,g) I-S"
59Ni,2245.4,0.1413,"(n,g) I-S"
59Ni,5393.3,0.139,"(n,g) I-S"
59Ni,4066.3,0.139,"(n,g) I-S"
59Ni,5148.1,0.139,"(n,g) I-P"
59Ni,6099.4,0.139,"(n,g) I-P"
59Ni,1606.1,0.1323,"(n,g) I-S"
59Ni,5193.4,0.1256,"(n,g) I-S"
59Ni,1532.65,0.1233,"(n,g) I-S"
59Ni,4487.56,0.1233,"(n,g) I-S"
59Ni,4760.1,0.1211,"(n,g) I-S"
59Ni,1005.83,0.1211,"(n,g) I-S"
